NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED"
Fire Alarm Activation,15-0756,05-31-15/1745,05-31-15/1731,Howard Plaza Towers
Theft 1,15-0757,05-31-15/1802,05-31-15/1750,Howard Plaza Towers
Hazardous Water Leak,15-0758,05-31-15/1939,05-31-15/1932,Mudd Building
Hazardous Water Leak,15-0759,05-31-15/2032,05-31-15/2030,Engineering Building
Lost Property,15-0760,06-01-15/0303,06-01-15/0303,Service Center
Found Property,15-0761,06-01-15/0920-,06-01-15/0720,College Hall South
Threats,15-0762,06-01-15/1145,06-01-15/1142,Service Center
Sick Person,15-0763,06-01-15/1715,06-01-15/1710,Service Center
Fire Alarm Activation,15-0764,06-01-15/1905,06-01-15/1854,Wonders Plaza
Hazardous Water Leak,15-0765,06-01-15/0115,06-01-15/0110,Slowe Hall
Fire Alarm Activation,15-0766,06-01-15/0957,06-01-15/0956,Wonders Plaza
NO Report,15-0767,06-01-15/,06-01-15/,
Sick Transport,15-0768,06-02-15/1239,06-02-15/1227,Student Heath Center
Miscellaneous,15-0769,06-02-15/1648,06-02-15/1645,Howard Center
Theft 2,15-0770,06-03-15/1015,06-03-15/1013,Douglass Hall
Fire Alarm Activation,15-0771,06-03-15/1117,06-03-15/1115,Cook Hall
Fire  Alarm Activation,15-0772,06-03-15/1729,06-03-15/1724,College Hall South
Unlawful Entry,15-0773,06-03-15/1905,06-03-15/1903,College Hall South
Hazardous Water Leak,15-0774,06-04-15/0721,06-04-15/0710,Mudd Building
Damaged Property,15-0775,06-04-15/1245,06-04-15/1242,Wonder Plaza Lot
Hazardous Water Leak,15-0776,06-04-15/1636,06-04-15/1636,Founders Library
Hazardous Elevator,15-0777,06-05-15/1113,06-05-15/1113,School of Business
Sick Person,15-0778,06-06-15/0439,06-06-15/0439,College Hall South
Loud Noise,15-0779,06-08-15/0155,06-08-15/0144,College Hall South
Sick Person,15-0780,06-08-15/1145,06-08-15/1143,College Hall South
Fire Alarm Activation,15-0781,06-08-15/1925,06-08-15/1917,Howard Plaza Towers
Miscellaneous,15-0782,06-08-15/2350,06-08-15/2349,Off Campus
Fire Alarm Activation,15-0783,06-09-15/1555,06-09-15/1548,Cook Hall
Miscellaneous,15-0784,06-09-15/1611,06-09-15/1611,Middle School
Student Misconduct,15-0785,06-09-15/1746,06-09-15/1745,College Hall South
Hazardous Water Leak,15-0786,06-10-15/0810,06-10-15/0807,Mudd Building
Fire,15-0787,06-10-15/0910,06-10-15/0907,Howard Plaza Towers
Miscellaneous,15-0788,06-10-15/0911,06-10-15/0815,Childers Lot
Lost Property,15-0789,06-10-15/1635,06-10-15/1630,Cook Hall
Found Property,15-0790,06-11-15/1200,06-05-15/0944,2200 block of Georgia Ave
Miscellaneous,15-0791,06-11-15/1104,06-11-15/1104,2112 Georgia Avenue NW
Attempt Robbery,15-0792,06-12-15/1823,06-12-15/1810,"Howard Center/ 2200 Blk Ga Ave, NW"
Miscellaneous,15-0793,06-14-15/0923,06-14-15/0856,HU Hospital
Hazardous Water Leak,15-0794,06-14-15/1820,06-14-15/1754,SOCC
Injured Person,15-0795,06-15-15/1500,06-15-15/1454,Architecture & Planning
Sick Person,15-0796,06-15-15/1642,06-15-15/1615,Cramton Auditorium
Sick Person,15-0797,06-15-15/1641,06-15-15/1641,Cramton Auditorium
Unlawful Entry,15-0798,06-16-15/1111,06-16-15/1111,Fine Art Building
Fire Alarm Activation,15-0799,06-16-15/1741,06-16-15/1740,Howard Plaza Towers
Student Misconduct,15-0800,06-16-15/1533,06-16-15/1530,College Hall South
Unlawful Entry,15-0801,06-17-15/1345,06-17-15/1345,Founders Library
Fire Alarm Activation,15-0802,06-17-15/1543,06-17-15/1540,Howard Plaza Towers
Student Misconduct,15-0803,06-17-15/1535,06-17-15/1519,Bethune Annex
Lost Property,15-0804,06-18-15/1120,06-18-15/1120,Mudd Building
Hazardous Water Leak,15-0805,06-18-15/1750,06-18-15/1745,Wonder Plaza
NO Report,15-0806,06-19-15/,06-19-15/,
Damaged Property,15-0807,06-20-15/1050,06-20-15/1036,College Hall North
Lost Property,15-0808,06-21-15/1210,06-21-15/1210,College Hall South
Injured Person,15-0809,06-22-15/0949,06-22-15/0837,HU Hospital
Miscellaneous,15-0810,06-23-15/1345,06-23-15/1345,Administration Building
Miscellaneous,15-0811,06-23-15/1525,06-23-15/1505,Bookstore
Hazardous Water Leak,15-0812,06-23-15/2140,06-23-15/2139,Mudd Building
Theft 2,15-0813,06-24-15/1622,06-24-15/1621,College Hall South
Fire Alarm Activation,15-0814,06-25-15/0716,06-25-15/0715,Howard Plaza Towers
Fire Alarm Activation,15-0815,06-25-15/1448,06-25-15/1448,Founders Library
Fire Alarm Activation,15-0816,06-25-15/2246,06-25-15/2242,Wonder Plaza
Found Property,15-0817,06-26-15/1042,06-26-15/1042,College Hall South
Theft From Auto,15-0818,06-26-15/1523,06-26-15/1455,2700 block 6th NW
Suspicious Odor,15-0819,06-26-15/2309,06-26-15/2309,Bethune Hall Annex
Hazardous Water Leak,15-0820,06-27-15/1604,06-27-15/1600,Carver Hall
Miscellaneous,15-0821,06-28-15/1504,06-28-15/1430,HU Hospital
Simple Assault,15-0822,06-28-15/1750,06-28-15/1750,Wonder Plaza
Hazardous Water Leak,15-0823,06-28-15/2304,06-28-15/2304,Howard Plaza Towers
Simple Assault,15-0824,06-28-15/2350,06-29-15/0048,College Hall South
Vehicle Accident,15-0825,06-29-15/1347,06-29-15/1343,Lower Campus
Sick Person,15-0826,06-29-15/1910,06-29-15/1901,Wonder Plaza
Attempt Robbery,15-0827,06-29-15/1924,06-29-15/1924,"6th and Bryant St, NW"
Injured Person,15-0828,06-30-15/0910,06-30-15/0909,Dental School
NO Report,15-0829,06-30-15/,06-30-15/,
Miscellaneous,15-0830,07-01-15/0110,07-01-15/0108,Blackburn Center
Fire Alarm Activation,15-0831,07-01-15/0135,07-01-15/0135,College Hall South
Disorderly Conduct,15-0832,07-01-15/1514,07-01-15/1514,Service Center
Theft from Auto,15-0833,07-01-15/1726,07-01-15/1726,Childers Lot
Theft from Auro,15-0834,07-01-15/1701,07-01-15/1701,Plaza Towers
Injured Person,15-0835,07-01-15/2135,07-01-15/2121,College Hall South
NO Report,15-0836,07-02-15/,07-02-15/,
Theft from Autp,15-0837,07-02-15/0905,07-02-15/0905,Lower Campus
Sick Person,15-0838,07-02-15/1033,07-02-15/1033,C.B. Powell Building
Miscellaneous/Barring Notice,15-0839,07-02-15/1548,07-02-15/1523,HUSC Garage
Destruction Of Property,15-0840,07-03-15/1819,07-03-15/1819,Wonder Plaza
Fire Alarm Activation,15-0841,07-04-15/0044,07-04-15/0044,Middle School
Damaged Property,15-0842,07-04-15/1003,07-04-15/1003,Business District
Fire Alarm Activation,15-0843,07-04-15/1323,06-04-15/1319,College Hall South
Found Property,15-0844,07-04-15/1556,07-04-15/1525,College Hall South
Hazardous Water Leak,15-0845,07-05-15/1105,07-05-15/1105,Howard Center
Fire Alarm Activation,15-0846,07-05-15/2320,07-06-15/2319,College Hall South
Miscellaneous,15-0847,07-06-15/0150,07-06-15/0130,Lower Campus
Damaged Property,15-0848,07-06-15/1037,07-06-15/1037,College Hall South
Miscellaneous,15-0849,07-08-15/1220,07-08-15/1220,Howard Center
Theft 2,15-0850,07-08-15/2046,07-08-15/2046,Wonder Plaza
Miscellaneous,15-0851,07-09-15/0742,07-09-15/0742,Bethune Annex
Sick Person,15-0852,07-09-15/1545,07-09-15/1416,Burr Gymnasium
Miscellaneous,15-0853,07-09-15/1955,07-09-15/1955,Wonder Plaza
Suspicious Odor,15-0854,07-10-15/1042,07-10-15/1039,Bethune Annex
Missing Person,15-0855,07-10-15/1535,07-10-15/1530,C.B. Powell Building
NO Report,15-0856,07-10-15/,07-10-15/,
Fire Alarm Activation,15-0857,07-11-15/1113,07-11-15/1113,Plaza Towers
Disorderly Conduct,15-0858,07-14-15/1608,07-14-15/1608,Service Center
Theft 2,15-0859,07-14-15/1901-,07-14-15/1901,Dental School
Lost Property,15-0860,07-15-15/1721,07-15-15/1500,West Campus
Damaged Property,15-0861,07-16-15/0813,07-15-15/0813,HUSC Garage
Fire Alarm Activation,15-0862,07-18-15/1625,07-18-15/1424,College Hall South
Found Property,15-0863,07-19-15/1012,07-19-15/0930,HU Hospital
Miscellaneous,15-0864,07-19-15/1434,07-19-15/1434,Main Gate
Fire Alarm Activation,15-0865,07-19-15/1737,07-19-15/1735,Cook Hall
Miscellaneous,15-0866,07-20-15/1445,07-20-15/1408,College Hall South
Sick Transport,15-0867,07-20-15/1442,07-02-15/1400,HU Hospital
Unlawful Entry,15-0868,07-21-15/1740,07-21-15/1740,Howard Center Lot
Miscellaneous,15-0869,07-21-15/2258,07-21-15/2230,College Hall North
Miscellaneous,15-0870,07-22-15/0100,07-21-15/0059,4th Street NW
Hazardous Elevator,15-0871,07-22-15/0345,07-22-15/0345,Mudd Building
Lost Property,15-0872,07-22-15/1507,07-22-15/1507,Service Center
Unlawful Entry,15-0873,07-23-15/1315,07-23-15/0805,Burr Gymnasium
Theft 2,15-0874,07-23-15/1040,07-23-15/1033,College Hall South
Damaged Property,15-0875,07-23-15/1300,07-23-15/1034,5th & W Street Parking Lot
Damaged Property,15-0876,07-24-15/0324,07-24-15/0324,2112 Georgia Avenue rear
Barring Notice,15-0877,07-24-15/1120,07-24-15/1116,Administration Building
Burglary I,15-0878,07-25-15/0316,07-25-15/0316,Off Campus
Indecent Exposure,15-0879,07-25-15/1547,07-25-15/1545,Stokes Library
Damaged Property,15-0880,07-28-15/1022,07-28-15/1022,Architecture and Planning
Found Property,15-0881,07-28-15/1148,07-28-15/1148,Fine Arts
Lost Property,15-0882,07-28-15/2015,07-28-15/1030,Biology building
Hazardous Water Leak,15-0883,07-29-15/0227,07-29-15/0227,Founders Library
Hazardous Water Leak,15-0884,07-29-15/0627,07-29-15/0627,Holy Cross Hall
Theft From Auto,15-0885,07-30-15/1257,07-30-15/1220,Off Campus
Miscellaneous,15-0886,07-31-15/1219,07-31-15/1215,4th Street Gate
Fire Alarm Activation,15-0887,07-31-15/2331,07-31-15/2331,College Hall South
Vehicle Accident,15-0888,08-01-15/1208,08-01-15/1136,Bethune Hall Annex
Student Misconduct,15-0889,08-02-15/1825,08-02-15/1825,College Hall South
Student Misconduct,15-0890,08-03-15/1609,08-03-15/1552,College Hall South
Theft 1,15-0891,08-03-15/1759,08-03-15/1712,Stokes Library
Miscellaneous,15-0892,08-04-15/1228,08-04-15/1220,2467 Sherman Avenue NW
Miscellaneous,15-0893,08-04-15/1340,08-04-15/1340,Off Campus
Threats,15-0894,08-04-15/1500,08-04-15/1435,College Hall North
Sick Person,15-0895,08-04-15/1905,08-04-15/1700,Wonder Plaza
Miscellaneous,15-0896,08-05-15/1602,08-05-15/1530,West Campus
Lost Property,15-0897,08-06-15/1615,08-06-15/1615,Off Campus
Sick Person,15-0898,08-07-15/0240,08-07-15/0229,HU Hospital
Miscellaneous,15-0899,08-07-15/1108,08-07-15/1108,School of  Business
Sick Person,15-0900,08-09-15/0038,08-09-15/0038,Howard University Hospital
Injured Person,15-0901,08-09-15/0135,08-09-15/0135,Howard University Hospital
Injured Person,15-0902,08-09-15/1155,08-09-15/1155,College Hall South
Damaged Property,15-0903,08-09-15/1605,08-09-15/1602,Banneker South Parking Lot
Theft from Auto,15-0904,08-09-15/1900,08-09-15/1854,Howard Plaza Towers
Hazardous Water Leak,15-0905,08-09-15/2042,08-09-15/2031,Burr Gymnasium
Miscellaneous,15-0906,08-10-15/0905,08-10-15/0900,Slowe Hall
Damaged Property,15-0907,08-10-15/1532,08-10-15/1532,Howard Plaza Towers
Theft 2,15-0908,08-10-15/1703,08-10-15/1527,Burr Gymnasium
Fire Alarm Activation,15-0909,08-12-15/0142,08-12-15/0142,Slowe Hall
Sick Person,15-0910,08-12-15/0515,08-12-15/0515,Howard Plaza Towers
Lost Property,15-0911,08-12-15/1153,08-12-15/1153,Service Center
Sick Person,15-0912,08-12-15/1430,08-12-15/1411,C.B. Powell Building
Sick Person,15-0913,08-12-15/1834,08-12-15/1834,Quadrangle Hall
Lost Property,15-0914,08-12-15/2111,08-12-15/2111,Fine Arts
Fire Alarm Activation,15-0915,08-13-15/0147,08-13-15/0147,Howard Plaza Towers
Theft from Auto,15-0916,08-13-15/1150,08-13-15/1144,Lower Campus
Injured Person,15-0917,08-13-15/1130,08-13-15/1118,Bethune Hall Annex
Injured Person,15-0918,08-13-15/1220,08-13-15/1140,Bethune Hall Annex
Damaged Property,15-0919,08-13-15/1200,08-13-15/1154,Upper Campus
Theft 2,15-0920,08-13-15/1446,08-13-15/1446,C.B. Powell Building
Damaged Property,15-0921,08-13-15/1528,08-13-15/1509,Upper Campus
Fire Alarm Activation,15-0922,08-13-15/2045,08-13-15/2045,Howard Plaza Towers
Burglary II,15-0923,08-13-15/2211,08-14-15/2030,Plaza Towers
Disorderly Conduct,15-0924,08-14-15/1329,08-14-15/1315,Administration Building
Miscellaneous,15-0925,08-14-15/1519,08-14-15/1517,Service Center
Theft 1,15-0926,08-14-15/1710,08-14-15/1710,Plaza Towers
Damaged Property,15-0927,08-14-15/2345,08-14-15/2307,Lower Campus
Injured Person,15-0928,08-15-15/1514,08-15-15/1500,Service Center
Damaged Property,15-0929,08-15-15/2053,08-15-15/2038,Drew Hall
Damaged Property,15-0930,08-16-15/1540,08-16-15/1540,Plaza Towers
Burglary 2,15-0931,08-16-15/1540,08-16-15/1430,Plaza Towers
Fire Alarm Activation,15-0932,08-16-15/1655,08-16-15/1655,Plaza Towers
Theft 1,15-0933,08-16-16/1900,08-16-15/1842,Plaza Towers
Damaged Property,15-0934,08-17-15/0820,08-17-15/0753,Howard Center Lot
Found Property,15-0935,08-17-15/1023,08-17-15/1021,Mackey Lot
Damaged Property,15-0936,08-17-15/1023,08-17-15/0907,Service Center
Theft 2,15-0937,08-17-15/1120,08-17-15/1120,West Campus
Injured Person,15-0938,08-17-15/2007,08-17-15/2002,College Hall North
Missing Person,15-0939,08-18-15/0117,08-18-15/0112,Main Gate
Credit Card Fraud,15-0940,08-18-15/2030,08-18-15/0732,West Campus
Found Property,15-0941,08-18-15/1345,08-18-15/0758,Off Campus
Burglary 2,15-0942,08-18-15/1319,08-17-15/0800,Plaza Towers
Fire Alarm Activation,15-0943,08-18-15/1839,08-18-15/1835,College Hall North
Theft from Auto,15-0944,08-18-15/2105,08-18-15/2100,Burr Gymnasium
Student Misconduct,15-0945,08-18-15/2015,08-18-15/2011,Plaza Towers
Fire Alarm Activation,15-0946,08-18-15/2217,08-18-15/2217,Cook Hall
Sick Transport,15-0947,08-19-15/0241,08-19-15/0241,Quadrangle Hall
Theft 1,15-0948,08-19-15/1133,08-19-15/1022,West Campus
Theft from Autp,15-0949,08-19-15/1408,08-19-15/0950,Banneker North Parking Lot
Theft from Auto,15-0950,08-19-15/1450,08-19-15/1446,Lower Campus
Stolen Auto,15-0951,08-19-15/1556,08-19-15/1500,Childers Lot
Sick Person,15-0952,08-19-15/1705,08-19-15/1705,Howard Plaza Towers
Suspicious Odor,15-0953,08-20-15/0033,08-20-15/0033,Slowe Hall
Suspicious Odor,15-0954,08-20-15/1041,08-20-15/1041,College Hall South
Fire Alarm Activation,15-0955,08-20-15/1154,08-20-15/1154,College Hall South
Simple Assault,15-0956,08-20-15/1130,08-18-15/1324,Howard Plaza Towers
Theft 2,15-0957,08-20-15/2136,08-20-15/2130,College Hall South
Theft From Auto,15-0958,08-20-15/1025,08-20-15/2235,Burr Gymnasium
Simple Assault,15-0959,08-21-15/1402,08-21-15/1402,Cramtom Auditoriun
Fire  Alarm Activation,15-0960,08-21-15/2030,08-21-15/2030,Quadrangle Hall
Simple Assault,15-0961,08-22-15/0022,08-22-15/0022,Plaza Towers
Simple Assault,15-0962,08-22-15/0215,08-22-15/0053,College Hall North
Loud Noise,15-0963,08-22-15/0247,08-22-15/0132,Off Campus
Sick Transport,15-0964,08-22-15/0206,08-22-15/0206,Quadrangle Hall
Sick Person,15-0965,08-22-15/1310,08-22-15/1309,Bethune Hall Annex
Injured Person,15-0966,08-22-15/1507,08-22-15/1507,Fine Arts
Fire Alarm Activation,15-0967,08-23-15/1406,08-23-15/1406,Quadrangle Hall
Lost Property,15-0968,08-23-15/1544,08-23-15/1445,Service Center
Fire Alarm Activation,15-0969,08-23-15/1654,08-23-15/1645,Quadrangle Hall
Miscellaneous,15-0970,08-23-15/2053,08-23-15/2053,Off Campus
Fire Alarm Activation,15-0971,08-24-15/0009,08-24-15/0009,Quadrangle Hall
Miscellaneous,15-0972,08-24-15/1439,08-24-15/1430,C.B. Powell Building
Theft from Auto,15-0973,08-24-15/1545,08-24-15/1513,Banneker South Parking Lot
Sick Person,15-0974,08-24-15/1839,08-24-15/1839,Quadrangle Hall
Destruction Of Property,15-0975,08-24-15/1848,08-24-15/1848,Howard Plaza Towers
Theft 2,15-0976,08-25-15/1510,08-25-15/0928,Douglass Hall
Lost Property,15-0977,08-25-15/1141,08-25-15/0940,Quadrangle Hall
Sick Person,15-0978,08-25-15/2311,08-25-15/1110,Drew Hall
Simple Assault,15-0979,08-26-15/1106,08-26-15/1106,Howard Plaza Towers
Injured Person,15-0980,08-26-15/1115,08-26-15/1115,Engineering Building
Sick Person,15-0981,08-26-15/1150,08-26-15/1147,Biology building
Lost Property,15-0982,08-26-15/1428,08-26-15/1428,College Hall South
Damaged Property,15-0983,08-26-15/1548,08-26-15/1548,Cramtom Auditoriun
Miscellaneous,15-0984,08-26-15/1601,08-26-15/1215,Fine Arts
Found Property,15-0985,08-26-15/1625,08-26-15/1622,Greene Stadium
Fire Alarm Activation,15-0986,08-26-15/1714,08-26-15/1713,Drew Hall
Theft from Auto,15-0987,08-26-15/1957,08-26-15/1957,Greene Stadium
Lost Property,15-0988,08-26-15/2017,08-26-15/2017,Bethune Hall Annex
Sick Person,15-0989,08-27-15/0315,08-27-15/0315,HU Hospital
Found Property,15-0990,08-27-15/0409,08-27-15/0400,2300 6th St. NW
Damaged Property,15-0991,08-27-15/1137,08-27-15/1100,Dental School
Theft from Auto,15-0992,08-27-15/1558,08-27-15/1540,Off Campus
Sick Person,15-0993,08-27-15/1525,08-27-15/1505,Plaza Towers
Miscellaneous,15-0994,08-27-15/2259,08-27-15/2259,Quadrangle Hall
Fire,15-0995,08-28-15/0145,08-28-15/0141,Wonder Plaza
Domestic Violence,15-0996,08-28-15/1641,08-23-15/1315,Service Center-Off Campus
Fire Alarm Activation,15-0997,08-28-15/1736,08-28-15/1736,Bethune Hall Annex
Student Misconduct,15-0998,08-28-15/2117,08-28-15/2117,Slowe Hall
Lost Property,15-0999,08-28-15/2229,08-28-15/2229,4th & W St. NW
Student Misconduct,15-1000,08-29-15/0033,08-29-15/0033,Physic Building
No Report,15-1001,,,
Fire Alarm Activation,15-1002,08-29-15/1225,08-29-15/1225,College Hall North
Vehicle Accident,15-1003,08-29-15/2224,08-29-15/2224,Off Campus
Sick Person,15-1004,08-29-15/2359,08-29-15/2357,HU Hospital
Miscellaneous,15-1005,08-30-15/1211,08-30-15/1211,Slowe Hall
Simple Assault,15-1006,08-30-15/1925,08-30-15/1925,College Hall South
Student Misconduct,15-1007,08-30-15/2121,08-30-15/2120,Slowe Hall
Sick Transport,15-1008,08-30-15/2330,08-30-15/2330,Quadrangle Hall
Miscellaneous,15-1009,08-30-15/2232,08-30-15/2231,College Hall South
Miscellaneous,15-1010,08-31-15/1122,08-31-15/1122,Burr Gymnasium
Hazardous Elevator,15-1011,08-31-15/1418,08-31-15/1418,Plaza Towers
Hazardous Elevator,15-1012,08-31-15/2108,08-31-15/2008,Law School
Theft 1,15-1013,09-01-15/1855,09-01-15/1852,Burr Gymnasium
Miscellaneous,15-1014,09-01-15/1923,09-01-15/1830,Plaza Towers
Fire Alarm Activation,15-1015,09-01-15/2239,09-01-15/2229,Plaza Towers
Suspicious Odor,15-1016,09-01-15/2352,09-01-15/2348,Cook Hall
Theft from Auto,15-1017,09-02-15/1347,09-02-15/1210,Lower campus
Theft from Auto,15-1018,09-02-15/1411,09-02-15/1411,500 block of Gresham Pl. NW
Lost Property,15-1019,09-02-15/1517,09-01-15/1335,Blackburn Center
Sick Transport,15-1020,09-02-15/1607,09-02-15/1528,Quadrangle Hall
Student Misconduct,15-1021,09-02-15/1714,09-02-15/1714,Plaza Towers
Suspicious Odor,15-1022,09-02-15/1815,09-02-15/1715,Bethune Hall Annex
Theft From Auto,15-1023,09-02-15/1837,09-02-15/1810,Greene Stadium
Found Property,15-1024,09-02-15/2230,09-02-15/2225,College Hall North
Hazardous Elevator,15-1025,09-03-15/0129,09-02-15/0126,Quadrangle Hall
Armed Robbery,15-1026,09-03-15/0139,09-03-15/0139,Ledroit Park Playground
Miscellaneous,15-1027,09-03-15/1043,09-03-15/1043,Plaza Towers
Student Misconduct,15-1028,09-03-15/1113,09-03-15/1111,Bookstore
Injured Person,15-1029,09-03-15/1619,09-03-15/1619,2200 block 6th & Bryant St. NW
Theft 2,15-1030,09-03-15/1638,09-03-15/1638,Wonder Plaza
Disorderly Conduct,15-1031,09-03-15/1812,09-03-15/1812,Bookstore
Injured Person,15-1032,09-03-15/2339,09-03-15/2329,300 block of U St. NW
Sick Person,15-1033,09-04-15/0150,09-03-15/0150,Bethune Hall Annex
Theft 2,15-1034,09-04-15/1122,09-04-15/1110,Drew Hall
Lost Property,15-1035,09-04-15/1329,09-04-15/1329,Wonder Plaza
Vehicle Accident,15-1036,09-04-15/1546,09-04-15/1530,Girard St. NW
Lost Property,15-1037,09-04-15/1552,09-04-15/1549,College Hall South
Sick Person,15-1038,09-04-15/1824,09-04-15/1824,Drew Hall
Lost Property,15-1039,09-04-15/1915,09-04-15/1914,Social Work
Assault on a Police Officer,15-1040,09-04-15/1951,09-04-15/1713,Off Campus
Hazardous Water Leak,15-1041,09-04-15/1720,09-04-15/1714,Locke Hall
Simple Assault,15-1042,09-05-15/0251,09-05-15/0251,Bethune Hall
Injured Person,15-1043,09-05-15/1319,09-05-15/1315,Quadrangle Hall
Theft from Auto,15-1044,09-05-15/1508,09-05-15/1503,500 block of Gresham Pl. NW
Student Misconduct,15-1045,09-06-15/0100,09-06-15/0044,Off Campus
Sick Person,15-1046,09-06-15/1900,09-06-15/1859,Bethune Annex
Injured Person,15-1047,09-06-15/1943,09-06-15/1943,Bethune Annex
Student Misconduct,15-1048,09-07-15/0318,09-07-15/0025,Bethune Annex
Miscellaneous,15-1049,09-07-15/0147,09-07-15/0140,Plaza Towers
Miscellaneous,15-1050,09-07-15/1256,09-07-15/1249,Plaza Towers
Student Misconduct,15-1051,09-07-15/1700,09-07-15/1700,Bethune Annex
Miscellaneous,15-1052,09-07-15/1756,09-07-15/1645,Bethune Annex
Theft 2,15-1053,09-07-15/2042,09-07-15/2033,Plaza Towers
Robbery force and Violence,15-1054,09-07-15/2125,09-07-15/2120,HURB-1
Fire Alarm Active,15-1055,09-07-15/2225,`09-07-15/2206,Quadrangle Hall
Sick Person,15-1056,09-08-15/0357,09-08-15/0352,Quadrangle Hall
Injured Person,15-1057,09-08-15/1435,09-08-15/1435,School of Business
Vehicle Accident,15-1058,09-08-15/2130,09-08-15/2120,Off Campus
Damaged Property,15-1059,09-08-15/2252,09-08-15/2252,Off Campus
Unlawful Entry,15-1060,09-09-15/1042,09-09-15/1041,Bethune Hall Annex
Injured Person,15-1061,09-09-15/1129,09-09-15/1129,Lower campus
Threats,15-1062,09-09-15/1754,08-28-15/1800,HU Hospital
Hazardous Elevator,15-1063,09-09-15/2010,09-09-15/2010,Plaza Towers
Suspicious Odor,15-1064,09-10-15/0200,09-09-15/0200,Cook Hall
Found Property,15-1065,09-10-15/1135,09-10-15/1134,Mackey Lot
Miscellaneous,15-1066,09-10-15/1453,09-10-15/1228,HU Hospital
Student Misconduct,15-1067,09-10-15/1549,09-10-15/1518,College Hall North
Student Misconduct,15-1068,09-10-15/1841,09-10-15/1836,College Hall North
Sick Person,15-1069,09-11-15/0027,09-11-15/0027,HU Hospital
Miscellaneous,15-1070,09-11-15/0338,09-11-15/0339,College Hall South
Sick Person,15-1071,09-11-15/0705,09-11-15/0705,HU Hospital
Injured Person,15-1072,09-11-15/0850,09-11-15/0850,Greene Stadium
Lost Property,15-1073,09-11-15/1446,09-11-15/1431,College Hall North
Sick Person,15-1074,09-11-15?1904,09-11-15/1904,Engineering Building
Fire Alarm Activation,15-1075,9-11-15/2234,09-11-15/2234,Cook Hall
Sick Transport,15-1076,09-11-15/2356,09-11-15/2355,College Hall South
Sick Person,15-1077,09-12-15/0544,09-12-15/0526,Bethune Hall Annex
Fire Alarm Activation,15-1078,09-12-15/1529,09-12-15/1518,Cook Hall
Fire Alarm Activation,15-1079,09-12-15/2145,09-12-15/2143,College Hall South
Fire Alarm Activation,15-1080,09-12-15/2145,09-12-15/2143,College Hall South
Burglary 1,15-1081,09-13-15/0032,09-12-15/0032,College Hall South
Fire Alarm Activation,15-1082,09-13-15/1318,09-13-15/1318,College Hall South
Student Misconduct,15-1083,09-13-15/1710,09-13-15/1658,Cook Hall
Fire Alarm Activation,15-1084,09-13-15/1853,09-13-15/1820,College Hall South
Student Misconduct,15-1085,09-13-15/2055,09-13-15/2046,College Hall South
Fire Alarm Activation,15-1086,09-14-15/0018,09-14-15/0015,Blackburn Center
Sick Person,15-1087,09-14-15/0537,09-14-15/0535,HU Hospital
Damaged Property,15-1088,09-14-15/1034,09-14-15/1033,Cook Hall
Theft from Auto,15-1089,09-14-15/1204,09-14-15/1034,Cook Hall
Damaged Property,15-1090,09-14-15/1040,09-14-15/1039,Lower campus
Burglary 2,15-1091,09-14-15/1116,09-14-15/0900,Howard Plaza Towers
Lost Property,15-1092,09-14-15/1200,09-14-15/1108,Quadrangle Hall
Lost Property,15-1093,09-14-15/1625,09-14-15/1624,Administration Building
Fire Alarm Activation,15-1094,09-14-15/2000,09-14-15/2000,Cook Hall
Lost Property,15-1095,09-14-15/2135,09-14-15/2129,Fine Arts Building
Destruction Of Property,15-1096,09-14-15/2334,09-14-15/2306,Stokes Library
Aggravated Assault,15-1097,09-14-15/1030,09-10-15/1600,College Hall South
Theft 2,15-1098,09-15-15/0835,09-15-15/0835,Quadrangle Hall
Sick Person,15-1099,09-15-15/1040,09-15-15/1035,Howard Plaza Towers
Student Misconduct,15-1100,09-15-15/1302,09-15-15/1302,Bethune Hall Annex
Sick Person,15-1101,09-15-15/1420,09-15-15/1419,Quadrangle Hall
Sick Person,15-1102,09-15-15/1604,09-15-15/1603,Stokes Library
Miscellaneous,15-1103,09-15-15/1900,09-15-15/1854,Wonder Plaza
Sick Person,15-1104,09-15-15/2036,09-15-15/2036,Quadrangle Hall
Miscellaneous,15-1105,09-15-15/2112,09-15-15/2112,College Hall North
Student Misconduct,15-1106,09-16-15/1010,09-16-15/0958,Bethune Hall Annex
Simple Assault,15-1107,09-16-15/1908,09-16-15/1908,Blackburn Center
Destruction Of Property,15-1108,09-16-15/2035,09-16-15/2024,Off Campus
Sick Person,15-1109,09-17-15/0100,09-17-15/0056,Quadrangle Hall
Hazardous Water Leak,15-1110,09-17-15/0854,09-17-15/0854,Fine Arts Building
Harassment,15-1111,09-17-15/0946,09-17-15/0915,Off Campus
Theft from Auto,15-1112,09-17-15/1120,09-11-15/0800,College of Denistry
Lost Property,15-1113,09-17-15/1630,09-17-15/1502,Howard Plaza Towers
Sick Person,15-1114,09-17-15/1849,09-17-15/1849,Quadrangle Hall
Vehicle Accident,15-1115,09-17-15/1935,09-17-15/1935,Upper Campus
Injured Person,15-1116,09-17-15/2017,09-17-15/2015,Cramton Auditorium
Fire Alarm Activation,15-1117,09-17-15/2030,09-17-15/2030,College Hall South
