NATURES OF CRIMES,CASE NUMBERS,DATE/TIME REPORTED,DATE/TIME OCCURRED
Sick Person,18-0669,4/24/18 5:17pm,4/24/18 5:17pm,Cook Hall
Miscellaneous,18-0670,4/24/18 7:11pm,4/24/18 4:30pm,HU Hospital
Simple Assault,18-0671,4/24/18 10:24pm,4/24/18 9:38pm,HU Hospital
Lost Property,18-0672,4/25/18 2:41am,4/25/18 2:15am,HU Hospital
Injured Person,18-0673,4/25/18 9:37am,4/25/18 9:36am,Founder Library
Damaged Property,18-0674,4/25/18 9:24am,4/25/18 9:24am,Engineering Building
Missing Person,18-0675,4/25/18 10:23am,4/25/18  10:23am,College Hall South
Vehicle Accident,18-0676,04/25/18 12:32pm,4/25/18 12:32pm,A-2 Garage
Hazardous Elevator,18-0677,04/25/18 1:35pm,4/25/18 1:31pm,Law Library
Miscellaneous,18-0678,4/25/18 1:09pm,4/25/18 1:09pm,WHUT
Harassment,18-0679,4/25/18 2:51pm,4/25/18 2:51pm,Carnegie Hall
Sick Person,18-0680,4/25/18 6:12pm,4/25/18 6:12pm,Drew Hall
Sick Person,18-0681,4/25/18 8:46pm,4/25/18 8:46pm,500 block of 6th St. NW
Sick Person,18-0682,4/26/18 5:54am,4/26/18 5:54am,Howard Plaza Towers West
Damaged Property,18-0683,4/26/18 11:11am,4/26/18 11:11am,5th & W St. Lot
Injured Person,18-0684,4/26/18 1:03pm,4/26/18 1:03pm,Blackburn Center
Lost Property,18-0685,4/26/18 1:28pm,4/26/18 9:25am,Cook Hall
Vehicle Accident,18-0686,4/26/18 2:05pm,4/26/18 1:34pm,A-1 rear Parking Lot
Lost Property,18-0687,4/26/18 2:14pm,4/26/18 2:14pm,HU Hospital
Sick Person,18-0688,4/26/18 5:08pm,4/26/18 5:08pm,Bethune Annex
Hazardous Elevator,18-0689,4/27/18 8:11am,4/27/18 8:05am,Fine Arts Building
Fire Alarm Activation,18-0690,4/27/18 12:42pm,4/27/18 12:42pm,College Hall South
Hazardous  Elevator,18-0691,4/27/18 8:23am,4/27/18 8:23am,Engineering Building
Fire Alarm Activation,18-0692,4/27/18 4:58pm,4/27/18 3:00pm,Howard Center
Sick Person,18-0693,4/27/18 10:06pm,4/27/18 9:56pm,HU Child Care Center
Lost Property,18-0694,4/28/18 6:54pm,4/28/18 6:25pm,HU Hospital
Fire,18-0695,4/28/18 7:00pm,4/28/18 7:00pm,Engineering Building
Miscellaneous,18-0696,4/29/18 12:16am,4/29/18 12:16am,Fine Arts Building
Miscellaneous,18-0697,4/29/18 12:27am,4/29/18 12:27am,Administration Building
Sick Person,18-0698,4/29/18 7:14am,4/29/18 7:14am,College Hall South
Miscellaneous,18-0699,4/29/18 11:30am,4/29/18 11:30am,HU Hospital
Sick Person,18-0700,4/29/18 4:02pm,4/29/18 4:02pm,Cook Hall
Hazardous Elevator,18-0701,4/29/18 9:54pm,4/29/18 9:54pm,Drew Hall
Threats,18-0702,4/30/18 1:29am,3/29/18 12:04pm,Engineering Building
Sick Person,18-0703,4/30/18 12:12pm,4/30/18 11:45am,College of Denistry
Disorderly Conduct,18-0704,4/30/18 2:02pm,4/30/18 2:04pm,Cook Hall
Student Misconduct,18-0705,4/30/18 7:08pm,4/30/18 7:08pm,College Hall North
Miscellaneous,18-0706,4/30/18 4:06pm,4/30/18 3:27pm,School of Business
Sick Person,18-0707,5/1/18 3:59am,5/1/18 3:59am,HU Hospital
Fire Alarm Activation,18-0708,5/1/18 10:52am,5/1/18 10:52AM,Biology Building
Theft 1,18-0709,5/1/18 2:17pm,5/1/18 2:19pm,College of Denistry
Fire Alarm Activation,18-0710,5/1/18 3:37pm,5/1/.18 3:37pm,Architecture & Planning
Sick Person,18-0711,5/1/18 3:54pm,5/1/18 3:46pm,HU Hospital
Sick Person,18-0712,5/1/18 5:53pm,5/1/18 5:45pm,HU Hospital
Theft from Auto,18-0713,5/1/18 5:32pm,5/1/18 5:38pm,Ralph Bunch Building
Sick Person,18-0714,5/1/18 6:02pm,5/1/18 6:02pm,Bethune Annex
Miscellaneous,18-0715,5/1/18 6:12pm,5/1/18 6:12pm,HU Hospital
Sick Person,18-0716,5/1/18 6:27pm,5/1/18 6:23pm,HU Hospital
Sick Person,18-0717,5/1/18 6:27pm,5/1/18 6:23pm,HU Hospital
Sick Person,18-0718,5/1/18 6:51pm,5/1/18 6:45pm,HU Hospital
Sick Person,18-0719,5/1/18 8:56pm,5/1/18 8:54pm,HU Hospital
Eloped Patient,18-0720,5/2/18 2:22pm,5/2/18 2:10pm,HU Hospital
Sick Transport,18-0721,5/2/18 2:25am,5/2/18 2:28am,HU Hospital
Injured Person,18-0722,5/2/18 10:59am,5/2/18 10:59am,HU Hospital
Miscellaneous,18-0723,5/2/18 11:23am,5/2/18 10:00am,HU Hospital
Sick Person,18-0724,5/2/18 12:15pm,5/2/18 12:07pm,Off Campus
Injured Person,18-0725,5/2/18 1:37pm,5/2/18 1:35pm,Wonder Plaza
Sick Person,18-0726,5/2/18 2:35pm,5/2/18 2:35pm,College of Denistry
Threats,18-0727,5/2/18 5:43pm,5/2/18 5:43pm,Locke Hall
Student Misconduct,18-0728,5/2/18 6:31pm,5/2/18 6:31pm,C.B. Powell Building
Unlawful Entry,18-0729,5/2/18 7:27pm,5/2/18 8:10pm,Service Center
Damaged Property,18-0730,5/2/18 7:30pm,5/2/18 7:40pm,Quadrangle Hall
Theft 1,18-0731,5/2/18 9:03pm,5/2/18 9:00pm,Blackburn Center
Student Misconduct,18-0732,5/2/18 11:00pm,5/2/18 10:12pm,Academic A-B
Domestic Violence,18-0733,5/2/18 9:38pm,5/2/18 9:40pm,Bethune Annex
Sick Person,18-0734,5/3/18 11:38pm,5/3/18 11:30am,HU Hospital
Theft 2,18-0735,5/3/18 12:06pm,5/3/18 12:06pm,Blackburn Center
Suspicious Odor,18-0736,5/3/18 2:05pm,5/3/18 12:04pm,College Hall South
Fire Alarm Activation,18-0737,5/3/18 1:57pm,4/30/18 2:00pm,Architecture & Planning
Unlawful Entry,18-0738,5/3/18 5:28pm,5/3/18 5:30pm,Plaza Towers
Assault on a Police Officer,18-0739,5/4/18 2:54am,5/4/18 2:54am,HU Hospital
Fire Alarm Activation,18-0740,5/4/18 9:46am,5/4/18 9:48am,Architecture & Planning
Hazardous Water Leak,18-0741,5/4/18 11:59am,5/4/18 12:01pm,SOCC
Theft from Auto,18-0742,5/4/18 4:32pm,5/4/18 4:17pm,HU Hospital
Sick Person,18-0743,5/4/18 8:47pm,5/4/18 8:47pm,Blackburn Center
Attempt Suicide,18-0744,5/4/18 10:13pm,5/4/18 10:16pm,Plaza Towers
Unlawful Entry/Student Misconduct,18-0745,5/4/18 9:24pm,5/4/18 9:24pm,Drew Hall
Hazardous Water Leak,18-0746,5/5/18 2:49am,5/5/18 2:49am,HU Hospital
Student Misconduct,18-0747,5/6/18 6:47pm,5/6/18 6:47pm,College Hall South
Miscellaneous,18-0748,5/6/18 5:31pm,5/6/18 5:42pm,Service Center
Miscellaneous,18-0749,5/6/18 9:23pm,5/6/18 9:23pm,College Hall South
Damaged Property,18-0750,5/7/18 11:12am,5/7/18 11:13am,2300 block of 6th St. NW
Found Property,18-0751,5/7/18 1:27pm,5/7/18 1:27pm,Gnome Building
Theft from Auto,18-0752,5/7/18 4:16pm,5/7/18 4:16pm,5th & W Parking Lot
Unlawful Entry,18-0753,5/7/18 5:27pm,5/7/18 5:27pm,C.B. Powell Building
Student Misconduct,18-0754,5/7/18 7:50pm,5/7/18 7:50pm,Founders Library
Student Misconduct,18-0755,5/7/18 7:55pm,5/7/18 7:55pm,Founders Library
Lost Property,18-0756,5/7/18 10:10pm,5/7/18 8:10pm,HU Hospital
Sick Person,18-0757,5/7/18 10:54pm,5/7/18 10:45pm,Academic Support B
Sick Person,18-0758,5/8/18 12:37am,5/8/18 12:37am,College Hall South
Suspicious Package,18-0759,5/8/18 8:49am,5/8/18 8:34am,A-2 Garage
Miscellaneous,18-0760,5/8/18 1:39pm,5/8/18 1:39pm,Plaza Towers
Sick Person,18-0761,5/8/18 4:54pm,5/8/18 4:46pm,HU Hospital
Sick Person,18-0762,5/9/18 4:33pm,5/8/18 10:15am,HU Hospital
Miscellaneous,18-0763,5/9/18 5:04pm,5/9/18 5:04pm,A-2 Garage
Fire Alarm Activation,18-0764,5/9/18 6:18pm,5/9/18 6:15pm,Plaza Towers
Simple Assault,18-0765,5/9/2018  8:00pm,5/9/18 7:15pm,HU Hospital
Student Misconduct,18-0766,5/9/18 8:34pm,5/9/18 8:34pm,C.B. Powell Building
Sick Person,18-0767,5/9/18 11:11pm,5/9/18 11:20pm,College Hall South
Sick Person,18-0768,5/9/18 11:35pm,5/10/18 2:00am,Off Campus
Injured Person,18-0769,5/10/18 3:32pm,5/10/18 3:32am,HU Hospital
Theft from Auto,18-0770,5/10/18 1:09pm,5/10/18 1:09pm,2300 block of 6th St. NW
Damaged Property,18-0771,5/10/18 3:15pm,5/10/18 3:15pm,Locke Hall
Theft from Auto,18-0772,5/10/18 3:33pm,05/10/18 3:00pm,Engineering Parking Lot
Fire Alarm Activation,18-0773,5/10/18 7:50pm,5/10/18 7:50pm,Social Work
Miscellaneous,18-0774,5/10/18 8:03pm,04/10/18 8:15pm,College Hall South
Theft 1,18-0775,5/11/18 7:41am,5/11/18 7:40am,Power Plant
Sick Person,18-0776,5/11/18 8:39am,5/11/18 8:39am,College Hall South
Fire  Alarm Activation,18-0777,5/11/18 12:21pm,5/11/18 12:21pm,Architecture & Planning
Fire Alarm Activation,18-0778,5/11/18 12:57pm,5/11/18 12:58pm,College Of Denistry
No Report,18-0779,,,
Found Property,18-0780,5/11/18 4:21pm,5/11/18 4:41pm,"Ga., Ave., NW& Girard St. NW"
Found Property,18-0781,5/12/18 12:54am,5/12/18 12:58am,2009 8th St. NW
Found Property,18-0782,5/12/18 2:32am,5/12/18 2:30am,HU Hospital
Found Property,18-0783,5/12/18  9:04am,5/12/18 8:15am,HU Hospital
Damaged Property,18-0784,5/12/18 9:08am,5/12/18 9:08am,College Hall North
Found Property,18-0785,5/12/18 9:16am,5/12/18 9:16am,Burr Gym
Hazardous Elevator,18-0786,5/12/18 11:36am,5/12/18 11:45am,Quadrangle Hall
Damaged Property,18-0787,5/12/18 12:38pm,5/12/18 12:38pm,Drew Hall
Found Property,18-0788,5/12/18 10:37am,5/10/18 11:56am,Upper Campus
Vehicle Accident,18-0789,5/12/18 2:59pm,5/12/18 2:59PM,700 Block of Girard St.
Sick Person,18-0790,5/12/18 1:13pm,5/12/18 1:13pm,Harvard St. NW
Indecent Exposure,18-0791,5/12/18 10:47pm,5/12/18 10:47pm,I-lab
Simple Assault,18-0792,5/13/18 8:03am,5/13/18 7:15am,HU Hospital
Found Property,18-0793,5/13/18 3:44pm,3/13/18 3:45pm,Campus wide
Simple Assault,18-0794,5/13/18 5:42pm,5/13/18 7:40pm,HU Hospital
Miscellaneous,18-0795,5/14/18 12:06pm,5/14/18 12:08pm,Plaza Towers
Fire Alarm Activation,18-0796,5/15/18 7:27pm,5/15/18 7:32am,Howard Center
Fire Alarm Activation,18-0797,5/15/18 10:08am,5/15/18 9:48am,A-2 Garage
Theft from Auto,18-0798,5/15/18 4:13pm,5/15/18 3:20pm,A-2 Garage
Damaged Property,18-0799,5/15/18 5:16pm,5/15/18 5:10pm,A-2 Garage
Simple Assault,18-0800,5/16/18 8:10am,5/16/18 7:15am,Service Center
Theft 2,18-0801,5/16/18 11:10am,5/16/18 1:00am,Service Center
Theft 2,18-0802,5/16/2018 4:19pm,5/16/2018 11:30am,School of Business
Fire Alarm Activation,18-0803,5/16/18 7:49pm,5/16/18 7:49pm,College Hall South
Hazardous Water Leak,18-0804,5/16/18 11:21pm,5/16/18 11:21pm,C.B Powell Building
Hazardous Water Leak,18-0805,5/17/18 12:33am,5/17/18 12:33am,Blackburn Center
Hazardous Water Leak,18-0806,5/17/18 9:14am,5/17/18 9:14am,HURB-1
Damaged Property,18-0807,5/17/18 12:51pm,5/17/18 12:51pm,C.B Powell Building
Vehicle Accident,18-0808,5/18/18 2:11am,5/18/18 2:20am,Off Campus
Unlawful Entry,18-0809,5/18/18 5:38am,5/18/18 4:44am,HU Hospital
Injured Person,18-0810,5/18/18 10:00am,5/18/18 10:00am,Middle School
Miscellaneous,18-0811,5/18/18 2:01pm,5/18/18 12:19pm,HU Hospital
Fire Alarm Activation,18-0812,5/18/18 3:12pm,5/18/18 2:55pm,HU Hospital
Damaged Property,18-0813,5/18/18 3:01pm,5/18/18 2:59pm,2400 block of St. NW
Fire Alarm Activation,18-0814,5/19/18 11:31am,5/19/18 12:05pm,HU Hospital
Fire Alarm Activation,18-0815,5/19/18 4:55pm,5/8/18 4:55pm,College of Denistry
Theft from Auto,18-0816,5/19/18 5:32pm,5/9/18 5:32pm,6th & Girard St. NW
Hazardous Elevator,18-0817,5/20/18 1:15pm,5/20/18 1:23pm,Plaza Towers
Theft from Auto,18-0818,5/20/18 2:09pm,5/20/18 2:09pm,Cook Hall
Vandalism /Misc.,18-0819,5/20/18 7:03pm,5/20/18 7:00pm,I-Lab
Fire Alarm Activation,18-0820,5/21/18 12:48pm,5/21/18 12:48pm,UGL
Fire Alarm Activation,18-0821,5/21/18 12:25pm,5/21/18 12:28pm,Pharmacy Building
Sick Person,18-0822,5/21/18 4:44pm,5/21/18 4:56pm,College Hall South
Fire Alarm Activation,18-0823,5/22/18 3:25am,5/22/18 3:25am,Service Center
Hazardous Water Leak,18-0824,5/22/18 8:54am,5/22/18 9:14am,College of Denistry
Threats,18-0825,5/22/18 7:52pm,5/22/18 11:59pm,On Campus
Hazardous Water Leak,18-0826,5/22/18 8:34pm,5/22/18 7:15pm,HU Hospital
Fire Alarm Activation,18-0827,5/23/18 11:10am,5/23/18 11:12am,Stokes Library
Vehicle Accident,18-0828,5/23/18 1:15pm,5/23/18 1:20pm,Douglass Hall
Simple Assault,18-0829,5/23/18 3:55pm,5/23/18 4:10pm,Service Center
Hazardous Elevator,18-0830,5/23/18 9:46pm,5/23/18 6:36pm,HU Hospital
Simple Assault,18-0831,5/24/18 12:27pm,5/24/18 10:50am,HU Hospital
Theft 2,18-0832,5/24/18 12:41pm,5/24/18 12:41pm,Cook Hall
Destruction of Property,18-0833,5/24/18 1:55pm,5/24/18 2:10pm,Douglass Hall
Theft from Auto,18-0834,5/24/18 5:37pm,5/24/18 3:42pm,Childers Lot
Lost Property,18-0835,5/25/18 9:21pm,5/25/18 9:21am,Biology Building
Injured Person,18-0836,5/25/18 5:49pm,5/25/18 6:15pm,Plaza Towers
Sick Person,18-0837,5/25/18 8:53pm,5/25/18 8:55pm,2300 block of 6th St. NW
Fire Alarm Activation,18-0838,5/26/18 12:39am,5/26/18 12:41pm,Plaza Towers
Fire Alarm Activation,18-0839,5/26/18 9:45am,5/26/18 9:45am,School of Business
Fire Alarm Activation,18-0840,5/26/18 11:28am,5/26/18 11:36am,Service Center
Miscellaneous,18-0841,5/26/18 4:29pm,5/26/18 4:29pm,Engineering Building
Miscellaneous,18-0842,5/26/18 7:18pm,5/26/18 6:53pm,HU Hospital
Miscellaneous,18-0843,5/27/18 7:38pm,5/27/18 7:38pm,Service Center
Vehicle Accident,18-0844,5/28/18 9:09am,5/28/18 8:42am,A-2 Garage
Shoplifting,18-0845,5/29/18 9:28am`,5/29/18 9:10am,HU Hospital
Miscellaneous,18-0846,5/29/18 1:10pm,5/23/18 5:40pm,On Campus
Vehicle Accident,18-0847,5/29/18 4:12pm,5/29/18 5:30pm,Founders Library
Simple Assault,18-0848,5/29/18 8:22pm,5/29/18 7:41pm,HU Hospital
Sick Person,18-0849,5/30/18 5:13am,5/30/18 5:13am,Administration Building
unlawful Entry,18-0850,5/31/18 1:33pm,5/31/18 1:36pm,College Hall South
Sick Person,18-0851,6/01/18 2:01pm,6/01/18 2:01pm,Blackburn Center
Injured Person,18-0852,6/2/18 6:48am,6/2/18 5:30am,HU Hospital
Miscellaneous,18-0853,6/2/18 6:57pm,6/2/18 6:36pm,Cramton Auditorium
Fire Alarm Activation,18-0854,6/2/18 7:31pm,6/2/18 6:30pm,Plaza Towers
Fire Alarm Activation,18-0855,6/2/18 10:44pm,6/2/18 10:42pm,College Hall South
Fire Alarm Activation,18-0856,6/3/18 12:18pm,6/3/18 12:33pm,College Hall South
Fire Alarm Activation,18-0857,6/4/18 11:55am,6/4/18 11:55am,Founders Library
Injured Person,18-0858,6/4/18 2:51pm,6/4/18 2:51pm,College Hall North
Theft 2,18-0859,6/5/18 8:57am,6/5/18 8:05am,Service Center
Title 9,18-0860,6/5/18 10:18am,6/5/18 10:18am,On Campus
Destruction of Property,18-0861,6/5/18 6:13pm,6/5/18 4:00pm,A1 rear Parking Lot
Unlawful Entry,18-0862,6/5/18 6:14pm,6/5/2018 7:45pm,Plaza Towers
Harassment,18-0863,6/6/18 6:15pm,6/6/18 7:48pm,Plaza Towers
Sick Person,18-0864,6/7/18 6:32am,6/7/18 6:32am,Starbucks Café
Shoplifting,18-0865,6/7/18 3:41pm,6/7/18 3:41pm,Bookstore
Hazardous Water Leak,18-0866,6/7/18 5:06pm,6/7/18 5:45pm,HURB-1
Threats to do bodily harm,18-0867,6/7/18 5:16pm,6/7/18 5:00pm,HU Hospital
Injured Person,18-0868,6/8/18 10:08am,6/5/18 6:58pm,HU Hospital
Injured Person,18-0869,6/8/18 10:11am,6/8/18 10:11am,Off Campus
Domestic Violence,18-0870,6/8/18 9:57am,6/8/18 9:57am,Cramton Auditorium
Theft from Auto,18-0871,6/10/18 9:46am,6/10/18 10:00am,Howard Center Lot
Damaged Property,18-0872,6/10/18 11:07am,6/10/18 11:13am,Burr Gym
Sick Person,18-0873,6/13/18 6:41am,6/13/18  6:41am,Florida Ave. Lot
Student Misconduct,18-0874,6/13/18 10:30am,6/12/18 10:30am,Administration Building
Sick Person,18-0875,6/13/18 5:43pm,6/13/18 5:43pm,HU Hospital
Sick Transport,18-0876,6/14/18 12:03am,6/14/18 12:03am,Howard Plaza Towers
Unlawful Entry,18-0877,6/14/18 12:36am,6/14/18 12:36am,College of Denistry
Damaged Property,18-0878,6/14/18 11:50am,6/14/18 11:52am,2200 block of 6th St. NW
Fire Alarm Activation,18-0879,6/15/18 2:14am,6/15/18 2:14am,College of Denistry
Sick Person,18-0880,6/15/18 2:09pm,6/15/18 10:50am,Howard Hospital
Miscellaneous,18-0881,6/16/18 2:05am,6/16/18 1:50am,HU Hospital
Unlawful Entry,18-0882,6/16/18 4:47am,6/16/18 4:25am,HU Hospital
Indecent Exposure,18-0883,6/18/18 8:25am,6/18/18 8:16am,Chemistry Bulding
Threats to do bodily harm,18-0884,6/18/18 7:34am,6/18/18 7:35am,Adams Building
Damaged Property,18-0885,6/18/18 2:31pm,6/18/18 2:40pm,Founders Lot
Hazardous Elevator,18-0886,6/18/18 5:46pm,6/18/18 5:56pm,Service Center
Lost Property,18-0887,6/19/18 11:02am,6/19/18 10:30am,Howard Center
Injured Person,18-0888,6/19/18 7:46pm,6/19/18 8:07pm,Florida Ave. Lot
Fire Alarm Activation,18-0889,6/19/18 10:15pm,6/19/18 10:15pm,Plaza Towers
Hazardous Elevator,18-0890,6/20/18  12:23pm,6/20/18 12:26pm,C.B. Powell Building
Fire Alarm Activation,18-0891,6/20/18 11:50am,6/20/18 11:50am,Miner Building
Sick Person,18-0892,6/21/18 5:23pm,6/21/18 5:24pm,College Hall South
Miscellaneous,18-0893,6/22/18 9:20am,6/22/18 9:30am,Administration Building
Stolen  Auto,18-0894,6/23/18 8:03am,6/23/18 7:15am,HU Hospital
Hazardous Water Leak,18-0895,6/23/18 10:07am,6/23/18 10:15am,Founders Library
Theft from Auto,18-0896,6/24/18 10:27am,6/24/18 9:40am,A-1 rear Parking Lot
Theft 2,18-0897,6/24/18 2:26pm,6/24/18 2:30pm,Bookstore
Found Property,18-0898,6/25/18 6:50am,6/25/2018 6:40am,Main Gate
Miscellaneous,18-0899,6/26/18 10:09am,6/26/18 11:00am,2219  W St. NW
Simple Assault,18-0900,6/26/18 1:36pm,6/26/18 1:36pm,College of Denistry
Theft 2,18-0901,6/26/18 12:11pm,6/26/18 12:11pm,Mudd Building
Theft 2,18-0902,6/26/18 2:28pm,6/26/18 12:57pm,HU Hospital
Theft2,18-0903,6/26/18 1:41pm,6/26/18 1:47pm,Engineering Building
Sick Person,18-0904,6/26/18 3:06pm,6/26/18 1:56pm,A-1 Garage
Damaged Property,18-0905,6/27/18 5:23pm,6/27/18 5:27pm,Childers Lot
Sexual Assault,18-0906,6/28/18 7:37am,6/28/18 7:37am,Cramton Auditorium
Found Property,18-0907,6/28/18 9:55am,6/28/18 10:15am,Biology Building
Theft 2,18-0908,6/28/18 1:44pm,6/28/18 12:40pm,HU Hospital
Stalking,18-0909,6/29/18 12:57pm,6/29/18  12:35pm,Dental School
Found Property,18-0910,6/30/18 9:54am,6/30/18 9:47am,Dental School
Vehicle Accident,18-0911,6/30/18 11:30am,6/30/18 11:40am,C.B. Powell Building
Damaged Property,18-0912,6/30/18 11:56pm,6/30/18 11:56pm,Banneker North Lot
Eloped Patient,18-0913,7/1/18 11:29pm,7/1/18 10:50pm,HU Hospital
Threats,18-0914,7/2/18 10:24am,7/2/18 10:24am,Blackburn Center
Damaged Property,18-0915,7/2/18 1:11pm,7/2/18 1:11pm,Lower Campus
Vandalism,18-0916,7/2/18 5:17pm,7/2/18 5:17pm,Plaza Towers
Theft 2,18-0917,7/2/18 6:30pm,7/2/18 6:43pm,Administration Building
ADW/Gun,18-0918,7/3/18 2:14am,7/3/18 2L08am,Off Campus
Fire Alarm Activation,18-0919,7/3/18 10:34am,7/3/18 10:35am,Burr Gym
Vehicle Accident,18-0920,7/3/18 12:12pm,7/3/18 12:15pm,Lower Campus
Lost Property,18-0921,7/3/18 3:53pm,7/3/18 3:30pm,Off Campus
Sick Person,18-0922,7/3/18 10:05pm,7/3/18 10:10pm,HU Hospital
Hazardous Water Leak,18-0923,7/5/18 8:10am,7/4/18 6:30am,Service Center
Fire Alarm Activation,18-0924,7/5/18 5:58pm,7/5/18 5:45pm,Biology Building
Damaged Property,18-0925,7/6/18 1:32pm,7/6/18 2:08pm,Academic Support B
Miscellaneous,18-0926,7/7/18 4:18pm,7/7/18 4:00pm,Engineering Building
Miscellaneous,18-0927,7/7/18 9:02pm,7/7/18 9:02pm,Wonder Plaza
Assault on a Police Officer,18-0928,7/9/18 1:02pm,7/8/18 11:30pm,HU Hospital
Theft 2,18-0929,7/9/18 2:35am,7/9/18 2:35am,Main Yard
Damaged Property,18-0930,7/9/18 10:39am,7/9/18 10:39am,West Campus
Lost Property,18-0931,7/9/18 10:52pm,7/9/18 4:00pm,HU Hospital
Fraud,18-0932,7/10/18 9:19pm,7/9/18 1:18pm,Service Center
Injured Person,18-0933,7/10/18 11:31am,7/10/18 11:31am,WHUT
Unlawful Entry,18-0934,7/10/18 11:35am,7/10/2018 11:57am,Bethune Annex
Lost Property,18-0935,7/10/18  6:17pm,7/09/18 5:43pm,Blackburn Center
Fire Alarm Activation,18-0936,7/11/18 8:23am,7/11/18 8:23am,Dental School
Theft from Auto,18-0937,7/11/18 9:20am,7/11/18 9:30am,Green Stadium Lot
Theft from Auto,18-0938,7/11/18 12:07pm,7/11/18 12:29pm,A-1 Rear Parking Lot
Theft 2,18-0939,7/11/18 2:19pm,7/11/18 2:25pm,Dental School
Injured Person,18-0940,7/11/18 8:33pm,7/11/18 7:50pm,HU Hospital
Sick Person,18-0941,7/11/18 9:30pm,7/11/18 9:30pm,Drew Hall
Theft from Auto,18-0942,7/11/18 1:20pm,7/12/18 1:25pm,Howard Center
"Ramsey, Tyrone",18-0943,7/12/18 3:23pm,7/12/18 3:40pm,Admin. Bldg.
Miscellaneous,18-0944,7/12/18 3:48pm,7/12/18 3:55pm,Bookstore
Fire Alarm Activation,18-0945,7/13/18 12:02am,7/13/18 12:03am,Dental School
Fire Alarm Activation,18-0946,7/13/18 4:38am,7/13/18 4:40am,Biology Bldg.
Drug Possession,18-0947,7/14/18 3:40am,7/14/18 3:40am,HU Hospital
Sick Person,18-0948,7/14/18 9:58am,7/14/18 9:59AM,I-Lab
Hazardous Water Leak,18-0949,7/16/18 9:13am,7/16/18 9:15am,Chemistry Building
Domestic Violence,18-0950,7/16/18 9:56am,7/16/18 9:06am,HU Hospital
Theft 2,18-0951,7/17/18 9:23am,7/17/18 9:40am,College Hall South
Theft from Auto,18-0952,7/17/18 7:44pm,7/17/18 7:19pm,Lower Campus
Unlawful Entry,18-0953,7/17/18 8:32pm,7/17/18 8:32pm,HURB-1
Recovered Property,18-0954,7/18/18 6:40pm,7/18/18 6:44pm,Biology Building
Fire Alarm Activation,18-0955,7/18/18 10:19pm,7/18/18 10:10pm,Plaza Towers
Fire Alarm Activation,18-0956,7/18/18 11:18pm,7/18/18 10:30pm,Plaza Towers
Hit & Run,18-0957,7/19/18 12:55pm,7/19/2018 1:00pm,Mudd Building
APO,18-0958,7/20/18 1:18am,7/19/18 11:35pm,HU Hospital
Harassment,18-0959,7/20/18 12:34pm,5/20/18 12:00pm,Service Center
Hazardous Odor,18-0960,7/20/18 3:38pm,7/20/18 3:38pm,Academic A
Lost Property,18-0961,07/21/18 2:02pm,7/21/18 2:20pm,HU Hospital
Hazardous Water Leak,18-0962,7/21/18 5:20pm,7/21/18 6:00pm,Wonder Plaza
Miscellaneous,18-0963,7/21/18 3:54pm,7/21/18 4:00pm,Howard Plaza
Injured Person,18-0964,7/21/18 10:15pm,7/21/18 4:26pm,HU Hospital
Hazardous Water Leak,18-0965,7/22/18 9:14am,7/22/18 9:04am,HU Hospital
Hazardous Water Leak,18-0966,7/23/18 8:01am,7/23/18 8:10am,I-Lab
Fire Alarm Activation,18-0967,7/23/18 11:46am,7/23/18 11:46am,College Hall South
Fire Alarm Activation,18-0968,7/23/18 1:42pm,7/23/18 1:45pm,School of Business
Unlawful Entry,18-0969,7/23/18 4:38pm,7/23/18 4:30pm,Burr Gymnasium
Unlawful Entry/Miscellaneous,18-0970,7/23/18 6:09pm,7/23/18 6:09pm,Howard Plaza
Theft 2,18-0971,7/24/18 12:21pm,7/24/18 12:51pm,Dental School
Hazardous Elevator,18-0972,7/24/18 10:57am,7/24/18 10:58am,Quadrangle Hall
Fire Alarm Activation,18-0973,7/25/18 11:03am,7/25/18 11:10am,Bookstore
Sick Person,18-0974,7/25/18 12:02PM,7/24/18 12:03PM,C.B Powell Building
Damaged Property,18-0975,7/25/18 4:36pm,7/25/18 4:40pm,Ira Aldridge
Hazardous Water Leak,18-0976,7/25/18 5:37pm,7/25/18 5:35pm,Service Center
Unlawful Entry,18-0977,7/26/18 2:28am,7/26/18 12:16am,HU Hospital
Burglary 2,18-0978,7/26/18 10:28am,7/26/18 10:30am,Plaza Towers
Stalking,18-0979,7/26/18 3:18pm,7/26/18 3:18pm,C.B. Powell Building
Miscellaneous,18-0980,7/26/18 6:59pm,7/26/18 7:05pm,Old Sub-Station
Damaged Property,18-0981,07/27/18 4:26pm,7/27/18 4:28pm,A-2 Garage
Stolen Auto,18-0982,7/27/18 5:19pm,7/27/18 5:19pm,Medical Art Building
Sick Person,18-0983,7/28/18 4:02am,7/28/18 4:02am,Service Center
Miscellaneous,18-0984,7/28/18 12:13pm,7/28/18 12:13pm,Plaza Towers
Lost Property,18-0985,7/28/18 1:53pm,7/28/18  9:48am,HU Hospital
Damaged Property,18-0986,7/28/18 4:36pm,7/28/18 4:55pm,900 block of Barry Pl. NW
Hazardous Elevator,18-0987,7/28/18 5:52pm,7/28/18 5:35pm,HU Hospital
Fire Alarm Activation,18-0988,7/29/18 9:26pm,7/29/18 9:30pm,Cramton Auditorium
