NATURES OF CRIMES,"CASENUMBERS","DATE/TIMEREPORTED",DATE/TIME OCCURRED,GENERAL LOCATION
Simple Assault,17-0596,4/17/2017 4:11pm,4/17/2017 3:45pm,Off Campus,Active
Sick Person,17-0597,4/17/2017 6:12pm,4/17/2017 4:20pm,Howard University Hospital,Inactive
Unlawful Entry,17-0598,4/17/2017 3:16pm,4/17/2017 3:25pm,Slowe Hall,Active
Damaged Property,17-0599,4/17/2017 9:11pm,4/17/2017 5:56pm,A-1 rear Parking Lot,Inactive
Sexual Assault,17-0600,4/18/2017 7:59am,4/18/2017 7:59am,Off Campus,Active
Found Property,17-0601,4/18/2017 10:04am,4/18/2017 10:05am,Main Gate,Inactive
Fire Alarm Activation,17-0602,4/18/2017 9:05am,4/18/2017 9:05am,Founders Library,Inactive
Theft from Auto,17-0603,4/18/2017 6:22pm,4/18/2017 6:20pm,300 Block of College St.,Active
Sick Person,17-0604,4/18/2017 3:56pm,4/18/2017 4:40pm,Howard University Hospital,Inactive
Damaged Property,17-0605,4/18/2017 8:30pm,4/18/2017 8:30pm,Burr Gymnasium Inactive
Sick Transport,17-0606,4/19/2017 12:01am,4/19/2017 12:04am,Upper Campus Inactive
Fire Alarm Activation,17-0607,4/19/2017 2:57pm,4/19/2017 2:58pm,Cook Hall Inactive
Sick Person,17-0608,4/19/2017 5:39pm,4/19/2017 5:29pm,Howard University Hospital Inactive
Lost Property,17-0609,4/19/2017 6:21pm,4/19/2017 6:34pm,Bethune Annex Inactive
Simple Assault,17-0610,4/20/2017 12:01am,4/20/2017 11:50pm,Quadrangle Hall Active
Miscellaneous,17-0611,4/20/2017 5:44am,4/20/2017 5:30am,Howard University Hospital Inactive
Fire Alarm Activation,17-0612,4/20/2017 10:21am,4/20/2017 10:20am,Service Center Active
Student Misconduct,17-0613,4/20/2017 11:17am,4/20/2017 10:00am,Howard University Service Cen Active
Lost Property,17-0614,4/20/2017 2:12pm,4/20/2017 11:50am,Howard University Hospital Inactive
Theft 2,17-0615,4/20/2017 2:14pm,4/20/2017 2:51pm,Locke Hall Active
Threats,17-0616,4/20/2017 5:43pm,4/20/2017 5:43pm,Annex 1 Active
Lost Property,17-0617,4/20/2017 5:46pm,4/20/2017 5:50pm,School of Business Inactive
Fire Alarm Activation,17-0618,4/20/2017 6:55pm,4/20/2017 6:55pm,Cook Hall Inactive
Student Misconduct,17-0619,4/21/2017 11:45am,4/21/2017 11:45am,Service Center Active
Fire Alarm Activation,17-0620,4/21/2017 1:00pm,4/21/2017 1:00pm,College Hall South Inactive
Damaged Property,17-0621,4/21/2017 1:33pm,4/21/2017 1:40pm,Mackey Lot Inactive
Sick Person,17-0622,4/21/2017 5:14pm,4/21/2017 5:11pm,Howard University Hospital Inactive
Found Property,17-0623,4/21/2017 5:16pm,4/21/2017 5:25pm,Service Center Inactive
Suspicious Odor,17-0624,4/21/2017 5:57pm,4/21/2017 7:51pm,Student Health Center Active
NO Report,17-0625,,,
Sick Person,17-0626,4/22/2017 1:59am,4/22/2017 1:50pm,Howard University Hospital Inactive
Stolen Auto,17-0627,4/22/2017 5:15pm,4/22/2017 5:45pm,Howard Plaza Towers/East Active
NO Report,17-0628,,,
Sick Person,17-0629,4/23/2017 1:00am,4/23/2017 1:00pm,Drew Hall Inactive
Lost Property,17-0630,4/25/2017 11:58pm,4/25/2017 11:58pm,Lower Campus Inactive
Theft from Auto,17-0631,4/26/2017 7:40am,4/26/2017 7:50am,College Hall South Active
NO Report,17-0632,,,
Lost Property,17-0633,4/26/2017 3:25pm,4/26/2017 4:20pm,Howard Plaza Towers Inactive
Theft 2,17-0634,4/26/2017 3:49pm,4/26/2017 5:04pm,College Hall South Active
Miscellaneous,17-0635,4/26/2017 8:40pm,4/26/2017 8:40pm,I-Lab Inactive
Hazardous Elevator,17-0636,4/27/2017 7:35am,4/27/2017 7:35am,Carnegie Building Inactive
NO Report,17-0637,,,
Sick Person,17-0638,4/27/2017 8:16am,4/27/2017 12:20pm,Quadrangle Hall Inactive
Theft 2,17-0640,4/27/2017 1:12pm,4/27/2017 12:36pm,Howard University Hospital,Active
Fire Alarm Activation,17-0641,4/27/2017 6:01pm,4/27/2017 6:00pm,College Hall North,Inactive
Found Property,17-0642,4/27/2017 10:18pm,4/27/2017 9:55pm,Blackburn Center,Inactive
Fire Alarm Activation,17-0643,4/28/2017 9:53am,4/28/2017 9:08am,Howard University Hospital,Inactive
Hazardous Elevator,17-0644,4/28/2017 12:08pm,4/28/2017 12:08pm,Howard Plaza Towers,Inactive
Fire Alarm Activation,17-0645,4/28/2017 2:24pm,4/28/2017 2:35pm,Cook Hall,Inactive
Fire Alarm Activation,17-0646,4/28/2017 7:29pm,4/28/2017 7:31pm,College Hall South,Inactive
Loud Noise,17-0647,4/29/2017 5:27am,4/29/2017 3:00am,Off Campus,Active
Damaged Property,17-0648,4/29/2017 10:11a m,4/29/2017 1:24pm,Howard University Hospital,Inactive
Sick Person,17-0649,4/29/2017 10:11am,4/24/2017 1:24pm,Bookstore,Inactive
Theft 2,17-0650,4/24/2017 10:16am,4/29/2017 12:11pm,Howard Center,Active
Sick Person,17-0651,4/29/2017 11:31am,4/29/2017 11:20am,Howard University Hospital,Inactive
Lost Property,17-0652,4/29/2017 2:19pm,4/29/2017 2:25pm,School of Business,Inactive
Damaged Property,17-0653,4/30/2017 10:13am,4/30/2017 9:53am,Howard University Hospital,Inactive
Fire Alarm Activation,17-0654,4/30/2017 11:31am,4/30/2017 11:31am,College Hall North,Inactive
Damaged Property,17-0655,5/1/2017 9:54am,5/1/2017 9:25am,Howard University Hospital,Inactive
Indecent Exposure,17-0656,5/1/2017 11:12am,5/1/2017 11:00am,Chemistry Building,Active
Lost Property,17-0657,5/1/2017 2:20pm,5/1/2017 3:00pm,Off Campus,Inactive
Unlawful Entry,17-0658,5/1/2017 3:53pm,5/1/2017 3:53pm,Locke Hall,Active
Miscellaneous,17-0659,5/1/2017 10:07am,5/1/2017 5:05pm,Business District,Inactive
NO Report,17-0660,,,,
Injured Person,17-0661,5/2/2017 1:54pm,5/2/2017 1:54pm,Mackey Lot,Active
Miscellaneous,17-0662,5/2/2017 4:51pm,4/30/2017 9:15pm,Off Campus,Inactive
Sick Person,17-0663,5/2/2017 5:38pm,5/2/2017 5:32pm,HUH Child Care,Inactive
Theft from Auto,17-0664,5/2/2017 8:38pm,5/2/2017 8:38pm,Upper Campus,Active
Student Misconduct,17-0665,5/2/2017 10:24pm,5/2/2017 10:20pm,Engineering Building,Active
Loud Noise,17-0666,5/3/2017 12:36am,5/3/2017 12:37am,Off Campus,Active
Lost Property,17-0667,5/3/2017 8:01am,5/3/2017 8:06am,Banneker Field,Inactive
Miscellaneous,17-0668,5/3/2017 8:33am,5/3/2017 8:45am,Admininstration Building,Inactive
NO Report,17-0669,,,,
Fire Alarm Activation,17-0670,5/3/2017 4:23pm,5/3/2017 4:23pm,Founders Library,Inactive
Sick Person,17-0671,5/3/2017 10:15pm,5/3/2017 10:10pm,Howard University Hospital,Inactive
Miscellaneous,17-0672,5/4/2017 12:59am,5/4/2017 12:59am,Bethune Annex,Inactive
Disoderly Conduct,17-0673,5/4/2017 4:04am,5/4/2017 3:50am,Cook Hall,Active
Damaged Property,17-0674,5/4/2017 11:35am,5/4/2017 9:30am,A-1 Rear Parking Lot,Inactive
NO Report,17-0675,,,,
Burlgary 1,17-0676,5/4/2017 4:12pm,5/4/2017 4:12pm,Off Campus,Active
Lost Property,17-0677,5/5/2017 2:12am,5/5/2017 1:30pm,Howard Plaza Towers,Inactive
NO Report,17-0678,,,,
Sick Person,17-0679,5/5/2017 1:19pm,5/5/2017 7:48am,Howard University Hospital,Inactive
Lost Property,17-0680,5/5/2017 1:59pm,5/5/2017 2:02pm,Cook Hall,Inactive
Damaged Property,17-0681,5/5/2017 3:17pm,5/5/2017 1:30pm,Howard University Hospital,Inactive
Found Property,17-0682,5/5/2017 5:11pm,5/5/2017 5:11pm,Wonder Plaza,Inactive
Disoderly Conduct,17-0683,5/5/2017 10:58pm,5/5/2017 10:55pm,College Hall South,Active
NO Report,17-0684,,,,
Fire Alarm Activation,17-0685,5/6/2017 3:41am,5/6/2017 3:41am,Cook Hall,Inactive
Sick Person,17-0686,5/6/2017 10:46am,5/6/2017 10:41am,Howard University Hospital,Inactive
Sick Person,17-0687,5/6/2017 12:26pm,5/6/2017 12:12pm,Howard University Hospital,Inactive
Sick Person,17-0688,5/6/2017 12:54pm,5/6/2017 12:40pm,Howard University Hospital,Inactive
Domestic Violence,17-0689,5/6/2017 6:06pm,5/6/2017 6:06pm,Off Campus,Active
Sick Person,17-0690,5/7/2017 2:45am,5/7/2017 2:45am,College Hall North,Inactive
Unlawful Entry,17-0691,5/7/2017 6:40am,5/7/2017 6:41am,Banneker South Parking,Active
Damaged Property,17-0692,5/7/2017 10:00am,5/7/2017 10:03am,HUSC Garage,Inactive
Barring Notice,17-0693,5/7/2017 10:04pm,5/7/2017 9:15pm,Howard University Hospital,Active
Sick Person,17-0694,5/8/2017 11:09am,5/8/2017 11:56am,Physic Building,Inactive
Theft from Auto,17-0695,5/8/2017 11:45am,5/8/2017 11:45am,Old Sub-Station,Active
Assault on a Police Officer,17-0696,5/9/2017 2:15am,5/9/2017 2:10am,Howard University Hospital,Active
Simple Assault,17-0697,5/9/2017 3:32am,5/9/2017 2:40am,Howard University Hospital,Active
Fire Alarm Activation,17-0698,5/9/2017 10:34AM,5/9/2017 9:39am,Carnegie Hall,Inactive
Fire Alarm Activation,17-0699,5/9/2017 12:59pm,5/9/2017 1:08pm,Quadrangle Hall,Inactive
Damaged Property,17-0700,5/9/2017 1:15pm,5/9/2017 1:30pm,A-2 Garage,Inactive
NO Report,17-0701,,,,
Injured Person,17-0702,5/9/2017 1:54pm,5/9/2017 1:49pm,Howard University Hospital,Active
Vehicle Accident,17-0703,5/9/2017 7:47pm,5/9/2017 7:47pm,"Ga., Ave., NW",Active
Theft from Auto,17-0704,5/9/2017 8:14pm,5/9/2017 8:13pm,Administration Building,Active
Sick Person,17-0705,5/10/2017 1:50am,5/10/2017 1:33am,Howard University Hospital,Inactive
Fire Alarm Activation,17-0706,5/10/2017 3:03am,5/10/2017 3:03am,Bethune Annex,Inactive
Sick Person,17-0708,5/10/2017 10:30am,5/10/2017 10:31am,Student Health Clinic Inactive
Found Property,17-0709,5/10/2017 9:30pm,5/10/2017 8:30pm,Howard University Hospital Inactive
NO Report,17-0710,,,
Sick Person,17-0711,5/11/2017 1:46am,5/11/2017 1:58am,Engineering Building Inactive
Sick Person,17-0712,5/11/2017 12:48pm,5/11/2017 12:52pm,Bethune Annex Inactive
Miscellaneous,17-0713,5/11/2017 3:11pm,5/11/2017 3:00pm,Howard University Hospital Inactive
Vehicle Accident,17-0714,5/11/2017 3:51pm,5/11/2017 3:51pm,Childers Lot Active
Simple Assault,17-0715,5/11/2017 6:08pm,5/11/2017 5:33pm,Howard University Hospital Active
Vehicle Accident,17-0716,5/11/2017 9:01pm,5/11/2017 9:01pm,2300 block NW Active
Fire Alarm Activation,17-0717,5/12/2017 2:49am,5/12/2017 2:49am,Howard Plaza Towers Inactive
Sick Person,17-0718,5/12/2017 4:31am,5/12/2017 3:49am,Howard University Hospital Inactive
Hazardous Elevator,17-0719,5/12/2017 7:31am,5/12/2017 7:25am,West Campus Inactive
Found Property,17-0720,5/12/2017 9:30am,5/12/2017 9:41am,Cramton Auditorium Inactive
Theft 1,17-0721,5/12/2017 1:18pm,5/12/2017 2:30pm,Cramton Auditorium Active
Miscellaneous,17-0722,5/12/2017 4:43am,5/12/2017 4:43am,Howard Plaza Towers Inactive
Unlawful Entry,17-0723,5/13/2017 2:2am,5/13/2017 2:26am,College Hall South Active
Miscellaneous,17-0724,5/13/2017 8:34am,5/13/2017 8:34am,Annex 2 Inactive
Fire Alarm Activation,17-0725,5/13/2017 11:01am,5/13/2017 11:04am,Cook Hall Inactive
Theft from Auto,17-0726,5/13/2017 12:16pm,5/13/2017 12:16pm,Lower Campus Active
Theft from Auto,17-0727,5/13/2017 1:32pm,5/13/2017 2:00pm,Banneker South Parking Lot Active
Unlawful Entry,17-0728,5/13/2017 5:02pm,5/13/2017 5:00pm,Douglass Hall Active
Barring Notice,17-0729,5/13/2017 6:43pm,5/7/2017 6:45pm,Quadrangle Hall Active
ADW/Gun,17-0730,5/14/2017 8:34am,5/14/2017 8:08am,Off Campus Active
Unlawful Entry,17-0731,5/14/2017 4:48pm,5/14/2017 4:45pm,Slowe Hall Active
Unlawful Entry,17-0732,5/14/2017 6:53pm,5/14/2017 6:53pm,Drew Hall Active
Fire Alarm Activation,17-0733,5/15/2017 8:25pm,5/15/2017 8:25pm,Howard Plaza Towers Inactive
Miscellaneous,17-0734,5/16/2017 10:09am,5/16/2017 10:13am,Blackburn Center Inactive
Lost Property,17-0735,5/16/2017 12:19pm,5/16/2017 11:40am,Howard University Hospital Inactive
Theft from Auto,17-0736,5/16/2017 1:12pm,5/16/2017 1:20pm,Upper Campus Active
Theft from Auto,17-0737,5/16/2017 3:16pm,5/16/2017 3:20pm,"Ga., Ave NW & 5th & W St NW Active"
Found Property,17-0738,5/16/2017 3:40pm,5/16/2017 3:40pm,Off Campus Inactive
Sick Person,17-0739,5/16/2017 6:21pm,5/16/2017 6:21pm,Howard University Hospital Inactive
Found Property,17-0740,5/16/2017 9:17pm,5/16/2017 9:00pm,Howard University Hospital Inactive
Miscellaneous,17-0741,5/17/2017 7:58am,5/17/2017 8:00am,Middle School Inactive
Sick Person,17-0742,5/17/2017 10:43am,5/17/2017 10:35am,Howard University Hospital Inactive
Suspicious Odor,17-0743,5/17/2017 10:33am,5/17/2017 10:33am,Engineering Building Active
Miscellaneous,17-0744,5/17/2017 11:04am,5/17/2017 11:05am,Slowe Hall Inactive
Lost Property,17-0745,5/17/2017 2:02pm,5/17/2017 2:05pm,Howard University Hospital Inactive
Student Misconduct,17-0746,5/17/2017 8:00pm,5/17/2017 7:55pm,Bethune Annex Active
Lost Property,17-0747,5/18/2017 8:11am,5/18/2017 8:12am,Service Center Inactive
Damaged Property,17-0748,5/18/2017 12:58pm,5/18/2017 12:58pm,Rankin Chapel Inactive
Sick Person,17-0749,5/18/2017 1:43pm,5/18/2017 12:50pm,Howard University Hospital Inactive
Suspicious Package,17-0750,5/18/2017 2:34pm,5/18/2017 2:34pm,College of Dentistry Active
Miscellaneous,17-0751,5/18/2017 5:12pm,5/18/2017 4:20pm,Student Health Clinic Inactive
Fire Alarm Activation,17-0752,5/18/2017 6:09pm,5/18/2017 6:17pm,Administration Building Inactive
NO Report,17-0753,,,
Fire Alarm Activation,17-0754,5/19/2017 9:59am,5/19/2017 10:00am,Administration Building Inactive
Simple Assault,17-0755,5/19/2017 1:31pm,5/19/2017 1:08pm,Howard University Hospital Active
Unlawful Entry,17-0756,5/19/2017 6:09pm,5/19/2017 6:10pm,Slowe Hall Active
Assault on a Police Officer,17-0757,5/19/2017 6:10pm,5/17/2017 5:23pm,Howard University Hospital Active
Theft 2,17-0758,5/19/2017 7:32pm,5/19/2017 5:25pm,Howard University Hospital Active
Unlawful Entry,17-0759,5/20/2017 2:54am,5/20/2017 2:54am,Engineering Building Active
Sick Person,17-0760,5/20/2017 1:10pm,5/20/2017 12:58pm,Howard University Hospital Inactive
Unlawful Entry,17-0761,5/20/2017 10:18pm,5/20/2017 10:18pm,Old Sub-Station Active
Fire Alarm Activation,17-0762,5/21/2017 12:05am,5/21/2017 12:05am,Administration Building Inactive
Damaged Property,17-0763,5/21/2017 12:05am,5/17/2017 12:05am,Girard Street NW Inactive
Lost Property,17-0764,5/22/2017 3:21pm,5/22/2017 3:20pm,Engineering Building Inactive
Lost Property,17-0765,5/22/2017 8:40am,5/22/2017 8:47am,C.B. Powell Building Inactive
Hazardous Water Leak,17-0766,5/22/2017 6:18pm,5/22/2017 6:18pm,Administration Building Inactive
Sick Person,17-0767,5/23/2017 5:37pm,5/23/2017 3:34pm,Howard University Hospital Inactive
NO Report,17-0768,,,
Theft 2,17-0769,5/23/2017 3:47pm,5/23/2017 3:50pm,Howard University service Cen Active
Fire Alarm Activation,17-0770,5/24/2017 9:21am,5/24/2017 9:20am,HURB-1 Inactive
NO Report,17-0771,,,
Fire Alarm Activation,17-0772,5/24/2017 12:42pm,5/24/2017 12:03pm,Howard University Inactive
Theft from Auto,17-0773,5/24/2017 1:04pm,5/24/2017 1:07pm,Lower Campus Active
Miscellaneous,17-0774,5/25/2017 8:25pm,5/25/2017 7:38pm,Howard University Hospital Inactive
Fire Alarm Activation,17-0775,5/26/2017 7:11am,5/26/2017 7:05am,HURB-1,Inactive
Damaged Property,17-0776,5/26/2017 12:04pm,5/26/2017 11:46am,Student Health Clinic,Inactive
Sick Person,17-0777,5/26/2017 5:17pm,5/26/2017 5:00pm,Howard University,Inactive
Miscellaneous,17-0778,5/26/2017 11:30pm,5/26/2017 11:40pm,Cook Hall,Inactive
Found Property,17-0779,5/27/2017 11:30pm,5/27/2017 11:40pm,Howard University Hospital,Inactive
NO Report,17-0780,,,,
Burglary 2,17-0781,5/28/2017 1:32pm,5/28/2017 1:00pm,Howard Plaza Towers,Active
Fire Alarm Activation,17-0782,5/28/2017 1:54pm,5/28/2017 1:54pm,Howard Plaza Towers,Inactive
Miscellaneous,17-0783,5/28/2017 7:42pm,5/25/2017 7:07pm,Wonder Plaza,Inactive
NO Report,17-0784,,,,
Lost Property,17-0785,5/29/2017 11:05am,5/29/2017 7:15am,Howard University Hospital,Inactive
Fire Alarm Activation,17-0786,5/29/2017 3:20pm,5/29/2017 3:20pm,Wonder Plaza,Inactive
Found Property,17-0787,5/30/2017 8:51am,5/3/2017 8:30am,Off Campus,Inactive
Miscellaneous,17-0788,5/30/2017 9:40am,5/30/2017 10:00am,Middle School,Inactive
Damaged Property,17-0789,5/30/2017 2:42pm,5/30/2017 1:52pm,Howard University Hospital,Inactive
Simple Assault,17-0790,5/30/2017 6:01pm,5/30/2017 5:03pm,Howard University Hospital,Active
Fire Alarm Activation,17-0791,5/31/2017 6:15am,5/30/2017 6:15am,College Hall South,Inactive
Found Property,17-0792,5/31/2017 8:31am,5/31/2017 8:31am,Bethune Annex,Inactive
Theft 2,17-0793,5/31/2017 10:53am,5/31/2017 11:01am,College of Dentistry,Active
Found Property,17-0794,5/31/2017 12:45pm,5/31/2017 12:24pm,Howard University Hospital,Inactive
Lost Property,17-0795,5/31/2017 5:56pm,5/31/2017 5:56pm,Blackburn Center,Inactive
Sick Person,17-0796,5/31/2017 5:56pm,5/31/2017 5:56pm,Howard University Hospital,Inactive
Damaged Property,17-0797,6/1/2017 8:28am,5/31/2017 9:00am,West Campus,Inactive
Fire Alarm Activation,17-0798,6/1/2017 9:11am,6/1/2017 9:11am,Bethune Annex,Inactive
Miscellaneous,17-0799,6/1/2017 3:52pm,6/1/2017 2:24pm,Howard University Hospital,Inactive
Sick Person,17-0800,6/1/2017 8:48pm,6/1/2017 8:48pm,Howard Plaza Towers East,Inactive
Fire Alarm Activation,17-0801,6/2/2017 9:27am,6/2/2017 9:27am,Dental School,Inactive
Unlawful Entry,17-0802,6/2/2017 9:44am,6/2/2017 9:44am,Founders Library,Active
Found Property,17-0803,6/2/2017 1:14pm,6/2/2017 11:10am,Howard University Hospital,Inactive
Theft from Auto,17-0804,6/2/2017 1:00pm,6/2/2017 1:00pm,6th & Girard Street NW,Active
Damaged Property,17-0805,6/3/2017 2:29pm,6/3/2017 11:23am,Howard University Hospital,Inactive
Disorderly Conduct,17-0806,6/4/2017 1:06am,6/4/2017 1:06am,Howard University Hospital,Active
Damaged Property,17-0807,6/4/2017 5:05am,6/4/2017 4:30am,Howard University Hospital,Inactive
Miscellaneous,17-0808,6/4/2017 10:52pm,6/4/2017 10:45pm,Lower Campus,Inactive
Sick Transport,17-0809,6/4/2017 11:00pm,6/4/2017 10:45pm,Howard Plaza Towers East,Inactive
Fire Alarm Activation,17-0810,6/4/2017 11:56pm,6/4/2017 11:56pm,Bethune Annex,Inactive
Fire Alarm Activation,17-0811,6/5/2017 9:41am,6/5/2017 9:36am,Howard University Hospital,Inactive
Miscellaneous,17-0812,6/5/2017 2:11pm,6/5/2017 1:35pm,Howard University Hospital,Active
Miscellaneous,17-0813,6/5/2017 2:27pm,6/5/2017 1:57pm,Howard University Hospital,Inactive
Barring Notice,17-0814,6/5/2017 3:21pm,6/5/2017 3:05pm,HU Service Center,Active
Theft 1,17-0815,6/5/2017 6:01pm,6/5/2017 2:00pm,College of Dentistry,Active
Miscellaneous,17-0816,6/5/2017 6:41pm,6/5/2017 6:41pm,Howard Plaza Towers East,Active
Miscellaneous,17-0817,6/6/2017 11:29am,6/6/2017 11:29am,HU Service Center,Active
Theft from Auto,17-0818,6/6/2017 12:25pm,6/6/2017 12:08pm,Just Lot,Inactive
Vehicle Accident,17-0819,6/6/2017 5:54pm,6/6/2017 5:54pm,"2000 Ga., Ave., NW",Active
Found Property,17-0820,6/6/2017 4:50pm,6/6/2017 4:50pm,College Hall South,Inactive
Student Misconduct,17-0821,6/6/2017 9:02pm,6/6/2017 9:02pm,Howard Plaza Towers,Active
Theft 2,17-0822,6/7/2017 12:05pm,6/7/2017 12:00pm,College of Dentistry,Active
Fire Alarm Activation,17-0823,6/8/2017 2:36pm,6/8/2017 2:07pm,Howard University Hospital,Inactive
Student Misconduct,17-0824,6/9/2017 1:11pm,6/8/2017 12:459m,Early Learning Center,Active
Disorderly Conduct,17-0825,6/9/2017 1:17pm,6/9/2017 1:17pm,Mental Health Clinic,Active
Miscellaneous,17-0826,6/9/2017 2:59pm,6/9/2017 2:59pm,Bookstore,Inactive
Destruction of Property,17-0827,6/9/2017 4:00pm,6/9/2017 3:00pm,College of Dentistry,Active
Fire Alarm Activation,17-0828,6/9/2017 6:59pm,6/9/2017 6:52pm,Howard Plaza Towers East,Inactive
Lost Property,17-0829,6/10/2017 9:58am,6/10/2017 9:08am,Howard University Hospital,Inactive
Miscellaneous,17-0830,6/10/2017 10:47am,6/10/2017 10:33am,Howard University Hospital,Inactive
Miscellaneous,17-0831,6/11/2017 4:03am,6/11/2017 3:30am,Howard University Hospital,Inactive
Fire Alarm Activation,17-0832,6/12/2017 3:21am,6/12/2017 3:21am,Quadrangle Hall,Inactive
Damaged Property,17-0833,6/12/2017 10:54am,6/12/2017 11:00am,Upper Campus,Inactive
Fire Alarm Activation,17-0834,6/12/2017 6:35am,6/12/2017 6:35am,HURB-1,Inactive
Fire Alarm Activation,17-0835,6/13/2017 8:19am,6/13/2017 8:19am,HURB-1,Inactive
Barring Notice,17-0836,6/14/2017 10:21am,6/14/2017 10:21am,College of Dentistry,Active
Damaged Property,17-0837,6/14/2017 10:40am,6/13/2017 6:00pm,Wonder Plaza Lot,Inactive
Miscellaneous,17-0838,6/14/2017 3:18pm,6/14/2017 12:56pm,Howard University Hospital,Inactive
Fire Alarm Activation,17-0839,6/15/2017 12:27pm,6/15/2017 12:27pm,HURB-1,Inactive
Theft from Auto,17-0840,6/15/2017 3:45pm,6/15/2017 3:45pm,900 Barry Pl,Active
Student Misconduct,17-0841,6/15/2017 4:40pm,6/15/2017 4:40pm,Howard Plaza Towers East,Active
Miscellaneous,17-0842,6/16/2017 11:34am,6/16/2017 11:34am,Lower Campus,Inactive
Theft 2,17-0843,6/16/2017 5:17pm,6/13/2017 11:30pm,HU Service Center,Active
Unlawful Entry,17-0844,6/16/2017 9:48pm,6/16/2017 9:00pm,Howard University Hospital,Active
Theft 2,17-0845,6/16/2017 11:16pm,6/16/2017 10:00pm,Howard University Hospital,Active
Fire Alarm Activation,17-0846,6/17/2017 11:21am,6/17/2017 11:21am,Administration Building,Inactive
Miscellaneous,17-0847,6/17/2017 9:01pm,6/17/2017 8:10pm,Howard University Hospital,Inactive
Fire Alarm Activation,17-0848,6/17/2017 11:45pm,6/17/2017 11:45pm,Administration Building,Inactive
Health & Welfare Check,17-0849,6/18/2017 11:06pm,6/18/2017 11:06pm,Howard Plaza Towers East,Active
Miscellaneous,17-0850,6/19/2017 2:31pm,6/19/2017 12:05pm,Howard University Hospital,Inactive
Disorderly Conduct,17-0851,6/20/2017 3:25am,6/20/2017 3:05am,Howard University Hospital,Active
Disorderly Conduct,17-0852,6/20/2017 8:49am,6/19/2017 3:00pm,Howard University Hospital,Active
Disorderly Conduct,17-0853,6/20/2017 1:42pm,6/20/2017 1:42pm,Lower Campus,Active
Student Misconduct,17-0854,6/20/2017 6:49pm,6/20/2017 6:49pm,C.B. Powell Bldg.,Active
Lost Property,17-0855,6/21/2017 8:33am,6/21/2017 8:33am,HU Service Center,Inactive
Fire Alarm Activation,17-0856,6/21/2017 8:00am,6/21/2017 8:00am,West Campus,Inactive
Fire Alarm Activation,17-0857,6/21/2017 1:46pm,6/21/2017 1:46pm,Howard University Hospital,Inactive
Miscellaneous,17-0858,6/21/2017 12:43pm,6/21/2017 12:43pm,Fine Arts,Inactive
Fire Alarm Activation,17-0859,6/21/2017 1:48pm,6/21/2017 1:40pm,Administration Building,Inactive
Miscellaneous,17-0860,6/21/2017 3:41pm,6/21/2017 3:41pm,College of Dentistry,Active
Barring Notice,17-0861,6/21/2017 9:47pm,6/21/2017 9:40pm,Banneker North Parking Lot,Active
Miscellaneous,17-0862,6/21/2017 5:02pm,6/21/2017 5:02pm,2100 Block Georgia Ave. NW,Inactive
Fire Alarm Activation,17-0863,6/21/2017 11:31pm,6/21/2017 11:31pm,Administration Building,Inactive
Verbal Dispute,17-0864,6/22/2017 12:31pm,6/22/2017 10:05am,Howard University Hospital,Active
Damaged Property,17-0865,6/22/2017 3:43pm,6/22/2017 1:00pm,East Towers Parking Lot,Inactive
Sexual Assault,17-0866,6/22/2017 5:01pm,6/22/2017 4:46pm,Howard University Hospital,Active
Miscellaneous,17-0867,6/23/2017 11:08pm,6/23/2017 11:08pm,Howard University Hospital,Inactive
Lost Property,17-0868,6/24/2017 2:39pm,6/24/2017 1:34pm,Howard University Hospital,Inactive
Found Property,17-0869,6/24/2017 7:04pm,6/24/2017 6:00pm,Founders Library,Inactive
Damaged Property,17-0870,6/25/2017 10:00am,6/25/2017 9:30am,Howard University Hospital,Inactive
Disorderly Conduct,17-0871,6/25/2017 10:08am,6/25/2017 9:18am,Howard University Hospital,Active
Sick Person,17-0872,6/25/2017 12:54pm,6/25/2017 12:54pm,Carnegie Hall,Inactive
Theft 2,17-0873,6/25/2017 1:49pm,6/25/2017 1:23pm,Howard University Hospital,Active
Simple Assault,17-0874,6/25/2017 8:33pm,6/25/2017 8:00pm,Howard University Hospital,Active
Injured Person,17-0875,6/25/2017 9:54pm,6/25/2017 9:26pm,Howard University Hospital,Inactive
Hazardous Elevator,17-0876,6/26/2017 8:38am,6/26/2017 8:38am,C.B Powell Bldg.,Inactive
Unlawful Entry,17-0877,6/26/2017 9:44pm,6/26/2017 9:44pm,Engineering Building,Active
Vehicle Accident,17-0878,6/27/2017 4:40pm,6/27/2017 4:40pm,2300 4th St. NW,Active
Unlawful Entry,17-0879,6/27/2017 9:56pm,6/27/2017 8:45pm,Howard University Hospital,Active
Sick Person,17-0880,6/28/2017 1:57am,6/28/2017 1:57am,Drew Hall,Inactive
Damaged Property,17-0881,6/28/2017 9:58am,6/28/2017 9:30am,Howard University Hospital,Inactive
Damaged Property,17-0882,6/28/2017 11:13am,6/28/2017 10:55am,Burr Gym,Inactive
theft 2,17-0883,6/28/2017 2:04pm,6/28/2017 2:05pm,Mudd Bldg.,Active
Fire Alarm Activation,17-0884,6/28/2017 9:36pm,6/28/2017 9:36pm,College Hall North,Inactive
Recovered Property,17-0885,7/1/2017 12:47pm,7/1/2017 12:47pm,College Hall North,Inactive
