NATURES OF CRIMES,"CASENUMBERS",DATE/TIME REPORTED,"DATE/TIMEOCCURRED"
Unlawful Entry,19-0635,05/20/2019 2:32pm,05/20/2019 2:32pm,Howard University Hospital
Theft 2,19-0636,05/20/2019 6:28pm,05/20/2019 6:15pm,Howard University Hospital
Drug Possession,19-0637,05/20/2019 7:56pm,05/20/2019 7:56pm,Lower Campus
Injured Person,19-0638,05/21/2019 9:02am,05/21/2019 9:02am,Howard Plaza Towers West
Damaged Property,19-0639,05/21/2019 10:43am,05/21/2019 9:50am,Architecture and Planning
Theft From Auto,19-0640,05/21/2019 5:35pm,05/21/2019 5:30pm,6th & W Street Lot
Vehicle Accident,19-0641,05/21/2019 7:40pm,05/21/2019 7:40pm,4th & W Street
Fire,19-0642,05/21/2019 10:18pm,05/21/2019 10:18pm,Howard Plaza Towers West
Verbal Dispute,19-0643,05/22/2019 11:59am,05/22/2019 9:38am,Howard University Hospital
Theft 2,19-0644,05/22/2019 12:01pm,05/22/2019 12:01pm,Howard University Hospital
Theft 2,19-0645,05/22/2019 2:49pm,05/22/2019 1:05pm,Howard University Hospital
Sick Person,19-0646,05/22/2019 6:27pm,05/22/2019 6:27pm,HURB 1
Student Misconduct,19-0647,05/22/2019 7:46pm,05/22/2019 7:46pm,CB Powell Building
Student Misconduct,19-0648,05/22/2019 7:46pm,05/22/2019 7:46pm,CB Powell Building
Unlawful Entry,19-0649,05/22/2019 9:34pm,05/22/2019 9:34pm,Engineering Building
Destruction of Property,19-0650,05/23/2019 1:04am,05/23/2019 1:04am,College Hall South
Fire,19-0651,05/24/2019 10:39am,05/24/2019 10:18am,Howard University Hospital
Fire Alarm Activation,19-0652,05/24/2019 11:49am,05/24/2019 11:49am,Administration Building
Eloped Patient,19-0653,05/28/2019 3:33am,05/28/2019 1:00am,Howard University Hospital
Lost Property,19-0654,05/28/2019 4:13am,05/28/2019 3:13am,Howard University Hospital
Hazardous Water Leak,19-0655,05/28/2019 7:29am,05/28/2019 7:29am,Houston Hall
Sexual Assault,19-0656,05/28/2019 6:51pm,05/28/2019 6:51pm,Off Campus
Destruction of Property,19-0657,05/29/2019 2:30am,05/28/2019 11:30am,Howard Plaza Towers West
Lost Property,19-0658,05/29/2019 12:25pm,05/8/2019 4:00pm,West Campus
Stolen Auto,19-0659,05/29/2019 2:55pm,05/29/2019 2:55pm,College of Dentistry
Damaged Property,19-0660,05/29/2019 4:43pm,05/29/2019 4:43pm,Banneker South Parking Lot
Found Property,19-0661,05/29/2019 5:59pm,05/29/2019 5:59pm,Miner Building
Credit Card Fraud,19-0662,05/29/2019 6:26pm,05/29/2019 2:50pm,Howard Plaza Towers West
Found Property,19-0663,05/29/2019 8:39pm,05/29/2019 8:39pm,I-Lab
Theft From Auto,19-0664,05/30/2019 10:17am,05/30/2019 8:54am,A-2 Garage
Assault on a Police Officer,19-0665,05/30/2019 12:15pm,05/30/2019 12:15pm,College of Dentistry
Injured Person,19-0666,05/30/2019 4:12pm,05/30/2019 4:12pm,Middle School
Theft 2,19-0667,05/30/2019 4:16pm,05/30/2019 4:16pm,Bookstore
Injured Person,19-0668,05/31/2019 12:26pm,05/30/2019 12:15pm,College of Dentistry
Threats,19-0669,05/31/2019 12:26pm,05/31/2019 12:26pm,Lower Campus
Harassment,19-0670,05/31/2019 4:01pm,05/31/2019 4:01pm,Administration Building
Lost Property,19-0671,05/31/2019 10:49pm,05/31/2019 10:49pm,Howard University Hospital
Unlawful Entry,19-0672,06/01/2019 3:40am,06/01/2019 3:40am,Architecture and Planning
Theft From Auto,19-0673,06/01/2019 3:43pm,06/01/2019 3:00pm,Howard University Hospital
Threats to do Bodily Harm,19-0674,06/03/2019 12:19am,06/03/2019 12:15am,Howard University Hospital
Damaged Property,19-0675,06/03/2019 7:13am,05/29/2019 6:00am,Blackburn Center
Sick Person,19-0676,06/03/2019 12:32pm,06/03/201911:42am,Administration Building
Theft From Auto,19-0677,06/03/2019 5:50pm,06/03/2019 5:50pm,College of Dentistry
Damaged Property,19-0678,06/03/2019 7:34pm,06/03/2019 4:00pm,West Campus
Theft From Auto,19-0679,06/04/2019 1:45pm,06/04/2019 1:40pm,6th & Bryant Street NW
Theft From Auto,19-0680,06/04/2019 7:59pm,06/04/2019 7:50pm,Burr Gym
Sick Person,19-0681,06/05/2019 4:11pm,06/05/2019 4:11pm,Burr Gym
Damaged Property,19-0682,06/06/2019 10:23am,06/06/2019 10:23am,HURB 1
Student Misconduct,19-0683,06/06/2019 6:06pm,06/06/2019 6:06pm,Off Campus
Simple Assault,19-0684,06/06/2019 8:30pm,06/06/2019 8:30pm,Howard Plaza Towers East
Miscellaneous,19-0685,06/07/2019 11:44am,06/06/2019 7:00pm,Burr Gym
Vehicle Accident,19-0686,06/07/2019 2:50pm,06/07/2019 2:50pm,Cramton Auditorium
Sick Person,19-0687,06/07/2019 8:57pm,06/07/2019 8:57pm,Howard Plaza Towers East
Fire Alarm Activation,19-0688,06/09/2019 7:09am,06/09/2019 7:09am,Cook Hall
Destruction of Property,19-0689,06/09/2019 5:48pm,06/09/2019 5:00pm,Howard Plaza Towers East
Simple Assault,19-0690,06/09/2019 9:47pm,06/09/2019 8:50pm,Howard University Hospital
Hazardous Water Leak,19-0691,06/10/2019 2:33am,06/10/2019 2:33am,Biology Building
Fire Alarm Activation,19-0692,06/10/2019 8:53am,06/10/2019 8:53am,Howard Plaza Towers West
Injured Person,19-0693,06/10/2019 12:52pm,06/10/2019 11;49am,Howard University Hospital
Miscellaneous,19-0694,06/10/2019 1:44pm,06/10/2019 1:44pm,Howard Plaza Towers West
Robbery Snatch,19-0695,06/10/2019 2:36pm,05/09/2019 3:00am,Howard Plaza Towers East
Sick Person,19-0696,06/10/2019 5:56pm,06/10/2019 5:56pm,Burr Gym
Lost Property,19-0697,06/11/2019 9:07am,06/05/2019 4:00pm,Fine Arts
Theft 2,19-0698,06/11/2019 2:12pm,06/11/2019 2:02pm,Howard University Hospital
Unlawful Entry,19-0699,06/12/2019 3:27am,06/12/2019 3:27am,Engineering Building
Vandalism,19-0700,06/12/2019 4:06am,06/12/2019 4:06am,West Campus
Damaged Property,19-0701,06/12/2019 7:00pm,06/12/2019 5:20pm,Howard University Hospital
Disorderly Conduct,19-0702,06/13/2019 5:46am,06/13/2019 4:41am,Howard University Hospital
Vehicle Accident,19-0703,06/13/2019 12:28pm,06/13/2019 12:20pm,Howard Plaza Towers East
Theft 2,19-0704,06/13/2019 1:31pm,06/13/2019 10:30am,Quadrangle
Health & Welfare Check,19-0705,06/13/2019 7:03pm,06/13/2019 7:03pm,Off Campus
Unlawful Entry,19-0706,06/13/2019 8:37pm,06/13/2019 8:37pm,Howard University Hospital
Damaged Property,19-0707,06/13/2019 9:03pm,06/13/2019 5:45pm,West Campus
Fire Alarm Activation,19-0708,06/13/2019 9:10pm,06/13/2019 9:10pm,Howard Plaza Towers West
Vehicle Accident,19-0709,06/14/2019 6:06pm,06/14/2019 5:30pm,Founders Library
Disorderly Conduct,19-0710,06/14/2019 7:59pm,06/14/2019 7:59pm,HUIRB Research Building
Lost Property,19-0711,06/14/2019 7:40pm,06/14/2019 5:50pm,HU Service Center
Miscellaneous,19-0712,06/15/2019 8:48pm,06/15/2019 5:15pm,Howard University Hospital
Theft From Auto,19-0713,06/16/2019 8:32am,06/16/2019 8:20am,Howard University Hospital
Simple Assault,19-0714,06/16/2019 11:39am,06/13/2019 4:45am,Howard University Hospital
Unlawful Entry,19-0715,06/16/2019 6:14pm,06/16/2019 6:14pm,Engineering Building
Hazardous Water Leak,19-0716,06/17/2019 1:27am,06/17/2019 1:10am,Howard University Hospital
Unlawful Entry,19-0717,06/17/2019 3:02am,06/117/2019 3:02am,Chemical Engineering Building
Theft From Auto,19-0718,06/17/2019 10:08am,06/17/2019 10:00am,6th & Girard Street
Lost Property,19-0719,06/17/2019 10:56am,06/15/2019 12:00pm,School of Business
Theft From Auto,19-0720,06/17/2019 6:06pm,06/17/2019 6:00pm,500 Block Gresham Place
Unlawful Entry,19-0721,06/18/2019 1:03am,06/18/2019 1:03am,Engineering Building
Unlawful Entry,19-0722,06/18/2019 3:57am,06/18/2019 3:57am,Engineering Building
Lost Property,19-0723,06/18/2019 10:30pm,06/18/2019 9:500pm,Howard University Hospital
Theft From Auto,19-0724,06/19/2019 4:53am,06/19/2019 4:15am,Howard University Hospital
Vehicle Accident,19-0725,06/19/2019 1:25pm,06/19/2019 1:25pm,Chemistry Lot
Vehicle Accident,19-0726,06/19/2019 1:44pm,06/19/2019 1:35pm,Georgia & Fairmont Street
Domestic Violence,19-0727,06/19/2019 2:42pm,06/19/2019 2:42pm,Howard University Hospital
Fire Alarm Activation,19-0728,06/20/2019 9:24am,06/20/2019 9:24am,WHUT
Found Property,19-0729,06/20/2019 2:49pm,06/20/2019 2:49pm,Mudd Building
Destruction of Property,19-0730,06/20/2019 9:34pm,06/20/2019 9:30pm,Greene Stadium
Injured Person,19-0731,06/21/2019 11:23am,06/21/2019 11:23am,Howard University Hospital
Miscellaneous,19-0732,06/22/2019 7:59pm,06/22/2019 7:15pm,Howard University Hospital
Theft 2,19-0733,06/24/2019 5:16am,06/24/2019 5:07am,Howard University Hospital
Miscellaneous,19-0734,06/24/2019 9:27am,06/24/2019 9:27am,HURB 1
Theft 2,19-0735,06/24/2019 12:36pm,06/24/2019 9:00am,Howard University Hospital
Destruction of Property,19-0736,06/24/2019 6:20pm,06/24/2019 6:00pm,HURB 1
Robbery Snatch,19-0737,06/24/2019 6:37pm,06/24/2019 5:20pm,2200 Block 6th Street
Miscellaneous,19-0738,06/24/2019 8:05pm,06/24/2019 8:05pm,HURB 1
Recovered Property,19-0739,06/25/2019 2:17pm,06/25/2019 2:17pm,Bookstore
Eloped Patient,19-0740,06/25/2019 6:05pm,06/25/2019 6:05pm,Howard University Hospital
Injured Person,19-0741,06/25/2019 4:28pm,06/25/2019 4:28pm,Medical Arts Building
Theft 1,19-0742,06/25/2019 6:41pm,06/25/2019 7:00am,Howard Plaza Towers West
Lost Property,19-0743,06/25/2019 8:11pm,06/25/2019 8:11pm,Howard University Hospital
Title 9,19-0744,06/26/2019 11:44am,06/26/2019 11:44am,Off Campus
Health & Welfare Check,19-0745,06/26/2019 2:33pm,06/26/2019 2:33pm,Off Campus
Theft 2,19-0746,06/26/2019 4:17pm,06/26/2019 4:00pm,Engineering Building
Found Property,19-0747,06/27/2019 10:28am,06/27/2019 9:45am,I-Lab
Recovered Property,19-0748,06/27/2019 10:29am,06/27/2019 10:29am,Quadrangle
Suspicious Odor,19-0749,06/27/2019 10:29pm,06/27/2019 8:15pm,West Campus
Simple Assault,19-0750,06/28/2019 1:10pm,06/28/2019 11:45am,Howard University Hospital
Unlawful Entry,19-0751,07/01/2019 1:30am,07/01/2019 1:30am,Annex 3
Burglary 2,19-0752,07/01/2019 11:23am,7/1/2019  8:30am,Fine Arts
Unlawful Entry,19-0753,07/01/2019 5:57pm,07/01/2019 5:57pm,Georgia Ave. Lot
Lost Property,19-0754,07/02/2019 4:35pm,07/02/2019 4:35pm,Social Work
Simple Assault,19-0755,07/02/2019 5:39pm,07/02/2019 4:45pm,Howard University Hospital
Hit and Run,19-0756,07/02/2019 5:28pm,07/02/2019 5:28pm,4th & W Street
Destruction of Property,19-0757,07/03/2019 5:44am,07/03/2019 5:44am,Architecture and Planning
Lost Property,19-0758,07/03/2019 11:52am,7/1/2019 7:00pm,Burr Gym
B&E Vending Machine,19-0759,07/03/2019 5:48pm,07/03/2019 5:48pm,Burr Gym
Theft 2,19-0760,07/05/2019 9:50am,07/05/2019 8:30am,Fine Arts
Hazardous Water Leak,19-0761,07/05/2019 1:20pm,07/05/2019 12:56pm,A-2 Garage
Hazardous Water Leak,19-0762,07/06/2019 8:51pm,07/06/2019 8:51pm,Mudd Building
Hazardous Water Leak,19-0763,07/06/2019 9:32pm,07/06/2019 9:00pm,HURB 1
Hazardous Water Leak,19-0764,07/07/2019 2:28am,07/07/2019 2:28am,Social Work
Unlawful Entry,19-0765,07/08/2019 3:28pm,07/08/2019 3:28pm,Howard Plaza Towers East
Sick Person,19-0766,07/09/2019 2:36pm,07/09/2019 2:36pm,Fine Arts
Found Property,19-0767,07/09/2019 9:57pm,07/09/2019 9:50pm,Wonder Plaza
Fire Alarm Activation,19-0768,07/09/2019 9:42pm,07/09/2019 9:40pm,Howard Plaza Towers West
Lost Property,19-0769,07/09/2019 10:07pm,07/09/2019 1:00pm,Locke Hall
Threats,19-0770,07/10/2019 10:01am,07/09/2019 12:00pm,Howard University Hospital
Assault on a Police Officer,19-0771,07/10/2019 11:27am,07/10/2019 10:26am,Howard University Hospital
Lost Property,19-0772,07/10/2019 2:06pm,07/10/2019 2:06pm,Howard University Hospital
Unlawful Entry,19-0773,7/10/2019 2:16pm,7/10/2019 2:16pm,CB Powell Building
Possession of Marijuana,19-0774,07/10/2019 2:26pm,07/10/2019 2:20pm,Howard Plaza Towers West
Miscellaneous,19-0775,07/10/2019 2:45pm,07/10/2019 2:45pm,West Campus
Lost Property,19-0776,07/10/2019 4:31pm,07/10/2019 9:00am,Ralph Bunch Building
Armed Robbery,19-0777,07/11/2019 2:21am,07/11/2019 1:30am,Off Campus
Fire Alarm Activation,19-0778,07/11/2019 5:29am,07/11/2019 5:29am,Chemical Engineering Building
Miscellaneous,19-0779,07/11/2019 11:33am,07/11/2019 11:33am,Early Learning Center
Fire Alarm Activation,19-0780,07/11/2019 1:43pm,07/11/2019 1:43pm,Engineering Building
Injured Person,19-0781,07/11/2019 2:40pm,07/11/2019 1:15pm,HU Service Center
Miscellaneous,19-0782,07/11/2019 7:00pm,07/11/2019 12:30pm,Howard Plaza Towers West
Theft From Auto,19-0783,07/11/2019 8:17pm,07/11/2019 2:30pm,Adams Building
Sick Person,19-0784,07/12/2019 12:49pm,07/12/2019 12:49pm,Bethune Annex
Miscellaneous,19-0785,07/12/2019 12:33pm,07/11/2019 2:03pm,Off Campus
Student Misconduct,19-0786,07/14/2019 1:28am,07/14/2019 1:28am,Howard Plaza Towers West
Injured Person,19-0787,07/14/2019 7:05am,07/14/2019 6:49am,Howard University Hospital
Damaged Property,19-0788,07/15/2019 9:04am,07/10/2019 9:00pm,500 Block Gresham Place
Vandalism,19-0789,07/15/2019 9:33am,07/15/2019 9:33am,Medical Arts Building
Damaged Property,19-0790,07/15/2019 9:53am,07/15/2019 9:45am,Howard University Hospital
Damaged Property,19-0791,07/15/2019 3:46pm,07/15/2019 3:46pm,Locke Hall
Lost Property,19-0792,07/16/2019 9:48am,07/15/2019 2:30pm,Howard University Hospital
Hazardous Elevator,19-0793,07/16/2019 11:48am,07/16/2019 11:48am,Howard University Hospital
Damaged Property,19-0794,07/1-/2019 3:51pm,07/16/2019 3:24pm,Engineering Building
Theft,19-0795,07/16/2019 4:00pm,07/11/2019 12:00pm,Engineering Building
Unlawful Entry,19-0796,07/16/2019 4:37pm,07/16/2019 4:34pm,6th & W Street
Lost Property,19-0797,07/17/2019 8:43am,07/17/2019 8:40am,HU Service Center
Harassment,19-0798,07/17/2019 12:38pm,07/17/2019 9:45am,4th & College Street
Destruction of Property,19-0799,07/17/2019 11:48pm,07/17/2019 11:48pm,Engineering Building
Unlawful Entry,19-0800,07/17/2019 11:55pm,07/17/2019 11:55pm,Engineering Building
Lost Property,19-0801,07/18/2019 1:17pm,07/17/2019 6:30am,Drew Hall
Theft From Auto,19-0802,07/18/2019 1:33pm,07/18/2019 1:33pm,9th & V Street
Injured Person,19-0803,07/19/2019 11:59am,07/19/2019 8:35am,Howard University Hospital
Found Property,19-0804,07/19/2019 4:28pm,07/19/2019 4:28pm,Georgia & Euclid Street
Hazardous Elevator,19-0805,07/20/2019 5:31pm,07/20/2019 5:30pm,Stokes Library
Miscellaneous,19-0806,07/21/2019 1:55am,07/21/2019 1:55am,Stokes Library
Hazardous Water Leak,19-0807,07/21/2019 2:50am,07/21/2019 2:50am,Chemistry Building
Hazardous Elevator,19-0808,07/21/2019 7:39am,07/21/2019 7:39am,Stokes Library
Theft From Auto,19-0809,07/21/2019 9:21am,07/21/2019 9:21am,Howard University Hospital
Unlawful Entry,19-0810,07/21/2019 5:21pm,07/21/2019 5:21pm,HURB 1
Theft From Auto,19-0811,07/22/2019 10:55am,07/22/2019 9:30pm,Off Campus
Theft 2,19-0812,07/22/2019 12:57pm,07/22/2019 12:50pm,Howard University Hospital
Vehicle Accident,19-0813,07/23/2019 2:52pm,07/23/2019 2:52pm,Power Plant
Theft 2,19-0814,07/23/2019 3:28pm,07/23/2019 2:38pm,Howard University Hospital
Suspicious package,19-0815,07/24/2019 12:44pm,07/24/2019 12:44pm,HU Service Center
Code Pink,19-0816,07/24/2019 1:48pm,07/24/2019 11:07am,Howard University Hospital
Lost Property,19-0817,07/24/2019 1:18pm,07/24/2019 3:09pm,Lower Campus
Assault on a Police Officer,19-0818,07/24/2019 4:03pm,07/23/2019 4:30pm,Howard University Hospital
Sick Person,19-0819,07/24/2019 5:17pm,07/24/2019 5:17pm,Medical Arts Building
Destruction of Property,19-0820,07/25/2019 6:50pm,07/25/2019 6:01pm,Howard University Hospital
Lost Property,19-0821,07/25/2019 9:01pm,07/25/2019 7:35pm,Howard University Hospital
none,19-0822,07/26/2019 12:05am,07/26/2019 12:05am,College Hall South
Harassment,19-0823,07/26/2019 1:17pm,07/25/2019 7:29pm,West Campus
Miscellaneous,19-0824,07/26/2019 4:21pm,07/26/2019 3:10pm,Howard University Hospital
Destruction of Property,19-0825,07/26/2019 8:26pm,07/26/2019 7:30pm,Howard University Hospital
Damaged Property,19-0826,07/27/2019 2:05am,07/27/2019 2:00am,2300 Block 9th Street NW
Theft From Auto,19-0827,07/30/2019 4:58pm,07/28/2019 6:00pm,Banneker South Parking Lot
Damaged Property,19-0828,07/30/2019 4:37pm,07/30/2019 6:09pm,Howard Plaza Towers East
Student Misconduct,19-0829,07/30/2019 5:09pm,07/29/2019 7:40pm,Howard Plaza Towers West
Sick Person,19-0830,07/30/2019 5:22pm,07/29/2019 8:10pm,HURB 1
Threats,19-0831,07/30/2019 5:34pm,07/20/2019  12:00pm,Administration Building
Destruction of Property,19-0832,07/30/2019 5:37pm,07/29/2019 7:00pm,Howard University Hospital
Hazardous Elevator,19-0833,07/30/2019 9:54pm,07/30/2019 9:54pm,Stokes Library
Simple Assault,19-0834,07/31/2019 9:36am,07/30/2019 1:53pm,HU Service Center
Sexual Assault,19-0835,07/31/2019 10:10am,07/29/2019 11:43am,Howard University Hospital
Employee Termination,19-0836,07/31/2019 10:30am,07/25/2019 12:00pm,HURB 1
Harassment,19-0837,07/31/2019 8:05pm,07/31/2019 8:05pm,Howard University Hospital
Shooting,19-0838,08/01/2019 12:49am,08/01/2019 12:49am,Howard Plaza Towers West
Theft 2,19-0839,08/01/2019 1:37pm,08/01/2019 10:00am,Administration Building
Destruction of Property,19-0840,08/01/2019 4:47pm,08/01/2019 4:45pm,500 Block Bryant Street
Destruction of Property,19-0841,08/01/2019 4:07pm,08/01/2019 4:07pm,CB Powell Circle
Theft From Auto,19-0842,08/01/2019 5:13pm,08/01/2019 3:30pm,500 Block Bryant Street
Theft 2,19-0843,08/01/2019 7:38pm,08/01/2019 7:38pm,Wonder Plaza
Damaged Property,19-0844,08/02/2019 6:06am,08/02/2019 6:06am,Banneker North Trailers
Injured Person,19-0845,08/02/2019 7:06am,08/02/2019 7:06am,Banneker North Trailers
Miscellaneous,19-0846,08/02/2019 3:42pm,07/31/2019 12:00pm,A-1 Rear Parking Lot
Sick Person,19-0847,08/03/2019 1:21pm,08/03/2019 1:21pm,Burr Gym
Miscellaneous,19-0848,08/03/2019 5:04pm,08/03/2019 5:04pm,Stokes Library
Theft From Auto,19-0849,08/04/2019 11:10am,08/04/2019 10:37am,Howard Center Lot
Theft 2,19-0850,08/04/2019 5:02pm,08/04/2019 4:33pm,Pharmacy
Verbal Dispute,19-0851,08/04/2019 9:27pm,08/04/2019 8:20pm,Howard University Hospital
Hazardous Elevator,19-0852,08/05/2019 8:01am,08/05/2019 8:01am,Howard Plaza Towers East
Injured Person,19-0853,08/05/2019 11:03am,08/05/2019 11:03am,Howard University Hospital
Theft From Auto,19-0854,08/05/2019 3:58pm,08/05/2019 3:45pm,Greene Stadium Lot
Simple Assault,19-0855,08/05/2019 10:20pm,08/05/2019 9:35pm,Howard University Hospital
Fire Alarm Activation,19-0856,08/06/2019 12:26am,08/06/2019 12:26am,Chemical Engineering Building
Found Property,19-0857,08/06/2019 1:43pm,08/06/2019 10:29am,Howard University Hospital
Sick Person,19-0858,08/06/2019 3:51pm,08/06/2019 3:51pm,Medical Arts Building
Fire Alarm Activation,19-0859,08/07/2019 6:11am,08/07/2019 6:11am,Mudd Building
Injured Person,19-0860,08/07/2019 3:05pm,08/07/2019 2:30pm,Howard University Hospital
Theft From Auto,19-0861,08/07/2019 9:29pm,08/07/2019 8:45pm,A-2 Garage
Theft From Auto,19-0862,08/08/2019 1:45am,08/07/2019 11:30pm,East Towers Parking Lot
Damaged Property,19-0863,08/08/2019 8:24am,08/08/2019 8:10am,East Towers Parking Lot
Theft From Auto,19-0864,08/08/2019 2:46pm,08/08/2019 2:40pm,600 Block Bryant Street
Fire Alarm Activation,19-0865,08/09/2019 2:08am,08/09/2019 2:08am,Chemical Engineering Building
Fire Alarm Activation,19-0866,08/09/2019 7:42am,08/09/2019 7:42am,Howard University Hospital
Theft From Auto,19-0867,08/09/2019 5:04pm,08/09/2019 9:18am,A-2 Garage
Theft From Auto,19-0868,08/09/2019 6:25pm,08/09/2019 6:25pm,Howard Plaza Towers West
Theft From Auto,19-0869,08/09/2019 6:56pm,08/09/2019 6:56pm,2200 Block 8th Street
Student Misconduct,19-0870,08/09/2019 6:53pm,08/09/2019 6:53pm,Bethune Annex
Theft From Auto,19-0871,08/09/2019 9:01pm,08/09/2019 9:00pm,Drew Hall
Injured Person,19-0872,08/10/2019 10:23am,08/10/2019 10:23am,Georgia & Fairmont Street
Verbal Dispute,19-0873,08/10/2019 1:10pm,08/10/2019 11:00am,Howard University Hospital
Sick Person,19-0874,08/10/2019 8:24pm,08/10/2019 8:20pm,Greene Stadium
Threats,19-0875,08/11/2019 9:08am,08/11/2019 7:51am,Howard University Hospital
Hazardous Water Leak,19-0876,08/11/2019 11:38am,08/11/2019 8:30am,CB Powell Building
Vehicle Accident,19-0877,08/11/2019 1:45pm,08/11/2019 11:20am,600 Block Howard Place
Sick Person,19-0878,08/11/2019 3:24pm,08/11/2019 3:24pm,Cramton Auditorium
Theft From Auto,19-0879,08/11/2019 5:59pm,08/11/2019 5:59pm,East Towers Parking Lot
Fire Alarm Activation,19-0880,08/11/2019 5:35pm,08/11/2019 5:28pm,Crandall Hall
Injured Person,19-0881,08/11/2019 8:32pm,08/11/2019 8:32pm,300 Block Bryant Street
Eloped Patient,19-0882,08/12/2019 12:06pm,08/12/201910:55am,Howard University Hospital
Fire Alarm Activation,19-0883,08/12/2019 1:03pm,08/12/2019 1:03pm,Burr Gym
Student Misconduct,19-0884,08/12/2019 1:33pm,08/12/2019 1:33pm,College Hall South
Fire Alarm Activation,19-0885,08/12/2019 8:08pm,08/12/2019 8:08pm,Chemical Engineering Building
Miscellaneous,19-0886,08/12/2019 9:31pm,08/12/2019 7:58pm,Howard University Hospital
Theft From Auto,19-0887,08/12/2019 9:07pm,08/12/2019 8:40pm,Howard Plaza Towers West
Sick Person,19-0888,08/12/2019 11:35pm,08/12/2019 11:35pm,Cook Hall
Fire Alarm Activation,19-0889,08/12/2019 11:51pm,08/12/2019 11:51pm,Bethune Annex
Hazardous Water Leak,19-0890,08/13/2019 1:21am,08/13/2019 1:21am,Quadrangle
Destruction of Property,19-0891,08/13/2019 4:18am,08/13/2019 4:18am,Howard Center Lot
Recovered Property,19-0892,08/13/2019 9:10am,08/13/2019 9:10am,HU Service Center
Found Property,19-0893,08/13/2019 12:14pm,08/13/2019 1:00am,HU Service Center
Vehicle Accident,19-0894,08/13/2019 5:10pm,08/13/2019 4:47pm,4th & College Street
Threats to do Bodily Harm,19-0895,08/13/2019 7:38pm,08/13/2019 5:54pm,Howard University Hospital
Theft From Auto,19-0896,08/14/2019 3:05am,08/14/2019 3:00am,Howard Plaza Towers West
Found Property,19-0897,08/14/2019 9:47am,08/14/2019 9:47am,Howard University Hospital
Lost Property,19-0898,08/14/2019 3:44pm,08/14/2019 3:44pm,HU Service Center
Vehicle Accident,19-0899,08/14/2019 4:25pm,08/14/2019 4:25pm,2200 Block 6th Street
Loud Noise,19-0900,08/15/2019 12:44am,08/15/2019 12:44am,Off Campus
Stolen Auto,19-0901,08/15/2019 1:39am,08/15/2019 1:30am,500 block W  Street
Found Property,19-0902,08/15/2019 4:04pm,08/15/2019 3:30pm,I-Lab
Lost Property,19-0903,08/15/2019 7:20pm,08/15/2019 6:40pm,Engineering Building
Theft 2,19-0904,08/15/2019 8:42pm,08/15/2019 8:35pm,Off Campus
Fire Alarm Activation,19-0905,08/15/2019 11:38pm,08/15/2019 11:31pm,Chemical Engineering Building
Employee Termination,19-0906,08/16/2019 10:14am,08/16/2019 8:45am,Howard University Hospital
Theft From Auto,19-0907,08/16/2019 2:10pm,08/14/2019 12:00pm,A-2 Garage
Student Misconduct,19-0908,08/16/2019 11:47am,08/16/2019 11:47am,College Hall South
Theft From Auto,19-0909,08/16/2019 9:49pm,08/16/2019 7:30pm,500 block W  Street
Sick Person,19-0910,08/16/2019 11:49pm,08/16/2019 11:49pm,Drew Hall
Loud Noise,19-0911,08/17/2019 12:55am,08/17/2019 12:55am,Off Campus
Theft 2,19-0912,08/17/2019 11:29am,08/17/2019 11:39am,Quadrangle
Theft 2,19-0913,08/17/2019 3:35pm,08/17/2019 3:35pm,Howard Plaza Towers West
Lost Property,19-0914,08/17/2019 6:16pm,08/17/2019 3:25pm,Burr Gym
Destruction of Property,19-0915,08/17/2019 10:17pm,08/17/2019 10:00pm,2200 Block 6th Street
Assault on a Police Officer,19-0916,08/18/2019 5:13pm,08/18/2019 4:15am,Howard University Hospital
Miscellaneous,19-0917,08/18/2019 6:07pm,08/18/2019 6:07pm,Howard Plaza Towers West
Destruction of Property,19-0918,08/18/2019 6:27pm,08/18/2019 12:30pm,East Towers Parking Lot
Injured Person,19-0919,08/19/2019 9:12am,08/19/2019 9:12am,Founders Library
Theft 1,19-0920,08/19/2019 11:47am,08/19/2019 10:15am,College Hall South
Lost Property,19-0921,08/19/2019 1:42pm,08/19/2019 1:42pm,Howard University Hospital
Threats,19-0922,08/19/2019 2:31pm,08/19/2019 2:05pm,Howard University Hospital
Theft 1,19-0923,08/19/2019 5:11pm,08/16/2019 12:00pm,Howard Plaza Towers West
Fire Alarm Activation,19-0924,08/19/2019 9:19pm,08/19/2019 9:19pm,Howard Plaza Towers East
Miscellaneous,19-0925,08/19/2019 9:40pm,08/19/2019 9:40pm,Howard University Hospital
Suspicious Person,19-0926,08/20/2019 2:11am,08/20/2019 1:30am,Howard University Hospital
Fire Alarm Activation,19-0927,08/20/2019 10:33am,08/20/2019 10:33am,Howard Plaza Towers East
Miscellaneous,19-0928,08/20/2019 1:04pm,08/20/2019 12:41pm,Howard University Hospital
Injured Person,19-0929,08/20/2019 1:01pm,08/20/2019 1:01pm,Engineering Building
Unlawful Shooting,19-0930,08/21/2019 1:24am,08/21/2019 1:24am,Howard Plaza Towers West
Fire Alarm Activation,19-0931,08/21/2019 6:40am,08/21/2019 6:40am,Chemical Engineering Building
Sick Person,19-0932,08/21/2019 12:34pm,08/21/2019 12:34pm,Bethune Annex
Found Property,19-0933,08/21/2019 11:55am,08/21/2019 11:55am,HU Service Center
Fire Alarm Activation,19-0934,08/21/2019 12:55pm,08/21/2019 12:55pm,Chemical Engineering Building
