NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Sick Transport,16-0690,05-26-16/1901,05-26-16/1752,West Campus,Inactive
Fire Alarm Activation,16-0691,05-26-16/2220,05-26-16/2217,Howard Plaza Towers,Inactive
Lost Property,16-0692,05-27-16/0729,05-27-16/0729,College of Dentistry,Inactive
Damaged Property,16-0693,05-27-16/1102,05-27-16/1025,Main Gate,Inactive
Assault on a Police Officer,16-0694,05-27-16/2347,05-27-16/2330,HU Hospital,Active
Hazardous Elevator,16-0695,05-29-16/2205,05-29-16/2129,College Hall North,Inactive
Missing Person,16-0696,05-31-16/0625,05-31-16/0618,College Hall North,Active
Sick Person,16-0697,06-01-16/1045,06-01-16/1045,Biology Building,Inactive
Hazardous Water Leak,16-0698,06-02-16/0331,06-02-16/0300,Law Library,Inactive
Barring Notice,16-0699,06-02-16/0933,06-02-16/0932,Physic Building,Active
APO/Threats to do Bodily Harm,038-16,05-06-16/1148,05-06-16/1148,HU Hospital,Active
Recovered Property,16-0700,06-02-16/1151,05-13=16/1345,Off Campus,Inactive
Theft 2,16-0701,06-02-16/1532,06-02-16/1515,Off Campus,Active
Recovered Property,16-0702,06-02-16/1631,06-02-16-1631,Social Work,Inactive
NO REPORT,16-0703,06-03-16/,06-03-16/,,
Miscellaneous,16-0704,06-03-16/1908,06-03-16/1902,Service Center,Inactive
Eloped Patient,16-0705,06-03-16/2023,06-03-16/1609,Howard Hospital,Activw
Sick Person,16-0706,06-03-16/2058,06-03-16/2055,Bethune Hall Annex,Inactive
Damaged Property,16-0707,06-03-16/2159,06-03-16/2159,4th NW,Inactive
Fire Alarm Activation,16-0708,06-04-16/1135,06-04-16/1135,Engineering Building,Inactive
Theft from Auto,16-0709,06-04-16/2115,06-04-16/1958,V Street NW,Activw
NO REPORT,16-0710,06-05-16/,06-05-16/,,
Destruction of Property,16-0711,06-06-16/1811,06-06-16/1811,HU Hospital,Active
Destruction of Property,16-0712,06-06-16/1847,06-06-16/1811,A1 Rear Parking Lot,Active
Destruction of Property,16-0713,06-06-16/1857,06-06-16/1811,A1 Rear Parking Lot,Active
Injured Person,16-0714,06-07-16/0029,06-07-16/0029,Service Center,Active
Hazardous Odor,16-0715,06-07-16/1157,06-07-16/1157,Power Plant,Active
Found Property,16-0716,06-08-16/1145,06-08-16/1140,Administration Building,Inactive
Lost Property,16-0717,06-09-16/0906,06-09-16/0900,Service Center,Inactive
Theft from Auto,16-0718,06-09-16/2202,06-09-16/2202,Wonder Plaza,Active
Assault on a Police Officer,16-0719,06-11-16/32,06-11-16/1715,Howard Hopital,Active
Unlawful Entry,16-0720,06-11-16/2120,06-11-16/2000,Founders Library,Active
Theft from Auto,16-0721,06-11-16/2303,06-11-16/2256,Ira Aldride Theatra,Active
Unlawful Entry,16-0722,06-13-16/0912,06-13-16/0709,Bethune Hall Annex,Active
Theft 2,16-0723,06-13-16/1138,06-13-16/1138,College of Denistry,Active
Vehicle Accident,16-0724,06-13-16/1118,06-13-16/1118,Lower Campus,Active
Burglary 2,16-0725,06-13-16/1404,06-13-16/1358,College of Denistry,Active
Vehicle Accident,16-0726,06-14-16/0917,06-14-16/0917,Main Gate,Active
Theft 2,16-0727,06-14-16/1640,06-14-16/1617,College Hall South,Active
Vehicle Accident,16-0728,06-15-16/1225,06-15-16/1225,Founders Library,Active
Found Property,16-0729,06-15-16/1840,06-15-16/1839,9th Street Lot,Inactive
Lost Property,16-0730,06-16-16/0026,06-16-16/0026,Service Center,Inactive
Theft 2,16-0731,06-16-16/1244,06-16-16/1243,Mental Health,Active
Hazardous Water Leak,16-0732,06-16-16/2131,06-16-16/2131,Chemistry Building,Inactive
Student Misconduct,16-0733,06-17-16/2137,06-17-16/2037,Bethune Hall Annex,Active
Unlawful Entry,16-0734,06-18-16/0821,06-18-16/0821,422 Florida Avenue NW,Active
Damaged Property,16-0735,06-19-16/1510,06-19-16/1507,East Towers Parking Lot,Inactive
Found Property,16-0736,06-21-16/1040,06-21-16/1006,Wonder Plaza,Inactive
Sick Person,16-0737,06-21-16/1323,06-21-16/1323,College of Denistry,Inactive
NO REPORT,16-0738,06-21-16/,06-21-16/,,
Fire Alarm Activation,16-0739,06-21-16/2344,06-21-16/2341,Architecture & Planning,Inactive
Theft from Auto,16-0740,06-22-16/1719,06-22-16/1716,Howard Center Lot,Active
Credit Card Fraud,16-0741,06-24-16/1440,06-24-16/1440,Wonder Plaza,Active
Assault on a Police Officer,16-0742,06-25-16/1230,06-25-16/0800,HU Hospital,Active
Theft from Auto,16-0743,06-26-16/1829,06-26-16/1829,College Hall South,Active
NO REPORT,16-0744,06-26-16/,06-26-16/,,
Damaged Property,16-0745,06-27-16/1018,06-27-16/1018,Banneker North Parking Lot,Inactive
Vehicle Accident,16-0746,06-28-16/1443,06-28-16/1443,5th & W Street NW,Active
Fire Alarm Activation,16-0747,06-28-16/2235,06-28-16/2232,College Hall North,Inactive
Lost Property,16-0748,06-30-16/0808,06-30-16/0735,Service Center,Inactive
Injured Person,16-0749,07-02-16/2135,07-02-16/0930,A1 Rear Parking Lot,Inactive
Sick Transport,16-0750,07-03-16/1122,07-03-16/1107,College Hall North,Inactive
Theft 2,16-0751,07-03-16/1800,07-03-16/1731,College Hall South,Active
Lost Property,16-0752,07-05-16/1127,07-05-16/1127,Service Center,Inactive
Theft from Auto,16-0753,07-05-16/1349,07-05-16/1246,Mental Health Clinic,Active
Damaged Property,16-0754,07-06-16/1441,07-06-16/1441,Drew Hall,Inactive
Theft from Auto,16-0755,07-06-16/1738,07-06-16/1726,6th Street NW,Active
Hazardous Water Leak,16-0756,07-07-16/0747,07-07-16/0747,Locke Hall,Inactive
Hazardous Elevator,16-0757,07-07-16/0918,07-07-16/0917,Quadrangle Hall,Inactive
Theft 2,16-0758,07-07-16/1235,07-07-16/1232,Dental School,Active
Miscellaneous,16-0759,07-07-16/1610,07-07-16/1415,HU Hospital,Inactive
Miscellaneous,16-0760,07-08-16/0951,07-08-16/0951,Fine Arts Building,Inactive
Found Property,16-0761,07-08-16/1418,07-08-16/1418,Lower Campus,Inactive
Theft from Auto,16-0762,07-08-16/1552,07-08-16/1523,Howard Center Lot,Active
Theft From Auto,16-0763,07-08-16/1415,07-08-16/1531,Adams Building,Active
Injured Person,16-0764,07-09-16/0747,07-09-16/0746,HU Hospital,Active
Simple Assault,16-0765,07-09-16/0300,07-09-16/0257,HU Hospital,Active
Unlawful Entry,16-0766,07-12-16/0711,07-12-16/0706,C.B. Powell Building,Active
Fire Alarm Activation,16-0767,07-12-16/1327,07-12-16/1325,Slowe Hall,Inactive
Damaged Property,16-0768,07-12-16/1603,07-12-16/1600,Service Center,Inactive
Armed Robbery,16-0769,07-13-16/0006,07-13-16/0006,Business District,Active
Theft from Auto,16-0770,07-13-16/0917,07-11-16/1400,Service Center,Active
Student Misconduct,16-0771,07-13-16/1223,07-13-16/1223,Bethune Hall Annex,Active
"",16-0772,,,,
Fire Alarm Activation,16-0773,07-14-16/1000,07-14-16/0957,Slowe Hall,Inactive
Lost Property,16-0774,07-14-16/1013,07-14-16/1013,Dental School,Inactive
Lost Property,16-0775,07-14-16/1046,07-11-16/1046,Off Campus,Inactive
Lost Property,16-0776,07-14-16/1310,07-14-16/1309,Quadrangle Hall,Inactive
Injured Person,16-0777,07-15-16/0945,07-15-16/0945,Dental School,Active
Alarm Activation,16-0778,07-16-16/0813,07-16-16/0813,HURB-One,Inactive
Fire Alarm Activation,16-0779,07-16-16/0846,07-16-16/0827,Lower Campus,Inactive
ADW/knife Domestic Violence,16-0780,07-16-16/2341,07-16-16/2337,Dental School,Active
Destruction of Property,16-0781,07-17-16/1857,07-17-16/1855,Carnegie Hall,Active
Injured Person,16-0782,07-17-16/2014,07-17-16/1814,Annex 1,Active
Unlawful Entry,16-0783,07-18-16/0933,07-18-16/0930,Engineering Building,Active
Barring Notice,16-0784,07-18-16/1023,07-18-16/1023,Service Center,Active
Lost Property,16-0785,07-18-16/0947,07-18-16/0948,Fine Arts Building,Inactive
Theft 1,16-0786,07-18-16/1152,07-18-16/1050,HU Hospital,Active
Theft 2,16-0787,07-18-16/1301,07-18-16/1310,Mudd Building,Active
Fire Alarm Activation,16-0788,07-19-16/0857,07-19-16/0857,College Hall South,Inactive
Fire,16-0789,07-19-16/2115,07-19-16/2104,College Hall South,Active
Theft from Auto,16-0790,07-20-16/0800,07-20-16/0734,Service Center,Active
Fire Alarm Activation,16-0791,07-20-16/0850,07-20-16/0847,Slowe Hall,Inactive
Fire Alarm Activation,16-0792,07-20-16/1144,07-20-16/1142,Cook Hall,Inactive
Student Misconduct,16-0793,07-20-16/1415,07-20-16/1404,College Hall North,Active
Fire Alarm Activation,16-0794,07-20-16/1550,07-20-16/1546,Slowe Hall,Inactive
Theft from Auto,16-0795,07-20-16/1623,07-20-16/1623,Dental School,Active
Hazardous Elevator,16-0796,07-20-16/1707,07-20-16/1707,Wonder Plaza,Inactive
Fire Alarm Activation,16-0797,07-20-16/1808,07-20-16/1608,College Hall South,Inactive
Theft from Auto,16-0798,07-21-16/1321,07-21-16/1321,Howard Center,Active
ADW/knife,16-0799,07-21-16/1351,07-21-16/1351,Slowe Hall,Active
Vehicle Accident,16-0800,07-21-16/1539,07-21-16/1513,600 block of Bryant Street NW,Active
NO Report,16-0801,07-21-16/,07-21-16/,,
Harassment,16-0802,07-22-16/1057,07-22-16/0751,Service Center,Active
Damaged Property,16-0803,07-22-16/0814,07-22-16/0813,Service Center,Inactive
Lost Property,16-0804,07-22-16/1427,07-22-16/1420,Service Center,Inactive
Sick Person,16-0805,07-22-16/1751,07-22-16/1750,600 Bryant St. NW,Inactive
Damaged Property,16-0806,07-24-16/0951,07-24-16/0920,Biology Building,Inactive
Fire Alarm Activation,16-0807,07-24-16/1909,07-24-16/1900,College Hall North,Inactive
Fire Alarm Activation,16-0808,07-25-16/2342,07-25-16/2336,Wonder Plaza,Inactive
Student Misconduct,16-0809,07-25-16/1430,07-25-16/1430,College Hall North,Active
Fire Alarm Activation,16-0810,07-26-16/0751,07-26-16/0730,Lower Campus,Inactive
Damaged Property,16-0811,07-26-16/0935,07-26-16/0934,5th & W Lot,Inactive
Lost Property,16-0812,07-26-16/2050,07-26-16/1953,Public Space,Inactive
Fire Alarm Activation,16-0813,07-26-16/2348,07-26-16/2349,Slowe Hall,Inactive
Vehicle Accident,16-0814,07-27-16/0635,07-27-16/0635,MAIN GATE,Active
Hazardous Elevator,16-0815,07-27-16/0755,07-27-16/0755,Social Work,Inactive
Hazardous Elevator,16-0816,07-27-16/0922,07-27-16/0922,Administration Building,Inactive
Fire Alarm Activation,16-0817,07-27-16/0944,07-27-16/0942,Wonder Plaza,Inactive
Found Property,16-0818,07-28-16/08521,07-28-16/0852,Wonder Plaza,Inactive
Damaged Property,16-0819,07-28-16/1108,07-28-16/1100,Wonder Plaza,Inactive
Damaged Property,16-0820,07-28-16/1453,07-28-16/1450,Dental School,Inactive
Hazardous Elevator,16-0821,07-28-16/1828,07-28-16/1820,Stokes Library,Inactive
Fire Alarm Activation,16-0822,07-29-16/0014,07-29-16/0014,Wonder Plaza,Inactive
Student Misconduct,16-0823,07-29-16/1716,07-29-16/1715,College Hall North,Active
Student Misconduct,16-0824,07-29-16/2006,07-29-16/1800,College Hall North,Active
Fire Alarm Activation,16-0825,07-30-16/0125,07-30-16/0124,Wonder Plaza,Inactive
Fire Alarm Activation,16-0826,07-30-16/2245,07-30-16/2242,Wonder Plaza,Inactive
Miscellaneous,16-0827,07-31-16/2302,07-31-16/1702,HURB-1,Inactive
Hazardous Elevator,16-0828,08-01-16/0617,08-01-16/0617,Quadrangle Hall,Inactive
Damaged Property,16-0829,08-01-16/1310,08-01-16/0740,HUSC Garage,Inactive
Hazardous Elevator,16-0830,08-01-16/1342,08-01-16/1340,Howard Plaza Towers,Inactive
Fire Alarm Activation,16-0831,08-01-16/2120,08-01-16/2107,East Campus,Inactive
Hazardous Elevator,16-0832,08-01-16/2340,08-01-16/2340,Plaza Towers,Inactive
Barring Notice,16-0833,08-02-16/0830,08-02-16/0810,Bethune Annex,Active
Injured Person,16-0834,08-02-16/1158,08-02-16/1158,WHUR,Active
Sick Person,16-0835,08-02-16/1420,08-02-16/1417,Rankin Chapel,Inactive
Destruction of Property,16-0836,08-02-16/2150,08-02-16/2150,Public Space,Active
unlawful Entry/Threats,16-0837,08-03-16/0559,08-03-16/0545,HU Hospital,Active
Miscellaneous,16-0838,07-31-16/0027,07-31-16/0025,College Hall South,Inactive
Hazardous Water Leak,16-0839,08-04-16/1603,08-04-16/1558,School of Business,Inactive
Found Property,16-0840,08-04-16/1807,08-04-16/1804,Miner Building,Inactive
Injured Person,16-0841,08-06-16/0843,08-06-16/0700,Service Center,Active
Fire Alarm Activation,16-0842,08-07-16/0732,08-07-16/0731,Slowe Hall,Inactive
Theft from Auto,16-0843,08-07-16/1041,08-07-16/1040,Cook Hall,Active
Injured Person,16-0844,08-08-16/0951,08-08-16/0951,Administration Building,Active
Threats,16-0845,08-08-16/1813,08-08-16/1530,HU Hospital,Active
Lost Property,16-0846,08-09-16/0858,08-09-16/0858,On Campus,Inactive
NO Report,16-0847,08-09-16/,08-09-16/,,
Miscellaneous,16-0848,08-10-16/0108,08-10-16/0108,Valley,Inactive
Damaged Property,16-0849,08-10-16/1017,08-10-16/1006,Locke Hall,Inactive
Sick Person,16-0850,08-10-16/1117,08-10-16/1120,Lower Campus,Inactive
Damaged Property,16-0851,08-10-16/1410,08-10-16/1410,Florida Ave Lot,Inactive
Student Misconduct,16-0852,08-10-16/2049,08-10-16/2030,Founders Library,Active
Damaged Property,16-0853,08-11-16/0745,08-11-16/0741,Early Learning Center,Inactive
Theft 2,16-0854,08-10-16/1158,08-10-16/1157,"Lower Campus, IRS",Active
Sick Person,16-0855,08-11-16/1230,08-11-16/1224,Blackburn Center,Inactive
Sick Transport,16-0856,08-11-16/1551,08-11-16/1551,C.B. Powell Building,Inactive
Suspicious Odor,16-0857,08-11-16/1613,08-11-16/1608,900 Barry Place NW,Inactive
Hazardous Water Leak,16-0858,08-11-16/1717,08-11-16/1715,Locke Hall,Inactive
Armed Robbery,16-0859,08-12-16/0320,08-12-16/0319,2334 Georgia Avenue NW,Active
Theft 1,16-0860,08-12-16/1435,08-12-16/1433,Annex 3,Active
Injured Person,16-0861,08-12-16/1820,08-12-16/1815,Adams Building,Active
NO Report,16-0862,08-12-16/,08-12-16/,,Inactive
Simple Assault,16-0863,08-12-16/2226,08-12-16/2215,Bethune Hall Annex,Active
Sick Person,16-0864,08-13-16/0930,08-13-16/0930,Blackburn Center,Inactive
Unlawful Entry,16-0865,08-13-16/1120,08-13-16/1120,Howard Center,Active
Theft from Auto,16-0866,08-13-16/1355,08-13-16/1354,Plaza Towers,Active
Sick Person,16-0867,08-14-16/0208,08-14-16/0205,Biology Building,Inactive
Stolen Auto,16-0868,08-14-16/0243,08-14-16/0243,Bethune Hall Annex,Inactive
Sick Person,16-0869,08-14-16/1407,08-14-16/1404,Rankin Chapel,Inactive
Student Misconduct,16-0870,08-14-16/1530,08-14-16/1523,College Hall South,Active
Miscellaneous,16-0871,08-15-16/1234,08-15-16/1231,College Hall South,Inactive
Lost Property,16-0872,08-16-16/1358,08-16-16/1358,Stokes Library,Inactive
Lost Property,16-0873,08-16-16/2323,08-16-16/2323,Lower Campus,Inactive
Unlawful Entry,16-0874,08-17-16/0816,08-17-16/0815,Administration Building,Active
NO Report,16-0875,08-17-16/,08-17-16/,,
Fire Alarm Activation,16-0876,08-17-16/1601,08-17-16/1548,Stokes Library,Inactive
Lost Property,16-0877,08-17-16/,08-17-16/,,Inactive
Suspicious Odor,16-0878,08-18-16/1025,08-18-16/1023,Bethune Hall Annex,Active
Injured Person,16-0879,08-18-16/1530,08-18-16/1519,Blackburn Center,Active
Theft 1,16-0880,08-18-16/1540,08-18-16/1518,Biology Building,Active
Lost Property,16-0881,08-18-16/1653,08-18-16/1653,Plaza Towers,Inactive
Student Misconduct,16-0882,08-18-16/1847,08-18-16/1820,Upper Campus,Active
Fire Alarm Activation,16-0883,08-18-16/2055,08-18-16/2047,Cook Hall,Inactive
Sick Person,16-0884,08-19-16/0024,08-19-16/0021,Quadrangle Hall,Inactive
Sick Person,16-0885,08-19-16/0102,08-19-16/0100,Quadrangle Hall,Inactive
Injured Person,16-0886,08-19-16/1236,08-19-16/1230,Plaza Towers,Active
Stalking/Threats,16-0887,08-19-16/1302,08-19-16/1257,College Hall South,Active
Disorderly,16-0888,08-19-16/1522,08-19-16/1400,HUH,Active
Sick Person,16-0889,08-19-16/1612,08-19-16/1551,Drew Hall,Inactive
"",16-0890,,,,
Fire Alarm Activation,16-0891,08-20-16/0141,08-20-16/0132,Howard Plaza Towers,Inactive
Domestic Violence,16-0892,08-20-16/1103,08-20-16/1100,Howard Plaza Towers,Active
Miscellaneous,16-0893,08-20-16/2117,08-20-16/2117,Service Center,Inactive
Verbal Dispute,16-0894,08-20-16/2332,08-20-16/2328,College Hall South,Active
Lost Property,16-0895,08-21-16/1603,08-21-16/1600,Service Center,Inactive
Fire Alarm Activation,16-0896,08-21-16/2329,08-21-16/2239,College Hall South,Inactive
Injured Person,16-0897,08-21-16/2351,08-21-16/2340,400 block Bryant St. NW,Active
Found Property,16-0898,08-22-16/0453,08-22-16/0453,Wonder Plaza,Inactive
Found Property,16-0899,08-22-16/1030,08-22-16/1030,Stokes Library,Inactive
Barring Notice,16-0900,08-22-16/1345,08-22-16/1336,Douglass Hall,Active
Damaged Property,16-0901,08-22-16/1412,08-22-16/1412,Biology Building,Inactive
Armed Robbery,16-0902,08-22-16/1537,08-22-16/1537,Off Campus,Active
Miscellaneous,16-0903,08-22-16/1538,08-22-16/1538,Service Center,Inactive
Damaged Property,16-0904,08-22-16/1542,08-22-16/1528,Burr Gym,Inactive
Fire Alarm Activation,16-0905,08-23-16/0914,08-23-16/0914,Cook Hall,Inactive
Student Misconduct,16-0906,08-23-16/1002,08-23-16/1002,Cook Hall,Active
Theft 1,16-0907,08-23-16/1659,08-23-16/1653,Biology Building,Active
Theft 2,16-0908,08-23-16/1900,08-23-16/1829,Annex 3,Active
Theft 2,16-0909,08-23-16/2320,08-23-16/2316,Drew Hall,Active
Lost Property,16-0910,08-24-16/0812,08-24-16/0814,College Hall South,Inactive
Barring Notice,16-0911,08-24-16/1046,08-24-16/1048,Bethune Hall,Active
Student Misconduct,16-0912,08-24-16/1123,08-24-16/1125,Adams Bldg,Active
Lost Property,16-0913,08-24-16/1115,08-24-16/1117,Howard Center,Inactive
Damaged Property,16-0914,08-24-16/1411,08-24-16/1413,Main Gate,Inactive
Theft 2,16-0915,08-24-16/1617,08-24-16/1619,Drew Hall,Active
Found Property,16-0916,08-24-16/1630,08-24-16/1632,Stokes Library,Inactive
Theft 2,16-0917,08-24-16/1944,08-24-16/1946,Drew Hall,Active
Fire Alarm Activation,16-0918,08-24-16/2045,08-24-16/2047,Cook Hall,Inactive
Hazardous Water Leak,16-0919,08-24-16/1911,08-24-16/1913,Biology Building,Inactive
Missing Person,16-0920,08-24-16/2328,08-24-16/2330,Slowe Hall,Active
Sick Person,16-0921,08-25-16/1000,08-25-16/1002,Founder Library,Inactive
Fire Alarm Activation,16-0922,08-25-16/1858,08-25-16/1002,Drew Hall,Inactive
Injured Person,16-0923,08-25-16/1907,08-25-16/1926,College Hall South,Active
Miscellaneous,16-0924,08-26-16/0022,08-26-16/0022,Lower Campus,Inactive
Sick Person,16-0925,08-26-16/0122,08-26-16/0124,Valley,Inactive
Student Misconduct,16-0926,08-26-16/1310,08-26-16/1312,Founder Lot,Active
Harassment,16-0927,08-26-16/1732,08-26-16/1734,Quadrangle Hall,Active
Sick Transport,16-0928,08-26-16/1802,08-26-16/1804,C.B. Powell,Inactive
No Report,16-0929,,,,
Damaged Property,16-0930,08-27-16/0109,08-27-16/0111,Law Library,Inactive
Loud  Noise,16-0931,08-27-16/0018,08-27-16/0020,Off Campus,Active
Miscellaneous,16-0932,08-26-16/1310,08-26-16/1312,Adams Bldg,Inactive
Fire Alarm Activation,16-0933,08-27-16/0908,08-27-16/0910,Cook Hall,Inactive
Theft 2,16-0934,08-27-16/1034,08-27-16/1036,College Hall North,Active
Theft From Auto,16-0935,08-27-16/1620,08-27-16/1622,Upper Campus,Active
Fire Alarm Activation,16-0936,08-28-16/0958,08-28-16/0960,College Hall South,Inactive
Injured Person,16-0937,08-28-16/1147,08-28-16/1149,Lower Campus,Active
Theft 2,16-0938,08-28-16/1806,08-28-16/1808,Lower Campus,Active
Sick Transport,16-0939,08-29-16/0247,08-29-16/0249,College Hall South,Inactive
No Report,16-0940,,,,
Theft 1,16-0941,08-29-16/0906,08-29-16/0908,Annex 1,Active
Fire Alarm Activation,16-0942,08-29-16/0921,08-29-16/0923,Drew Hall,Inactive
Sick Person,16-0943,08-29-16/0935,08-29-16/0937,Locke Hall,Inactive
Miscellaneous,16-0944,08-29-16/1128,08-29-16/1130,College Hall South,Inactive
Damaged Property,16-0945,08-29-16/1701,08-29-16/1703,Drew Hall,Inactive
No Report,16-0946,,,,
Suspicious Odor,16-0947,08-29-16/2138,08-29-16/2140,Bethune Hall,Active
Fire Alarm Activation,16-0948,08-30-16/0118,08-30-16/0120,Cook Hall,Inactive
Vehicle Accident,16-0949,08-30-16/1102,08-30-16/1104,Lower Campus,Active
Fire,16-0950,08-30-16/1545,08-30-16/1545,Chaple,Active
Theft 1,16-0951,08-30-16/2036,08-30-16/2027,Fine Arts Building,Active
Sick Person,16-0952,08-30-16/2105,08-30-16/2101,Drew Hall,Inactive
Injured Person,16-0953,08-30-16/2138,08-30-16/2138,Plaza Towers,Active
Sick Person,16-0954,08-30-16/2222,08-30-16/2222,Burr Gym,Inactive
No Report,16-0955,,,,
Found Property,16-0956,08-31-16/1055,08-31-16/1051,I-Lab,Inactive
Sick Person,16-0957,08-31-16/1056,08-31-16/1056,School of Business,Inactive
Theft 2,16-0958,08-31-16/1218,08-31-16/1216,Howard Center,Active
Injured Person,16-0959,08-31-16/1149,08-31-16/1148,C.B. Powell Building,Active
Harassment,16-0960,08-31-16/1510,08-31-16/1510,BiologyBuilding,Active
Damaged Property,16-0961,09-01-16/0807,09-01-16/0803,Mackey Lot,Inactive
Sick Person,16-0962,09-01-16/1317,09-01-16/1217,School of Business,Inactive
Miscellaneous,16-0963,09-01-16/1416,09-01-16/1126,4th St Gate,Inactive
Theft From Auto,16-0964,09-01-16/1705,09-01-16/1703,Service Center,Active
Miscellaneous,16-0965,09-01-16/1730,09-01-16/1730,2300 block of 4th St.,Inactive
Injured Person,16-0966,09-01-16/1939,09-01-16/1939,Slowe Hall,Active
Sick Person,16-0967,09-01-16/2348,09-01-16/2343,Quadrangle Hall,Inactive
Sick Transport,16-0968,09-02-16/0117,09-02-16/0117,811 Quincy Street NW,Inactive
Fire Alarm Activation,16-0969,09-02-16/1202,09-02-16/1200,Cook Hall,Inactive
Injured Person,16-0970,09-02-16/1130,09-02-16/1407,Mudd Building,Active
Sick Person,16-0971,09-03-16/0038,09-03-16/0038,College Hall  North,Inactive
Sick Person,16-0972,09-03-16/0255,09-03-16/0254,Slowe Hall,Inactive
Sick Person,16-0973,09-05-16/0214,09-05-16/0211,HU Hospital,Inactive
Hazardous Water Leak,16-0974,09-05-16/0740,09-05-16/0740,Plaza Towers,Inactive
Sick Transport,16-0975,09-05-16/1155,09-05-16/1136,College Hall  South,Inactive
Miscellaneous,16-0976,09-05-16/1113,09-05-16/1113,Bethune Hall,Inactive
Miscellaneous,16-0977,09-05-16/1701,09-05-16/1700,Plaza Towers,Inactive
Suspicious Odor,16-0978,09-05-16/2013,09-05-16/2018,Slowe Hall,Active
Suspicious Odor,16-0979,09-05-16/2103,09-05-16/2103,Slowe Hall,Active
Unlawful Entry,16-0980,09-06-16/2330,09-06-16/0022,Plaza Towers,Active
Sick Transport,16-0981,09-06-16/0607,09-06-16/0609,Plaza Towers,Inactive
Fire Alarm Activation,16-0982,09-06-16/1200,09-06-16/1158,Cramton Auditorium,Inactive
Damaged Property,16-0983,09-06-16/1551,09-06-16/1551,Upper Campus,Inactive
Sick Person,16-0984,09-06-16/1553,09-06-16/1553,500 blk of Howard Pl,Inactive
Lost Property,16-0985,09-06-16/1901,09-06-16/1625,College of Denistry,Inactive
Student Misconduct,16-0986,09-06-16/2311,09-06-16/2311,Plaza Towers,Active
Sick Person,16-0987,09-07-16/0150,09-07-16/0150,Slowe Hall,Inactive
Damaged Property,16-0988,09-07-16/0908,09-07-16/0980,DREW Hall,Inactive
Miscellaneous,16-0989,09-07-16/1716,09-07-16/1600,Service Center,Inactive
Damaged Property,16-0990,09-07-16/1613,09-07-16/1555,6th ST side of Mackey,Inactive
Harassment,16-0991,09-07-16/1851,09-07-16/1654,Bethune Hall,Active
Sick Person,16-0992,09-08-16/1920,09-08-16/1908,Mudd Building,Inactive
Damaged Property,16-0993,09-08-16/1942,09-08-16/1940,V St Parking Lot,Inactive
Hazardous Smoke,16-0994,09-08-16/2016,09-08-16/2004,College of Denistry,Inactive
Hazardous Water Leak,16-0995,09-09-16/0454,09-09-16/0454,Blackburn Center,Inactive
Lost Property,16-0996,09-09-16/0935,09-09-16/0930,Bethune Hall,Inactive
Student Misconduct,16-0997,09-09-16/1404,09-09-16/1404,Founders Library,Active
Credit Card Fraud,16-0998,09-09-16/1541,09-09-16/1541,C.B. Powell Building,Active
Fire Alarm Activation,16-0999,09-09-16/2248,09-09-16/2224,Cook Hall,Inactive
Sick Person,16-1000,09-10-16/0157,09-10-16/0157,College HALL South,Inactive
Sick Person,16-1001,09-10-16/0213,09-10-16/0213,Quadrangle Hall,Inactive
Sick Person,16-1002,09-10-16/0442,09-10-16/0442,Quadrangle Hall,Inactive
Sick Transport,16-1003,09-10-16/2345,09-10-16/2344,College HALL South,Inactive
Loud  Noise,16-1004,09-11-16/0216,09-11-16/0215,Off Campus,Active
Fire Alarm Activation,16-1005,09-11-16/1100,09-11-16/1056,Slowe Hall,Inactive
Miscellaneous,16-1006,09-11-16/1300,09-11-16/1256,DREW Hall,Inactive
Fire Alarm Activation,16-1007,09-11-16/1530,09-11-16/1509,Quadrangle Hall,Inactive
Student Misconduct,16-1008,09-11-16/2107,09-11-16/2107,Valley,Active
Suspicious Odor,16-1009,09-11-16/2335,09-11-16/2311,Slowe Hall,Active
Lost Property,16-1010,09-11-16/2350,09-11-16/2350,Quadrangle Hall,Inactive
Domestic Violence,16-1011,09-12-16/0111,09-12-16/0111,Off Campus,Active
Sick Person,16-1012,09-12-16/0221,09-12-16/0059,HU Hospital,Inactive
Found Property,16-1013,09-12-16/0400,09-12-16/0358,Lower Campus,Inactive
Fire Alarm Activation,16-1014,09-12-16/1001,09-12-16/1001,Cook Hall,Inactive
Student Misconduct,16-1015,09-12-16/1245,09-12-16/1245,West Campus,Active
Miscellaneous,16-1016,09-12-16/1655,09-12-16/1652,Founders Library,Inactive
Fire Alarm Activation,16-1017,09-12-16/2320,09-12-16/2320,Cook Hall,Inactive
Sick Person,16-1018,09-13-16/0159,09-13-16/0035,HU Hospital,Inactive
Sick Person,16-1019,09-13-16/1225,09-13-16/1225,Locke Hall,Inactive
Theft 2,16-1020,09-13-16/1350,09-13-16/1339,Service Center,Active
Credit Card Fraud,16-1021,09-13-16/1412,09-13-16/1412,Service Center,Active
Theft 2,16-1022,09-13-16/1800,09-13-16/1758,Service Center,Active
Injured Person,16-1023,09-13-16/2030,09-13-16/2030,Burr Gym,Active
Fire Alarm Activation,16-1024,09-13-16/2120,09-13-16/2108,Plaza Towers,Inactive
Found Property,16-1025,09-13-16/2200,09-13-16/1717,Main Gate,Inactive
