NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Lost Property,14-0670,06-16-14/1006,06-16-14/1006,Dispatch/SOCC,Inactive
Sick Person,14-0671,06-16-14/1520,06-16-14/1513,Cramton Auditorium,Inactive
Student Misconduct,14-0672,06-16-14/1852,06-16-14/1852,Plaza Towers,Active
Student Misconduct,14-0673,06-16-14/1732,06-16-14/1732,Burr Gymnasium,Active
Sick Transport,14-0674,06-17-14/0854,06-17-14/0854,Student Health Center,Inactive
Damaged Property,14-0675,06-17-14/0949,06-17-14/0949,Founders Lot,Inactive
Fire Alarm Activation,14-0676,06-18-14/0125,06-18-14/0121,Plaza Towers,Inactive
Fire Alarm Activation,14-0677,06-18-14/0919,06-18-14/0919,Cook Hall,Inactive
Damaged Property,14-0678,06-18-14/1514,06-18-14/1510,HUH A-1 Parking Lot,Inactive
Miscellaneous,14-0679,06-18-14/2308,06-18-14/1715,West Campus,Inactive
Unlawful Entry,14-0680,06-19-14/0020,06-19-14/0020,Plaza Towers,Active
Hazardous Water Leak,14-0681,06-20-14/0458,06-20-14/0458,Bethune Annex,Inactive
Miscellaneous,14-0682,06-20-14/0917,06-20-14/0920,Dental School,Inactive
Fire Alarm Activation,14-0683,06-21-14/0303,06-21-14/0250,Meridian Hill,Inactive
Theft from Auto,14-0684,06-22-14/1506,06-22-14/1555,Quadrangle Hall,Active
Theft II,14-0685,06-23-14/0940,06-23-14/0940,Plaza Towers,Active
Simple Assault,14-0686,06-23-14/1044,06-23-14/1045,Academic A,Active
Unlawful Entry,14-0687,06-23-14/1101,06-23-14/1130,C.B. Powell Building,Inactive
Miscellaneous,14-0688,06-23-14/1154,06-23-14/1150,Wonder Plaza,Inactive
Sick Transport,14-0689,06-23-14/1341,06-23-14/1341,Student Health,Inactive
Damaged Property,14-0690,06-23-14/1620,06-23-14/1624,Plaza Towers,Inactive
Lost Property,14-0691,06-23-14/2131,06-23-14/2131,Plaza Towers,Inactive
Lost Property,14-0692,06-23-14/2247,06-23-14/2247,Plaza Towers,Inactive
Fire Alarm Activation,14-0693,06-23-14/2358,06-23-14/0001,Architecture & Planning,Inactive
Fire Alarm Activation,14-0694,06-24-14/0724,06-24-14/0724,Cook Hall,Inactive
Fire Alarm Activation,14-0695,06-25-14/0736,06-25-14/0740,Cook Hall,Inactive
Sick Transport,14-0696,06-25-14/0811,06-25-14/0817,Howard Plaza Towers,Inactive
Student Misconduct,14-0697,06-25-14/1724,06-25-14/1724,Howard Plaza Towers,Active
Lost Property,14-0698,06-25-14/2032,06-25-14/1550,West Campus,Inactive
Hazardous Elevator,14-0699,06-25-14/2200,06-25-14/2200,Howard Plaza Towers,Inactive
Damaged Property,14-0700,06-26-14/1120,06-26-14/1120,Lower Campus,Inactive
Unlawful Entry,14-0701,06-26-14/1121,06-26-14/1121,C.B. Powell Building,Active
Suspicious Odor,14-0702,06-26-14/1133,06-26-14/1133,Plaza Towers,Inactive
Miscellaneous,14-0703,06-26-14/1237,06-26-14/1240,Adams Building,Inactive
Hazardous Water Leak,14-0704,06-26-14/2034,06-26-14/2059,Howard Center,Inactive
Fire Alarm Activation,14-0705,06-27-14/1247,06-27-14/1246,Howard Service Center,Inactive
Student Misconduct,14-0706,06-27-14/2013,06-27-14/2013,Howard Plaza Towers,Active
Miscellaneous,14-0707,06-28-14/1724,06-27-14/1724,Off Campus,Inactive
Miscellaneous,14-0708,06-28-14/1925,06-28-14/1922,Ira Aldridge Theatre,Inactive
Hazardous Elevator,14-0709,06-29-14/1538,06-29-14/1537,Howard Plaza Towers,Inactive
Theft from Auto,14-0710,06-30-14/0836,06-30-14/0836,East Towers Lot,Active
Sick Person,14-0711,06-30-14/1100,06-30-14/1100,Drew Hall,Inactive
Verbal Dispute,14-0712,06-30-14/1306,06-30-14/1230,Quadrangle Hall,Active
Damaged Property,14-0713,06-30-14/1613,06-30-14/1545,HU Hospital,Inactive
Hazardous Water Leak,14-0714,06-30-14/1937,06-30-14/1924,Blackburn Center,Inactive
Vehicle Accident,14-0715,07-01-14/0547,07-01-14/0547,Bethune Annex,Active
Lost Property,14-0716,07-01-14/1230,07-01-14/1319,Service Center,Active
Fire Alarm Activation,14-0717,07-01-14/1357,07-01-14/1355,Cook Hall,Inactive
Unlawful Entry,14-0718,07-02-14/1241,07-02-14/1241,School of Business,Active
Lost Property,14-0719,07-02-14/14555,07-02-14/1455,Engineering Building,Inactive
Theft II,14-0720,07-02-14/2112,07-02-14/2112,Cook Hall,Active
No Report,,07-03-14/,07-03-14/,,
Damaged Property,14-0721,07-04-14/0553,07-04-14/0553,6th Street NW,Inactive
Miscellaneous,14-0722,07-04-14/0922,07-04-14/0922,Burr Gymnasium,Inactive
Fire Alarm Activation,14-0723,07-04-14/0940,07-04-14/0939,Cook Hall,Inactive
Theft from Auto,14-0724,07-04-14/1105,07-04-14/1105,HURB-1,Active
Miscellaneous,14-0725,07-04-14/1310,07-04-14/1248,HURB-1,Inactive
No Report,,07-05-14/,,,
Damaged Property,14-0726,07-06-14/0223,07-06-14/0223,HURB-1,Inactive
Theft II,14-0727,07-08-14/0958,06-26-14/1700,Cramton Auditorium,Active
Vehicle Accident,14-0728,07-08-14/1238,07-08-14/1237,Service Center,Active
Sick Person,14-0729,07-09-14/0219,07-09-14/0219,Plaza Towers,Inactive
Destruction of Property,14-0730,07-09-14/0752,07-09-14/0752,Physic Building,Active
Sick Person,14-0731,07-09-14/1314,07-09-14/1314,Bethune Annex,Inactive
Sick Person,14-0732,07-09-14/1656,07-09-14/1657,Founders Library,Inactive
Student Misconduct,14-0733,07-10-14/0118,07-10-14/0111,Plaza Towers,Active
Fire Alarm Activation,14-0734,07-10-14/0816,07-10-14/0816,Cook Hall,Inactive
Imjured Person,14-0735,07-10-14/1332,07-10-14/1300,Main Gate,Inactive
Unlawful Entry,14-0736,07-10-14/1639,07-10-14/1636,Quadrangle Hall,Active
Fire Alarm Activation,14-0737,07-10-14/2236,07-10-14/2236,Cook Hall,Inactive
Harassment,14-0738,07-11-14/1425,07-11-14/1410,Howard Center,Active
Loud Noise,14-0739,07-12-14/0050,07-12-14/0050,Plaza Towers,Active
Sick Person,14-0740,07-12-14/1849,07-12-14/1849,Power Plant,Inactive
Fire Alarm Activation,14-0741,07-13-14/0721,07-13-14/0718,Cook Hall,Inactive
Unlawful Entry,14-0742,07-13-14/2340,07-13-14/2339,Plaza Towers,Active
Fire Alarm Activation,14-0743,07-14-14/1020,07-14-14/1020,Drew Hall,Inactive
Theft From Auto,14-0744,07-14-14/2230,07-09-14/2030,600 Fairmont St. NW,Active
Found Property,14-0745,07-14-14/1253,07-14-14/1230,Service Center,Inactive
Hazardous Water Leak,14-0746,07-14-14/1750,07-14-14/1800,Social Work,Inactive
Fire Alarm Activation,14-0747,07-14-14/1930,07-14-14/1914,Drew Hall,Inactive
Theft II,14-0748,07-14-14/2119,07-14-14/2119,Stokes Library,Inactive
Hazardous Water Leak,14-0749,07-14-14/2151,07-14-14/2147,Annex I,Inactive
Damaged Property,14-0750,07-15-14/0135,07-15-14/0130,Carnegie Hall,Inactive
Fire Alarm Activation,14-0751,07-15-14/1120,07-15-14/1120,Cook Hall,Inactive
Injured Person,14-0752,07-15-14/1455,07-02-14/0845,Service Center,Active
Hazardous Water Leak,14-0753,07-15-14/1516,07-15-14/1500,Dental School,Inactive
Hazardous Elevator,14-0754,07-15-14/1502,07-15-14/1454,Plaza Towers,Inactive
Destruction Of Property,14-0755,07-15-14/1617,07-15-14/1617,Burr Gymnasium,Active
Unlawful Entry,14-0756,07-16-14/0205,07-16-14/0205,Plaza Towers,Inactive
Fire Alarm Activation,14-0757,07-16-14/0412,07-16-14/0412,Drew Hall,Inactive
Hit and Run,14-0758,07-16-14/1609,07-16-14/1609,Georgia & Euclid,Active
Injured Person,14-0759,07-17-14/0720,07-13-14/1000,C.B. Powell Lot,Inactive
Unlawful Enrty,14-0760,07-17-14/0928,07-17-14/0928,Main Yard,Active
Theft from Auto,14-0761,07-17-14/1934,07-17-14/1915,Howard Center  Lot,Active
Theft II,14-0762,07-17-14/2050,07-17-14/2050,Houston Hall,Active
Hazardous Elevator,14-0763,07-17-14/2325,07-17-14/2325,Plaza Towers,Inactive
Hit & Run,14-0764,07-18-14/0212,07-18-14/0200,Howard Center,Active
Injured Person,14-0765,07-18-14/0231,07-18-14/0212,Bethune Annex,Active
Unlawful Entry,14-0766,07-18-14/0910,07-18-14/0910,Plaza Towers,Active
Stolen Auto,14-0767,07-18-14/1240,07-18-14/1230,Howard Center,Active
Damaged Property,14-0768,07-18-14/1338,07-18-14/0945,Howard Center,Inactive
Fire Alarm Activation,14-0769,07-18-14/1620,07-18-14/1614,Cook Hall,Inactive
Fire,14-0770,07-18-14/1806,07-18-14/1806,Wonder Plaza Lot,Active
Injured Person,14-0771,07-18-14/2018,07-18-14/2015,Quadrangle Hall,Inactive
Unlawful Entry,14-0772,07-19-14/0217,07-19-14/0158,Plaza Towers,Active
Vehicle Accident,14-0773,07-19-14/1502,07-19-14/1500,Main Gate,Active
Theft II,14-0774,07-20-14/1657,07-20-14/1700,Plaza Towers,Active
Found Property,14-0775,07-21-14/0928,07-21-14/0920,Service Center,Inactive
Found Property,14-0776,07-21-14/1840,07-21-14/1522,Wonder Plaza,Inactive
Found Property,14-0777,07-22-14/1241,07-22-14/1235,PFM Storage Building,Inactive
Theft I,14-0778,07-23-14/1137,07-23-14/1137,Howard Service Center,Active
Fire Alarm Activation,14-0779,07-23-14/1831,07-23-14/1826,Cook Hall,Inactive
Theft from Auto,14-0780,07-24-14/1528,07-24-14/1528,Banneker Lot,Active
Armed Robbery,14-0781,07-24-14/1925,07-24-14/1925,100 block of Bryant St. NW,Active
Stalking,14-0782,07-24-14/1647,07-23-14/1647,Plaza Towers,Inactive
Suspicious Odor,14-0783,07-24-14/1958,07-24-14/1850,Plaza Towers,Inactive
Lost Property,14-0784,07-24-14/2247,07-24-14/2247,Wonder Plaza,Inactive
Theft from Auto,14-0785,07-25-14/1427,07-09-14/2230,Off Campus,Inactive
Theft From Auto,14-0786,07-26-14/0054,07-26-14/0054,Howard Center Lot,Active
Fire Alarm Activation,14-0787,07-26-14/0050,07-26-14/0050,Quadrangle Hall,Inactive
Vehicle Accident,14-0788,07-27-14/0241,07-27-14/0241,Plaza Towers,Active
Loud Noise,14-0789,07-27-14/0208,07-27-14/0208,Plaza Towers,Inactive
Theft II,14-0790,07-28-14/1745,07-25-14/1200,Blackburn Center,Active
Suspicious Odor,14-0791,07-29-14/1232,07-29-14/1229,Chemistry Building,Inactive
Damaged Property,14-0792,07-29-14/1310,07-29-14/1310,Banneker South Lot,Inactive
Injured Person,14-0793,07-29-14/2216,07-29-14/2216,Greene Stadium,Inactive
Sick Person,14-0794,07-30-14/1215,07-30-14/1113,Upper Campus,Inactive
Lost Property,14-0795,07-30-14/1745,07-30-14/1729,Service Center,Inactive
Damaged Property,14-0796,07-31-14/0104,07-31-14/0057,Upper Campus,Inactive
Simple Assault,14-0797,07-31-14/0201,07-31-14/0201,341  Elm Street NW,Active
Miscellaneous,14-0798,07-31-14/0954,07-30-14/1350,Howard Center,Inactive
Theft From Auto,14-0799,07-31-14/1227,07-31-14/1224,C. B. Powell Building,Active
Found Property,14-0800,07-31-14/1558,07-31-14/1548,UGL,Inactive
Hazardous Water Leak,14-0801,07-31-14/1955,07-31-14/1745,East Campus,Inactive
Fire Alarm Activativation,14-0802,08-01-14/1209,08-01-14/1156,East Campus,Inactive
Fire Alarm Activativation,14-0803,08-01-14/2121,08-01-14/2121,Plaza Towers,Inactive
Damaged Property,14-0804,08-02-14/1157,08-02-14/1136,Banneker South Lot,Inactive
Fire Alarm Activation,14-0805,08-02-14/1611,08-02-14/1611,Plaza Towers,Inactive
Theft II,14-0806,08-03-14/0308,08-03-14/0300,Shaw Howard Metro Station,Inactive
Fire Alarm Activation,14-0807,08-03-14/0836,08-03-14/0835,Cook Hall,Inactive
Theft From Auto,14-0808,08-03-14/1341,08-03-14/1338,Howard Center Lot,Active
Injured Person,14-0809,08-04-14/1655,08-04-14/1644,C.B. Powell Building,Inactive
Student Misconduct,14-0810,08-04-14/1654,08-04-14/1648,Howard Plaza Towers,Active
Unlawful Entry,14-0811,08-05-14/0135,08-05-14/0129,Howard Plaza Towers,Active
Student Misconduct,14-0812,08-05-14/0624,08-05-14/0135,Howard Plaza Towers,Active
Threats,14-0813,08-05-14/0955,08-05-14/0955,Dental School,Active
Unlawful Entry,14-0814,08-05-14/1234,08-05-14/1230,Howard Plaza Towers,Active
Lost Property,14-0815,08-05-14/1828,07-27-14/0900,West Campus,Inactive
Injured Person,14-0816,08-06-14/0740,08-06-14/0736,1624 V St. NW,Inactive
Unlawful Entry,14-0817,08-06-14/0856,08-06-14/0850,Plaza Towers,Active
Theft II,14-0818,08-06-14/2204,08-06-14/2145,Plaza Towers,Active
Damaged Property,14-0819,08-07-14/0903,08-07-14/0900,2300 Block of 8th St. NW,Inactive
Theft from Auto,14-0820,08-07-14/1340,08-07-14/1339,Service Center,Active
Theft II,14-0821,08-07-14/1600,08-07-14/1558,Plaza Towers,Active
Fire Alarm Activation,14-0822,08-07-14/1822,08-07-14/1821,Cook Hall,Inactive
Theft II,14-0823,08-08-14/1424,08-08-14/1424,Douglass Hall,Active
Theft II,14-0824,08-08-14/2145,08-08-14/2138,Burr Gymnasium,Active
Theft II,14-0825,08-09-14/1044,08-09-14/1044,Lower Campus,Active
Unlawful Entry,14-0826,08-09-14/1055,08-09-14/1055,Plaza Towers,Inactive
Fire Alarm Activation,14-0827,08-10-14/1749,08-10-14/1744,Cook Hall,Inactive
Miscellaneous,14-0828,08-11-14/0911,08-11-14/0911,Douglass Hall,Inactive
Student Miscellaneous,14-0829,08-11-14/1853,08-11-14/1853,Bethune Annex,Active
Theft From Auto,14-0830,08-11-14/1928,08-11-14/1927,Greene Stadium,Active
Lost Property,14-0831,08-12-14/0213,08-12-14/0130,Bethune Annex,Inative
Damaged Property,14-0832,08-12-14/0537,08-12-14/0537,Upper Campus,Inative
Fire Alarm Activation,14-0833,08-12-14/1125,08-12-14/1121,Cook Hall,Inative
Fire Alarm Activation,14-0834,08-12-14/1319,08-12-14/1319,HURB 1,Inative
Fire Alarm Activation,14-0835,08-12-14/1740,08-12-14/1729,Carver Hall,Inative
Miscellaneous,14-0836,08-12-14/1848,08-12-14/1845,Howard Center,Inative
Miscellaneous,14-0837,08-12-14/2059,08-12-14/2054,Plaza Towers,Inative
Fire Alarm Activation,14-0838,08-13-14/0249,08-13-14/0249,Blackburn Center,Inactive
Sick Person,14-0839,08-13-14/0825,08-13-14/0828,Blackburn Center,Inactive
Injured Person,14-0840,08-13-14/0848,08-13-14/0848,Administration Building,Active
Theft from Auto,14-0841,08-13-14/1603,08-13-14/1603,Banneker South Parking Lot,Active
Fire Alarm Activation,14-0842,08-13-14/2127,08-13-14/2127,College South Hall,Inactive
Loud Noise,14-0843,08-14-14/0029,08-14-14/0029,Sherman Ave. NW,Inactive
Fire Alarm Activation,14-0844,08-14-14/0657,08-14-14/0658,Cook Hall,Inactive
Damaged Property,14-0845,08-14-14/1222,08-14-14/1222,2400 Block of 4th St. NW,Inactive
Fire Alarm Activation,14-0846,08-14-14/1718,08-14-14/1721,College South Hall,Inactive
Fire Alarm Activation,14-0847,08-14-14/1840,08-14-14/1849,Cook Hall,Inactive
Fire Alarm Activation,14-0848,08-14-14/2112,08-14-14/2125,Cook Hall,Inactive
Fire Alarm Activation,14-0849,08-15-14/0636,08-15-14/0635,College South Hall,Inactive
Injured Person,14-0850,08-15-14/0929,08-15-14/0929,Social Work,Inactive
Lost Property,14-0851,08-15-14/1308,08-15-14/1306,Chemistry Building,Inactive
Theft I,14-0852,08-15-14/1702,06-01-14/0800,Howard Plaza Towers,Active
Injured Person,14-0853,08-15-14/2044,08-15-14/2044,College North Hall,Inactive
Simple Assault,14-0854,08-15-14/2048,08-15-14/2048,Drew Hall,Active
Found Property,14-0855,08-15-14/2112,08-15-14/2100,Howard Plaza Towers,Inactive
Student Misconduct,14-0856,08-15-14/2248,08-15-14/2248,Howard Plaza Towers,Active
Injured Person,14-0857,08-16-14/0430,08-16-14/0506,Service Center,Inactive
Fire Alarm Activation,14-0858,08-16-14/1200,08-16-14/1200,College South Hall,Inactive
Injured Person,14-0859,08-16-14/1430,08-16-14/1426,Georgia Aveune and Fairmont,Inactive
Hazardous Elevator,14-0860,08-16-14/1533,08-16-14/1533,Plaza Towers,Inactive
Unlawful Entry,14-0861,08-16-14/1648,08-16-14/1648,Plaza Towers,Active
Injured Person,14-0862,08-16-14/1733,08-16-14/1700,Ira Aldridge Theatre,Inactive
Fire Alarm Activation 14-0863,,08-16-14/2145,08-16-14/2145,Cook Hall,Inactive
Sick Person 14-0864,,08-16-14/2238,08-16-14/2235,Cook Hall,Inactive
Suspicious Odor 14-0865,,08-16-14/2238,08-16-14/2238,Plaza Towers,Inactive
Suspicious Odor 14-0866,,08-17-14/0052,08-17-14/0052,Betiune Hall,Inactive
Theft II 14-0867,,08-17-14/0842,08-17-14/0842,Mudd Building,Active
Fire Alarm Activation 14-0868,,08-17-14/1651,08-17-14/1650,Slowe Hall,Inactive
Lost Property 14-0869,,08-18-14/1810,08-18-14/1808,Plaza Towers,Inactive
Miscellaneous 14-0870,,08-18-14/2150,08-18-14/2147,Plaza Towers,Inactive
Fire 14-0871,,08-19-14/0151,08-19-14/0151,Academic A,Active
Sick Transport 14-0872,,08-19-14/0935,08-19-14/0855,Bethune Annex,inactive
Theft from Auto 14-0873,,08-19-14/1406,08-19-14/1400,Carver Hall,Active
Fire Alarm Activation 14-0874,,08-19-14/2007,08-19-14/2007,Cook Hall,inactive
Fire Alarm Activation 14-0875,,08-19-14/2107,08-19-14/2106,College North Hall,inactive
Fire 14-0876,,08-19-14/2358,08-19-14/2358,Howard Manor,Active
Theft from Auto 14-0873,,08-20-14/1406,08-20-14/1400,Carver Hall,Active
Fire Alarm Activation 14-0874,,08-20-14/2007,08-20-14/2007,Cook Hall,Inactive
Fire Alarm Activation 14-0875,,08-20-14/2107,08-20-14/2106,College North Hall,Inactive
Fire Alarm Activation 14-0876,,08-20-14/2358,08-20-14/2358,Howard Manor,Active
Fire Alarm Activation 14-0883,,08-21-14/1110,08-21-14/1106,Social Work,Inactive
Fire Alarm Activation 14-0884,,08-21-14/1754,08-21-14/1754,Cook Hall,Inactive
Student Misconduct 14-0885,,08-21-14/1933,08-21-14/1917,Plaza Towers,Active
Theft from Auto 14-0886,,08-21-14/2001,08-21-14/1953,Plaza Towers,Active
Theft from Auto 14-0887,,08-21-14/2231,08-21-14/2228,Banneker South Lot,Active
Miscellaneous 14-0888,,08-21-14/2353,08-21-14/2351,644 Columbia Rd. NW,Inactive
Miscellaneous 14-0889,,08-22-14/0040,08-22-14/0040,College South Hall,Inactive
Sick Person 14-0890,,08-22-14/0045,08-22-14/0045,College South Hall,Inactive
Sick Person 14-0891,,08-22-14/0900,08-22-14/0900,Ira Aldridge Theatre,Inactive
Lost Property 14-0892,,08-22-14/0940,08-22-14/0200,College South Hall,Inactive
Sick Transport 14-0893,,08-22-14/1637,08-22-14/1637,Student Health Center,Inactive
Sick Transport 14-0894,,08-22-14/1734,08-22-14/1738,Service Center,Inactive
Robbery Force and Violence 14-0895,,08-22-14/0004,08-22-14/0004,"Service Center 2244 10th St., NW",Active
Suspicious Odor 14-0896,,08-22-14/2359,08-23-14/0115,Slowe Hall,Active
Indecent Exposure 14-0897,,08-23-14/0118,08-23-14/0115,Plaza Towers,Active
Miscellaneous 14-0898,,08-23-14/1328,08-23-14/1100,Plaza Towers,Inactive
Student Misconduct,14-0899,08-23-14/1622,08-23-14/1622,Miner Building,Active
Lost Property,14-0900,08-23-14/1933,08-23-14/1705,College South Hall,Inactive
Fire Alarm Activation,14-0901,08-23-14/2042,08-23-14/2-042,College South Hall,Inactive
Miscellaneous,14-0902,08-23-14/2114,08-23-14/2030,Plaza Towers,Inactive
Sick Person,14-0903,08-23-14/2259,08-23-14/2253,Plaza Towers,Inactive
Simple Assault,14-0904,08-23-14/2314,08-23-14/2302,2nd and W St. NW,Active
Hit and Run,14-0905,08-24-14/0154,08-24-14/0154,East Towers Parking Lot,Active
Fire Alarm Activation,14-0906,08-24-14/0320,08-24-14/0317,College North Hall,Inactive
Fire Alarm Activation,14-0907,08-24-14/1237,08-24-14/1236,College South Hall,Inactive
Burglary II,14-0908,08-24-14/1348,08-24-14/1200,Plaza Towers,Active
Sick Person,14-0909,08-24-14/1950,08-24-14/1947,Quadrangle Hall,Inactive
Fire Alarm Activation,14-0910,08-24-14/1947,08-24-14/1947,Plaza Towers,Inactive
Sick Person,14-0911,08-24-14/2320,08-24-14/2320,Plaza Towers,Inactive
Hazardous Elevator,14-0912,08-25-14/0212,08-25-14/0212,Plaza Towers,Inactive
Fire Alarm Activation,14-0913,08-25-14/1413,08-25-14/1413,Quadrangle Hall,Inactive
Fire Alarm Activation,14-0914,08-26-14/0130,08-26-14/0019,Cook Hall,Inactive
Fire Alarm Activation,14-0915,08-26-14/0727,08-26-14/0725,College North Hall,Inactive
Lost Property,14-0916,08-26-14/2153,08-26-14/2148,Miner Building,Inactive
Fire Alarm Activation,14-0917,08-27-14/0025,08-27-14/0025,Cook Hall,Inactive
Theft II,14-0918,08-27-14/1154,08-27-14/1124,Bookstore,Active
Theft II,14-0919,08-27-14/1325,08-27-14/1324,Plaza Towers,Active
Sick Transport,14-0920,08-27-14/1710,08-27-14/1710,Student Health,Inactive
Hazardous Water Leak,14-0921,08-27-14/1740,08-27-14/1740,Dental School,Inactive
Theft II,14-0922,08-27-14/1737,08-27-14/1726,Engineering Buidling,Active
Theft From Auto,14-0923,08-27-14/2043,08-27-14/2040,Burr Gymnasium,Active
Fire Alarm Activation,14-0924,08-28-14/1707,08-28-14/1707,Cook Hall,Inactive
Hazardous Elevation,14-0925,08-28-14/1905,08-28-14/1904,Dental School,Inactive
Sick Person,14-0926,08-28-14/2315,08-28-14/2315,College South Hall,Inactive
Destruction Of Property,14-0927,08-29-14/1143,08-29-14/2054,Plaza Towers,Active
Vehicle Accident,14-0928,08-29-14/1151,08-29-14/1151,Dental School,Active
Fire Alarm Activation,14-0929,08-29-14/1304,08-29-14/1304,Drew Hall,Inactive
Lost Property,14-0930,08-29-14/1746,08-29-14/1730,6th Girard St. NW,Inactive
Miscellaneous,14-0931,08-29-14/1903,08-29-14/1901,Founders Library,Inactive
Student Misconduct,14-0932,08-29-14/1919,08-29-14/1915,Plaza Towers,Active
Damaged Property,14-0933,08-30-14/0153,08-30-14/0153,Towers Parking Lot,Inactive
Sick Transport,14-0934,08-30-14/0244,08-30-14/0244,Cook Hall,Inactive
Founder Property,14-0935,08-30-14/0415,08-30-14/0412,Service Center,Inactive
Damaged Property,14-0936,08-30-14/0808,08-30-14/0625,Miner Lot,Inactive
Founder Property,14-0937,08-30-14/1208,08-30-14/1145,Banneker North Lot,Inactive
Student Misconduct,14-0938,08-30-14/2109,08-30-14/2109,UGL,Active
Sick Person,14-0939,08-31-14/1201,08-31-14/1200,Bethune Annex,Inactive
Student Misconduct,14-0940,08-31-14/1222,08-31-14/1208,Quadrangle Hall,Active
Sick Person,14-0941,08-31-14/1316,08-31-14/1310,College South Hall,Inactive
Theft I,14-0942,08-31-14/2211,08-31-14/2025,West Campus,Active
Hazardous Water Leak,14-0943,08-31-14/2132,08-31-14/2125,Annex II,Inactive
Fire Alarm Activation,14-0944,08-31-14/2317,08-31-14/2317,Plaza Towers,Inactive
Hazardous Water Leak,14-0945,09-01-14/1605,09-01-14/1605,Engineering Building,Inactive
Sick Person,14-0946,09-01-14/1904,09-01-14/1900,College South Hall,Inactive
Sick Person,14-0947,09-01-14/2000,09-01-14/2000,Cook Hall,Inactive
Sick Person,14-0948,09-01-14/2015,09-01-14/2015,College South Hall,Inactive
Robbery Fear,14-0949,09-01-14/2221,09-01-14/2215,"Ga. Ave., & Sherman NW",Active
Sick Transport,14-0950,09-02-14/0221,09-02-14/0205,Wonder Plaza,Inactive
Vehicle Accident,14-0951,09-02-14/0802,09-02-14/0745,Service Center,Active
Sick Person,14-0952,09-02-14/0917,09-02-14/0913,Locke Hall,Inactive
Damaged Property,14-0953,09-02-14/1437,09-02-14/1437,Howard Manor,Inactive
Attempt Robbery,14-0954,09-03-14/0026,09-03-14/0008,500 block of Bryant St. NW,Active
Disorderly,14-0955,09-03-14/0940,09-03-14/0940,Howard Center,Active
Injured Person,14-0956,09-03-14/1117,09-03-14/0940,Howard Center,Active
Lost Property,14-0957,09-03-14/1320,09-03-14/1315,Burr Gymnasium,Inactive
Unlawful Entry,14-0958,09-03-14/1345,09-03-14/1345,"2112 Ga., Ave., NW",Active
Sick Transport,14-0959,09-03-14/1604,09-03-14/1604,Quadrangle Hall,Inactive
Theft from Auto,14-0960,09-03-14/1815,09-03-14/1815,HU Hospital,Active
Unlawful Entry,14-0961,09-03-14/1638,09-03-14/1631,Wonder Plaza,Active
Student Misconduct,14-0962,09-03-14/1713,09-03-14/1321,Plaza Towers,Active
Found Property,14-0963,09-03-14/2014,09-03-14/2014,"1915 Florida Ave., NW",Inactive
NO Report,14-0964,09-03-14/,09-03-14/,,
Sick Person,14-0965,09-03-14/2133,09-03-14/2126,College South Hall,Inactive
Miscellaneous,14-0966,09-04-14/0023,09-04-14/0022,C.B. Powell Building,Inactive
Missing Person,14-0967,09-04-14/0056,09-04-14/0056,Howard Plaza Towers,Active
Injured Person,14-0968,09-04-14/0326,09-04-14/0326,Quadrangle Hall,Active
Vehicle Accident,14-0969,09-04-14/1440,09-04-14/1439,Howard Plaza Towers,Active
Burglary II,14-0970,09-04-14/1512,09-04-14/1400,"2300 6th St., NW",Active
Sick Transport,14-0971,09-04-14/1534,9/4/2014/0000,Carver,Inactive
No Report,14-0972,9/4/2014,,,
Hazardous Elevator,14-0973,09-04-14/1638,09-04-14/1601,Howard Plaza Towers,Inactive
Threats,14-0974,09-04-14/1845,09-04-14/1835,College of Denistry,Active
Theft I,14-0975,09-04-14/2354,09-04-14/2253,Howard Plaza Towers,Active
Sick Transport,14-0976,09-05-14/0419,09-05-14/0419,College North Hall,Inactive
Miscellaneous,14-0977,09-05-14/1134,09-05-14/1121,Student Health Clinic,Inactive
Miscellaneous,14-0978,09-05-14/1131,09-05-14/1131,School Of Buainess,Inactive
Fire Alarm Activation,14-0979,09-05-14/1329,09-05-14/1329,Blackburn Center,Inactive
Damaged Property,14-0980,09-05-14/0800,09-05-14/1703,Howard Center,Inactive
Fire Alarm Activation,14-0981,09-05-14/2146,09-05-14/2146,Bethune Annex,Inactive
Sick Person,14-0982,09-06-14/0027,09-06-14/0027,Chemistry Building,Inactive
Theft from Auto,14-0983,09-06-14/0324,09-06-14/0324,HU Hospital,Active
Unlawful Entry,14-0984,09-06-14/0656,09-06-14/0656,Plaza Towers,Active
Lost Property,14-0985,09-06-14/1330,09-06-14/1320,Plaza Towers,Inactive
Lost Property,14-0986,09-06-14/1601,09-06-14/1528,Bethune Annex,Inactive
Theft  II,14-0987,09-06-14/1538,09-04-14/2300,Plaza Towers,Active
Miscellaneous,14-0988,09-06-14/1545,09-06-14/1526,Bethune Annex,Inactive
Domestic Violence,14-0989,09-06-14/1549,09-06-14/1549,Bethune Annex,Inactive
Recovered Property,14-0990,09-07-14/1705,09-07-14/1631,Plaza Towers,Inactive
Armed Robbery,14-0991,09-07-14/2037,09-07-14/1938,Stokes Library,Active
Student Misconduct,14-0992,09-07-14/2220,09-07-14/2046,Slowe Hall,Inactive
Student Misconduct,14-0993,09-07-14/2212,09-07-14/2204,Bethune Annex,Active
