report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition
"february 25, 2020",theft,a student reported the theft of alaptop,20-000350,"february 25, 2020",1350,leavey center,case pending investigation
"february 25, 2020",theft,a student reported the theft of abackpack,20-000355,"february 16, 2020",0900,"37th & ""o"" streetnorthwest (maingate)",unfounded see foundproperty report 20-000275
2-5-2021,drug violation,officers investigating an alarmfound drug paraphenalia in aroom of a faculty member,21-000115,2/5/2021,0845,lxr,refered to conduct/hr
2-6-2021,theft (bike),a bike was stolen from the bikerack outside arrupe hall,21-000119,2/4-6/2021,1150,arrupe bike rack,"suspended/subjectunknown, unable toidentify"
2-10-2021,burglary,two students reported a burglaryat thier residence,21-000132,1/30-2/9/2021,0900,village a,"suspended/subjectunknown, no useful cctvfootage"
2-14-2021,extortion/threats,student was a victim of an onlinecomputer scam in which her lifewas threatened and she wasextorted of money,21-000155,1/23-2/13/2021,0800,village a,pending referral to mpd
"january 2, 2017",burglary, unknown person(s)entered into the building and stoleathletic apparel.,17-000002,"january 1, 2017",1900,john thompson jrathletic center,case closed with arrest
"january 3, 2017",theft, a staff member reporteditems stolen from her personalvehicle.,17-000004,"january 3, 2017",0845,southwest quadgarage,case pending investigation
"january 4, 2017",burglary, unknown person(s)entered into the building and stolesporting equipment.,17-000006,"january 3, 2017",2100,john thompson jrathletic center,case closed with arrest
"january 4, 2017",unlawful entry," a non affiliate whohad been barred, was foundsleeping in the building.",17-000008,"january 4, 2017",2224,leavey center,case closed with arrest
"january 5, 2017",unlawful entry, three  suspiciousmales were stopped after they wereobserved attempting to gain accessinto the building. they wereidentfieid as suspects involved inthe recent crimes that haveoccurred at this location.,17-000011,"january 5, 2017",2108,john thompson jrathletic center,case closed with arrest
"january 10, 2017",theft, a university affiliate reportedthe theft of electronic equipmentfrom the building.,17-000022,"december 21, 2016",1500,icc,case pending investigation
"january 12, 2017",theft, a staff member reported thetheft of an appliance from acommon area,17-000034,"january 11, 2017",1630,harbin hall,case pending investigation
"january 12, 2017",theft, a student reported the theftof a bicyle.,17-000035,"january 9, 2017",0800,hariri building,case pending investigation
"january 12, 2017",theft, a student reported the theftof bicyle.,17-000037,"january 12, 2017",1545,walsh building,case pending investigation
"january 16, 2017",drug violation, a student wasfound in possession of a smallamount of marijuana.,17-000067,"january 16, 2017",0117,village a,referred to student conduct
"january 16, 2017",theft, food items were  removedfrom a broken vending machine.,17-000070,"january 16, 2017",0435,darnall hall,"case closed, referred tostudent conduct"
"january 17,2017",theft, a student reported the theftof a bicycle.,17-000073,"january 17,2017",0100,exterior of thewalsh building,case pending investigation
"january 17,2017",drug violation, students werefound in possession of marijuana.,17-000079,"january 17, 2017",2220,alumni square,referred to student conduct
"january 18, 2017",drug violation, students werefound in possession of marijuana.,17-000085,"january 18, 2017",2336,henle village,referred to student conduct
"january 19, 2017",theft,  cash was reported missingfrom a wallet that was leftunattended.,17-000089,"january 19, 2017",1606,healey hall,case pending investigation
"january 23, 2017",alcohol/drug violation, studentswere found in possession ofalcohol and marijuana,17-000114,"january 23, 2017",1548,copley hall,referred to student conduct
"january 24, 2017",voyeurism,"  a student reported thatwhile was utilizing a restroomwithin the building, she noticed amale subject peaking over the topof the stall.",17-000123,"january 23, 2017",1530,icc,case closed with arrest
"january 25, 2017",drug violation, a student wasfound in possession of marijuana.,17-000127,"january 25, 2017",1315,arrupe hall,referred to student conduct
"january 25, 2017",theft, a phone that was left in acommon area was stolen,17-000128,"january 20, 2017",1300,darnall hall,case pending investigation
"january 29, 2017",theft, a student reported the theftof a front wheel from a bicycle.,17-000153,"january 29, 2017",100,village a,case pending investigation
"january 2, 2018",burglary, a gu staff memberreported that an unknown subjectentered their secured office andstole property,18-000001,"january 2, 2018",1030,icc,case pending investigationhandle by mpd ccn 18-000761
"january 3, 2018",theft, a  student reported the theftof a bicycle,18-000007,"january 3, 2018",1630,yates field house,case pending investigation
"january 11, 2018",theft, a  staff member reported thetheft of a television,18-000027,"january 10, 2018",1530,hawkins hall,case pending investigationhandle by mpd ccn 18-005733
"january 12, 2018",drug violation, a student wasfound in possession of marijuana,18-000028,"january 12, 2018",0100,copley hall,case referred to studentconduct
"january 13, 2018",drug violation, a student wasfound in possession of marijuana,18-000036,"january 13, 2018",0035,henle village,case referred to studentconduct
"january 16, 2018",theft, a  student reported the theftof a bicycle,18-000060,"january 16, 2018",1915,pre-clinicalscience,case pending investigation
"january 19, 2018",theft, a  student reported the theftof a backpack containing a laptop,18-000072,"october 16, 2018",1200,leavey center,case pending investigation
"january 19, 2018",sexual assault, a student repotedthat they were sexually assaulted,tix-214,"november 1, 2017",NA,on campushousing,case pending investigation
"january 22, 2018",theft, a  staff member reported thetheft of a hand cart,18-000086,"december 21, 2017",1200,lauinger library,case pending investigation
"january 22, 2018",burglary, a studentr reported thatan unknown subject entered theirunsecured residence and stoleproperty,18-000090,"january 2, 2018",1030,village a,case pending investigation
"january 22, 2018",sexual assault, a student repotedthat they were sexually assaulted,tix-213,"december 30, 2017",NA,arrupe hall,case pending investigation
"january 23, 2018",theft, a  student reported the theftof a bicycle,18-000093,"january 23, 2018",1700,hariri building,case pending investigation
"january 24, 2017",credit card fraud, a studentreported unauthorized transactionson their credit card,18-000097,"january 24, 2018",2130,leavey center,case pending investigation
"january 25, 2018",stalking," a  student reported thatthey received multiple unwantedharassing phone calls, text, and anuninvited visit from an associate",18-000103,"january 19, 2018",0900,mccarthy hall,case pending investigation
"january 26, 2018",theft, a  student reported the theftof a bicycle,18-000107,"january 22, 2018",1100,lxr,case pending investigation
"january 26, 2018",theft, a  staff member reported thetheft of a parking pass,18-000112,"january 26, 2018",1600,leavey center,case pending investigation
"january 27, 2018",theft, a  student reported the theftof a pair of sunglasses,18-000120,"january 27, 2018",1600,mccarthy hall,case pending investigation
"january 27, 2018",sexual assault, a student repotedthat they were sexually assaulted(fondling),tix-218,"january 26, 2018",NA,nevils - riggs,case pending investigation
"january 28, 2018",theft, a non affiliate reported thetheft of a laptop,18-000126,"january 27, 2018",1300,healy familystudent center,case pending investigation
"january 28, 2018",drug violation, a student wasfound in possession of marijuana,18-000131,"january 28, 2018",2052,lxr,case referred to studentconduct
"january 29, 2018",theft, a  student reported the theftof a bicycle,18-000135,"january 29, 2018",1700,lxr,case pending investigation
"january 31, 2018",theft, a  student reported the theftof a gift card,18-000146,"january 31, 2018",1706,new south hall,case pending investigation
"january 31, 2018",theft, a  student reported the theftof a birthday card,18-000148,"january 31, 2018",1844,new south hall,case pending investigation
"january 2, 2019",unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been barred,19-000001,"january 2, 2019",1315,car barn,case closed with arrestccn: 19-000952
"january 3, 2019",unlawful entry,  a staff memberreported finding a unknownunauthorized subject inside theiroffice,19-000002,"january 3, 2019",0710,harris building,case pending investigationhandled by mpd ccn 19-001447 / arrest warrant
"january 3, 2019",unlawful entry,  a staff memberreported finding a unknownunauthorized subject inside theiroffice,19-000004,"january 2, 2019",0830,harris building,case pending investigation/ arrest warrant
"january 4, 2019",drug violation, a student wasfound in possession of marijuana,19-000006,"january 4, 2019",1431,henle village,case referred to studentconduct
"january 7, 2019",burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their unsecured officesand stole a cellular phone andwallet containing cash and creditcards,19-000011,"january 7, 2019",1352,maguire hall,case closed with arrestccn; 19-004058
"january 7, 2019",burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their unsecured officesand stole a electronic device,19-000012,"january 7, 2019",1345,icc,case pending investigationhandled by mpd ccn; 19-004065
"january 12, 2019",drug violation, a student wasfound in possession of marijuana,19-000034,"january 12, 2019",1945,lxr,case referred to studentconduct
"january 13, 2019",drug violation, a student wasfound in possession of marijuana,19-000039,"january 13, 2019",0845,new south hall,case referred to studentconduct
"january 13, 2019",theft, a  student reported the theftof a bicycle,19-000040,"january 13, 2019",1300,lxr,case pending investigation
"january 13, 2019",drug violation, a student wasfound in possession of marijuana,19-000043,"january 13, 2019",2255,new south hall,case referred to studentconduct
"january 14, 2019",theft, a  student reported the theftof a backpack,19-000046,"january 14, 2019",1500,icc,case pending investigation
"january 15, 2019",drug violation, a student wasfound in possession of marijuana,19-000047,"january 14, 2019",2159,lxr,case referred to studentconduct
"january 15, 2019",theft, a  student reported the theftof a laptop,19-000050,"january 15, 2019",1900,icc,case pending investigation
"january 16, 2019",domestic assault,  a studentreported that they were chocked,19-000054,"january 16, 2019",0110,reynolds hall,case closed with arrestccn: 19-008738
"january 16, 2019",theft, a  contractor reported thetheft of a cellular phone,19-000056,"january 16, 2019",1215,saint mary's,case pending investigation
"january 16, 2019",burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their secured office andstole a back pack containingpersonal items,19-000063,"january 16, 2019",2150,car barn,case pending investigationhandled by mpd ccn; 19-009247
"january 16, 2019",drug violation, a student wasfound in possession of marijuana,19-000065,"january 16, 2019",2354,lxr,case referred to studentconduct
"january 17, 2019",burglary, a student reported thatan unknown suspect(s) gainedaccess to their secured lab andstole a wallet,19-000067,"january 17, 2019",1315,regents hall,case pending investigationhandled by mpd ccn; 19-009574
"january 19, 2019",alcohol violation, a underagestudent was found in possession ofalcoholic beverages,19-000076,"january 19, 2019",0001,alumni square,case referred to studentconduct
"january 20, 2019",drug violation, a student wasfound in possession of cocaine,19-000086,"january 20, 2019",0225,issac hawkins hall,case referred to studentconduct
"january 20, 2019",theft, a  student reported the theftof a wallet,19-000087,"january 20, 2019",1015,lauinger library,case pending investigation
"january 20, 2019",theft, a  non affiliate reported thetheft of a wallet,19-000088,"january 20, 2019",1200,yates field house,case pending investigation
"january 23, 2019",burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their unsecured officesand stole a purse containingpersonal property,19-000108,"january 23, 2019",1525,icc,case closed with arrestccn; 19-013087
"january 24, 2019",theft, a  student reported the theftof a laptop,19-000117,"january 24, 2019",1100,o'donovan hall,case pending investigation
"january 25, 2019",burglary, a student reported thatan unknown suspect(s) gainedaccess to their unsecuredresidence and stole jewlery,19-000122,"january 25, 2019",1730,1400 block 37thstreet northwest,case pending investigationhandled by mpd ccn; 19-014522
"january 26, 2019",theft, a  student reported the theftof a wallet,19-000125,"january 25, 2019",2000,icc,case pending investigationhandled by mpd ccn; 19-014982
"january 26, 2019",theft, a  student reported the theftof a wallet,19-000126,"january 26, 2019",1100,healy familystudent center,case pending investigation
"january 27, 2019",burglary, a student reported thatan unknown suspect(s) gainedaccess to a unsecured office andstole a electronic device,19-000129,"january 26, 2019",1200,mcdonoughgymnasium,case pending investigation
"january 28, 2019",drug violation, a student wasfound in possession of cocaine,19-000136,"january 28, 2019",2358,darnall hall,case referred to studentconduct
"january 29, 2019",theft, a  staff member reported thetheft of a parking permit,19-000137,"january 26, 2019",1530,southwest quadgarage,case pending investigation
"january 30, 2019",burglary, a known theft suspectentered a office with the intent tosteal personal property,19-000143,"january 30, 2019",1410,icc,case closed with arrestccn; 19-017329
"january 31, 2019",theft, a  student reported the theftof a wallet,19-000147,"january 29, 2019",1200,walsh building,case pending investigation
"january 2, 2020",drug violation,a student was found in possessionof marijuana,20-000005,"january 2, 2020",1150,lxr,case referred to studentconduct
"january 8, 2020",theft,a gu affiliate reported the theft offood items,20-000020,"january 8, 2020",1200,o'donovan hall,"complainant declined toprosecute, subject wasbarred from campus"
"january 9, 2020",burglary,a faculty member reported that aunknown suspect gained access totheir unsecured office and stole abackpack containing a lap topcomputer,20-000022,"january 9, 2020",1230,reiss science,case pending investigationhandled by mpd ccn: 20-055068
"january 10, 2020",burglary,a staff member reported that aunknown suspect gained access totheir secured office and stole anantique,20-000029,"january 10, 2020",1300,icc,case pending investigationhandled by mpd ccn: 20-005704
"january 11, 2020",theft,a student reported the theft of theirdebit card and gocard,20-000037,"january 10, 2020",NA,new south hall,case pending investigation
"january 12, 2020",theft,a student reported the theft of theirwatch,20-000044,"january 10, 2020",1615,yates field house,case pending investigation
"january 12, 2020",theft,a student reported the theft of theirnylon bag containing personalitems,20-000048,"january 12, 2020",2115,o'donovan hall,unfounded complainantfound property
"january 14, 2020",sexual assault,a student reported that they weresexually assaulted,tix-610,"january 12, 2020",NA,new south hall,case pending investigation
"january 14, 2020",stalking,a student reported that they werebeing stalked,tix-610,"january 12, 2020",NA,NA,case pending investigation
"january 14, 2020",sexual assault(fondling),a student reported that they weretouched inappropriately,tix-611,"september 7, 2019",NA,1400 block 37thstreet northwest,case pending investigation
"january 15, 2020",sexual assault,a student reported that they weresexually assaulted,20-000059,"october 1, 2019",NA,on campushousing,case pending investigation
"january 15, 2020",theft,a student reported the theft of alaptop,20-000061,"january 15, 2020",1720,lauinger library,case pending investigationhandled by mpd ccn: 20-009124
"january 16, 2020",breaking & entervending machine,a staff member reported that anunknown suspect broke into avending machine and stole fooditems,20-000067,"january 16, 2020",0900,hariri building,case pending investigation
"january 16, 2020",robbery snatch,a student reported that an unknownsuspect walked by and snatchedtheir book bag containing a lap topand personal items,20-000069,"december 17, 2019",1530,1200 block 36thstreet northwest(on campus publicproperty),case pending investigation
"january 17, 2020",destruction of property,a gupd officer reported that aunknown subject vandalized thespotlights,20-000070,"january 17, 2020",0018,healy circle,case pending investigation
"january 17, 2020",burglary,a staff member reported that aunknown suspect gained access totheir unsecured office and stole apair of apple air pods,20-000075,"january 14, 2020",1030,icc,case pending investigation
"january 18, 2020",drug violation / alcoholviolation,a student was found in possessionof marijuana and alcoholicbeverages,20-000080,"january 18, 2020",1425,lxr,case referred to studentconduct
"january 19, 2020",drug violation,a student was found in possessionof marijuana,20-000089,"january 19, 2020",2115,leavey center,case referred to studentconduct
"january 20, 2020",theft,a student reported the theft of awallet,20-000091,"january 19, 2020",0100,1400 block 37thstreet northwest,case pending investigation
"january 20, 2020",theft,a student reported the theft of abicycle,20-000092,"january 20, 2020",1230,henle village,case pending investigation
"january 20, 2020",theft from auto,a student reported that an unknownsuspect broke into a vehicle andstole a purse,20-000094,"january 20, 2020",1930,1300 block 36thstreet northwest(on campus publicproperty),case pending investigationhandled by mpd ccn: 20-012057
"january 21, 2020",sexual assault(fondling),a student reported that they weretouched inappropriately,tix-616,"august 24, 2019",NA,arrupe hall,case pending investigation
"january 21, 2020",sexual assault(fondling),a student reported that they weretouched inappropriately,tix-616,"september 1, 2019",NA,kennedy hall,case pending investigation
"january 22, 2020",stalking,a student reported that they werebeing stalked,tix-617,"january 22, 2020",NA,on campus,case pending investigation
"january 22, 2020",theft,a student reported the theft of awallet,20-000105,"january 21, 2020",1710,lauinger library,case pending investigation
"january 24, 2020",dv simple assault,a gu affiliate reported that theywere physically assaulted,20-000119,"january 24, 2020",1030,o'donovan hall,case pending investigationhandled by mpd ccn: 20-014302
"january 24, 2020",theft,a student reported the theft of ajewelry,20-000124,"january 24, 2020",1615,yates field house,case pending investigationhandled by mpd ccn: 20-014578
"january 25, 2020",theft,a student reported the theft of abicycle,20-000128,"january 25, 2020",1717,alumni square,case pending investigation
"january 26, 2020",theft,a student reported the theft of abicycle,20-000131,"january 26, 2020",0930,o'donovan hall,case pending investigation
"january 27, 2020",theft,a staff member reported the theft ofa laptop,20-000137,"january 3, 2020",1500,icc,case pending investigation
"january 27, 2020",theft,a student reported the theft of alaptop,20-000140,"january 23, 2020",1403,icc,case pending investigation
"january 27, 2020",unlawful entry,a gupd officer reported that theylocated a unauthorized protester oncampus after they had beenpreviously escorted off campus,20-000141,"january 27, 2020",1524,red square,case closed with arrestccn: 20-016370
"january 27, 2020",unlawful entry,a gupd officer reported that theylocated a unauthorized protester oncampus after they had beenpreviously escorted off campus,20-000142,"january 27, 2020",1524,o'donovan hall,subjects barred fromcampus
"january 27, 2020",simple assault,a student reported that they werephysically assaulted,20-000146,"january 27, 2020",1950,o'donovan hall,case referred to studentconduct
"january 29, 2020",fraud,a student reported that they werethe victim of a email and text scam,20-000155,"january 29, 2020",1430,healy hall,case pending investigation
"january 29, 2020",stalking,a student reported that they werebeing stalked,20-000157,"january 29, 2020",NA,medical & dentalbuilding,case pending investigation
"january 30, 2020",sexual assault(fondling),a student reported that they weretouched inappropriately,tix-625,"january 29, 2020",NA,on campushousing,case pending investigation
"january 31, 2020",theft,a  non gu affiliate  reported thetheft of a bicycle,20-000174,"january 31, 2020",2100,copley hall,case pending investigation
1-14-2021,theft,a skateboard was stolen from andunsecured vehicle,21-000033,1/14/2021,1400,loadingdock/healyfamily studentcenter,"suspended/subjectunknown, unable toidentify"
1-22-2021,theft,a bike was stolen from a bikerack after being left secure forseveral months,21-000053,7/2020-1/22/2021,1200,bikerack/mcsain,"suspended/subjectunknown, unable toidentify"
1-31-2021,burglary,a student reported a burglary,21-000090,01/31/2021,1000,village a,under further investigation
"july 1, 2017",theft, a student reported the theftof a bicycle,17-000948,"july 1, 2017",2128,village a,case pending investigation
"july 3, 2017",burglary, an unknown person(s)entered into an office and stoleelectronic items.,17-000952,"july 3, 2017",1131,icc,case pending investigation
"july 4, 2017",alcohol violation, under agedstudents comsumed beveragescontaining alcohol.,17-000958,"july 4, 2017",2220,reiss sciencerooftop,referred to student conduct
"july 6, 2017",burglary, an unknown person(s)entered into an office and stoleelectronic  items.,17-000959,"july 5, 2017",1430,medical dentalbuilding,case pending investigation
"july 7, 2017",theft, a staff member reported thetheft of petty cash,17-000965,"july 7,2017",1321,icc,case pending investigation
"july 10, 2017",burglary, an unknown person(s)entered into a dorm room and stolecash,17-000974,"july 10, 2017",1730,village c west,case closed with arrest
"july 10, 2017",burglary, an unknown person(s)entered into a dorm room and stolecash,17-000975,"july 10, 2017",1440,village c west,case closed with arrest
"july 11, 2017",burglary, an unknown person(s)entered into a dorm room and stolecash,17-000976,"july 11, 2017",1158,village c west,case closed with arrest
"july 11, 2017",theft, an unknown person(s) stolefood from a common area,17-000978,"july 11, 2017",1430,arrupe hall,case pending investigation
"july 11, 2017",burglary, an unknown person(s)entered into a dorm room and stolea backpack,17-000981,"july 11, 2017",1605,village c west,case pending investigation
"july 12, 2017",burglary, an unknown person(s)entered into a dorm room and stolecash,17-000983,"july 12,2017",1500,village c west,case closed with arrest
"july 12, 2017",burglary, an unknown person(s)entered into a dorm room and stolecash,17-000984,"july 12, 2017",1500,village c west,case closed with arrest
"july 13, 2017",burglary, an unknown person(s)entered into a dorm room and stolecash,17-000990,"july 13, 2017",1440,village c west,case closed with arrest
"july 14, 2017",burglary, subject was observedentering into a dorm room andstealing cash.,17-000999,"july 14,2017",1215,village c west,case closed with arrest
"july 16, 2017",theft, an unknown person(s) stoleeletronic equipment from acommon area,17-001002,"july 16,2017",1200,darnall hall,case pending investigation
"july 19, 2017",sexual assualt, a gu affiliiatereported being groped by anunknown male.,17-001015,"july 11, 2017",1300,medical dentalbuilding,case closed with arrest
"july 22, 2017",theft,  a bicycle was stolen from abike rack,17-001026,"july 20, 2017",1800,old north,case pending investigation
"july 24, 2017",drug violation, two students werefound in possession of a cigarettecontaining marijuuana.,17-001003,"july 24,2017",2221,henle village,referred to student conduct
"july 30, 2017",theft, a gu affiliate reported thetheft of a suit case,17-001061,"july 30, 2017",1630,village c east,case pending investigation
"july 30, 2017",theft, a gu affiliate reported thetheft of a bicycle tire.,17-001062,"july 30,2017",1500,darnall hall,case pending investigation
"july 31, 2017",theft, a gu affiliate reported thetheft of food,17-001063,"july 31, 2017",1115,darnall hall,case pending investigation
"july 31, 2017",theft, a gu affiliate reported thetheft of a wallet containing  uscurrency,17-001067,"july 31,2017",1800,leavey center,case pending investigation
"july 3, 2018",assault, a student reported thatthey were physically assaulted,18-000880,"july 3, 2018",0224,healy circle,case closed subject barredfrom campus
"july 4, 2018",alcohol violation, a underagestudent was found in possession ofa alcoholic beverage,18-000883,"july 4, 2018",0020,library walk,case referred to studentconduct
"july 4, 2018",theft, a  student reported the theftof a bicycle,18-000887,"july 4, 2018",1651,red square,case pending investigation
"july 6, 2018",stalking,  a staff member /studentreported that they received severalunwanted communications from aknown associate,18-000892,"june 27, 2018",1000,leavey center,case pending investigation
"july 7, 2018",burglary, a gu affiliate reportedthat an unknown subject enteredtheir unsecured residence and stoleproperty,18-000898,"july 7, 2018",0805,darnall hall,case pending investigation
"july 8, 2018",theft, a  staff member reported thetheft of a parking pass,18-000902,"july 6, 2018",1700,leavey centergarage,case pending investigation
"july 9, 2018",burglary, a gu affiliate reportedthat an unknown subject forciblyentered their secured storage areaand stole property,18-000906,"july 9, 2018",1000,healy familystudent center,case pending investigationhandled by mpd ccn 18-112456
"july 10, 2018",theft, a  student reported the theftof a bicycle,18-000909,"july 10, 2018",1400,hawkins hall,case pending investigation
"july 11, 2018",theft, a  student reported the theftof a wallet,18-000913,"july 10, 2018",1200,o'donovan hall,case pending investigationhandled by mpd ccn 18-113759
"july 11, 2018",stalking, a student reported thatthey were being stalked,tix-318,"july 11, 2018",NA,mccarthy hall,case pending investigation
"july 13, 2018",burglary, a gu affiliate reportedthat an unknown subject enteredtheir secured residence and stoleus currency,18-000920,"july 13, 2018",1900,harbin hall,case pending investigation
"july 15, 2018",burglary, a gu affiliate reportedthat an unknown subject enteredtheir secured residence and stolepersonal property,18-000924,"july 15, 2018",0830,arrupe hall,case pending investigationhandled by mpd ccn 18-116059 / unfoundedcomplainant foundproperty
"july 17, 2018",theft, a  gu affiliate reported thetheft of merchandise,18-000932,"july 17, 2018",1520,leavey centerbookstore,case pending investigation
"july 17, 2018",theft, a  student reported the theftof us currency,18-000934,"july 17, 2018",1825,harbin hall,case pending investigation
"july 18, 2018",burglary, a gu staff memberreported that an unknown subjectgained access to the securedbuilding and vandalized multiplebathrooms.,18-000935,"july 17, 2018",0830,thompson athleticcenter,case pending investigation
"july 23, 2018",theft, a  student reported the theftof personal property,18-000949,"july 20, 2018",0900,hariri building,case pending investigation
"july 23, 2018",theft, a  student reported the theftof personal property,18-000951,"july 23, 2018",2130,arrupe hall,case pending investigation
"july 24, 2018",theft, a  gu affiliate reported thetheft of merchandise,18-000953,"july 23, 2018",1100,leavey centerbookstore,case pending investigation
"july 25, 2018",theft, a  student reported the theftof a bicycle,18-000958,"july 25, 2018",1600,darnall hall,case pending investigation
"july 25, 2018",theft, a  staff member reported thetheft of personal property,18-000960,"july 25, 2018",1910,southwest quad,case pending investigation/ unfounded co-workerinadvertently took bymistake
"july 26, 2018",theft, a  student reported the theftof a jacket,18-000962,"july 24, 2018",2130,yates field house,case pending investigation
"july 30, 2018",burglary, a staff member reportedthat an unknown subject enteredtheir unsecured office and stolepersonal property,18-000976,"july 30, 2018",1646,medical & dentalbuilding,case pending investigationhandled by mpd ccn 18-125972
"july 30, 2018",theft, a  staff member reported thetheft of a parking permit,18-000977,"july 17, 2018",1500,southwest quad,case pending investigation
"july 31, 2018",theft, a  gu affiliate reported thetheft of personal property,18-000983,"july 31, 2018",1710,yates field house,case pending investigation
"july 2, 2019",burglary, a staff member reported that anunknown suspect gained access to theirsecured office and stole a laptop,19-000838,"july 2, 2019",0830,leavey center,case pending investigation handledby mpd ccn: 19- 115224 /unfoundedlaptops were found
"july 3, 2019",unlawful entry,  a gupd officer reported thatthey located a unauthorized non affiliate oncampus who had been previously barred,19-000842,"july 3, 2019",0830,leavey center,case closed with arrest ccn: 19-115836
"july 6, 2019",attempted burglary,  a staff member reportedthat two unknown subjects attempted to breakinto an office,19-000848,"july 6, 2019",1027,healy hall,case pending investigation
"july 6, 2019",unlawful entry,  a gupd officer reported thatthey located a unauthorized non affiliate livinginside a university townhouse,19-000849,"july 6, 2019",1730,"3600 block ""o"" streetnorthwest",case closed with arrest ccn: 19-118236
"july 9, 2019",burglary, a staff member reported that anunknown suspect gained access to theirsecured classroom and stole a laptop,19-000856,"july 9, 2019",0720,white gravenor,case pending investigation handledby mpd ccn: 19- 119757 /unfoundedlaptop was found
"july 9, 2019",theft, a non affiliate reported the theft of alaptop,19-000857,"july 9, 2019",1130,lauinger library,case pending investigation handledby mpd ccn: 19- 119916
"july 9, 2019",burglary, a student reported that an unknownsuspect gained access to their secured officeand stole laptops,19-000858,"july 9, 2019",1350,regents hall,case pending investigation handledby mpd ccn: 19- 119945
"july 9, 2019",burglary, a summer student reported that anunknown suspect gained access to theirsecured residence and stole clothing,19-000860,"july 8, 2019",2000,village c east,case pending investigation
"july 10, 2019",theft, a  summer counselor reported the theftof a gaming system,19-000865,"july 10, 2019",1229,kennedy hall,case pending investigation
"july 10, 2019",burglary, a summer ra reported that anunknown suspect gained access to theirsecured residence and stole their earbuds,19-000867,"july 4, 2019",1800,new south hall,case pending investigation
"july 10, 2019",burglary, a summer ra reported that anunknown suspect gained access to theirsecured residence and stole their headphones,19-000868,"july 4, 2019",1800,new south hall,case pending investigation
"july 10, 2019",theft, a  student reported the theft of a minifridge,19-000870,"june 1, 2019",2000,henle village,case pending investigation
"july 11, 2019",theft, a  summer student reported the theft ofa wallet,19-000872,"july 11, 2019",1330,yates field house,case pending investigation/ unfounded  wallet was foundand returned to owner
"july 12, 2019",burglary, a student reported that an unknownsuspect gained access to their securedresidence and stole a safe,19-000876,"july 12, 2019",1000,village a,case pending investigation handledby mpd ccn: 19- 121782
"july 12, 2019",theft, a  student reported the theft of a bicycle,19-000877,"june 18, 2019",1800,leavey center bicyclerack,case pending investigation
"july 12, 2019",theft, a  student reported the theft of a bicycle,19-000883,"july 8, 2019",0900,leavey center bicyclerack,case pending investigation
"july 12, 2019",fondling, a hospital patient reported theywere fondled,19-0596(gumh),"july 12, 2019",1000,gumh,"case closed, handled by gumhprotective services"
"july 12, 2019",burglary, a summer student reported that anunknown suspect gained access to theirsecured residence and stole a wallet,19-000881,"july 11, 2019",2200,new south hall,case pending investigation
"july 13, 2019",fondling, a hospital patient reported theywere fondled,19-0976,"july 13, 2019",920,gumh,"case closed, handled by gumhprotective services"
"july 15, 2019",theft, a  summer student reported the theft ofa gaming system,19-000889,"july 15, 2019",0800,village c east,case pending investigation
"july 16, 2019",unlawful entry,  a gupd officer reported thatthey located a unauthorized non affiliate oncampus who had been previously barred,19-000894,"july 16, 2019",1100,leavey center,case closed with arrest ccn: 19-124395
"july 16, 2019",theft, a  gu affiliate reported the theft of uscurrency,19-000896,"july 10, 2019",1100,lauinger library,case pending investigation
"july 18, 2019",simple assault, a  gu summer studentreported that they were physically assaultedby another summer student.,19-000915,"july 17, 2019",1839,new south hall,"case closed guardian declined tofile criminal charges, studentremoved from program"
"july 19, 2019",burglary, a summer student reported that anunknown suspect gained access to theirsecured residence and stole jewelry and uscurrency,19-000916,"july 19, 2019",0830,kennedy hall,case pending investigation
"july 19, 2019",burglary, a student reported that an unknownsuspect gained access to their securedresidence and stole a wallet containing uscurrency,19-000917,"july 19, 2019",0900,kennedy hall,case pending investigation
"july 19, 2019",burglary, a student reported that an unknownsuspect gained access to their securedresidence and stole a laptop and personalmedication,19-000919,"july 19, 2019",1625,village a,case pending investigation handledby mpd ccn: 19- 126608 /unfoundedlaptop was never stolen
"july 19, 2019",felony threats, a student reported that theyreceived several threatening telephone callsand text messages from an unidentified malesubject,19-000920,"july 19, 2019",1625,new research building,case pending investigation handledby mpd ccn: 19- 126635
"july 19, 2019",drug violation,  a non gu affiliate was foundin possession of marijuana,19-000921,"july 19, 2019",2059,holy rood cemetery2126 wisconsin avenuenorthwest,subjects were barred fromcampus
"july 20, 2019",theft, a  student reported the theft of twocellular phones,19-000925,"july 20, 2019",1345,mccarthy hall,case pending investigation
"july 22, 2019",unlawful entry,  a gupd officer reported thatthey located a unauthorized non affiliate oncampus who had been observed canvassingseveral offices and going through personalproperty,19-000934,"july 22, 2019",1422,icc,case closed with arrest ccn: 19-128371
"july 23, 2019",theft, a  gu hospital employee reported thetheft of a bicycle,19-000940,"july 23, 2019",1645,leavey center bikerack,case pending investigation
