natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Injured Person,14-0859,NA,1430,NA,1426,georgia aveune and fairmont,inactive,NA,NA
Hazardous Elevator,14-0860,NA,1533,NA,1533,plaza towers,inactive,NA,NA
Unlawful Entry,14-0861,NA,1648,NA,1648,plaza towers,active,NA,NA
Injured Person,14-0862,NA,1733,NA,1700,ira aldridge theatre,inactive,NA,NA
Fire Alarm Activation 14-0863,NA,NA,2145,NA,2145,cook hall,inactive,NA,NA
Sick Person 14-0864,NA,NA,2238,NA,2235,cook hall,inactive,NA,NA
Suspicious Odor 14-0865,NA,NA,2238,NA,2238,plaza towers,inactive,NA,NA
Suspicious Odor 14-0866,NA,NA,0052,NA,0052,betiune hall,inactive,NA,NA
Theft II 14-0867,NA,NA,0842,NA,0842,mudd building,active,NA,NA
Fire Alarm Activation 14-0868,NA,NA,1651,NA,1650,slowe hall,inactive,NA,NA
Lost Property 14-0869,NA,NA,1810,NA,1808,plaza towers,inactive,NA,NA
Miscellaneous 14-0870,NA,NA,2150,NA,2147,plaza towers,inactive,NA,NA
Fire 14-0871,NA,NA,0151,NA,0151,academic a,active,NA,NA
Sick Transport 14-0872,NA,NA,0935,NA,0855,bethune annex,inactive,NA,NA
Theft from Auto 14-0873,NA,NA,1406,NA,1400,carver hall,active,NA,NA
Fire Alarm Activation 14-0874,NA,NA,2007,NA,2007,cook hall,inactive,NA,NA
Fire Alarm Activation 14-0875,NA,NA,2107,NA,2106,college north hall,inactive,NA,NA
Fire 14-0876,NA,NA,2358,NA,2358,howard manor,active,NA,NA
Theft from Auto 14-0873,NA,NA,1406,NA,1400,carver hall,active,NA,NA
Fire Alarm Activation 14-0874,NA,NA,2007,NA,2007,cook hall,inactive,NA,NA
Fire Alarm Activation 14-0875,NA,NA,2107,NA,2106,college north hall,inactive,NA,NA
Fire Alarm Activation 14-0876,NA,NA,2358,NA,2358,howard manor,active,NA,NA
Fire Alarm Activation 14-0883,NA,NA,1110,NA,1106,social work,inactive,NA,NA
Fire Alarm Activation 14-0884,NA,NA,1754,NA,1754,cook hall,inactive,NA,NA
Student Misconduct 14-0885,NA,NA,1933,NA,1917,plaza towers,active,NA,NA
Theft from Auto 14-0886,NA,NA,2001,NA,1953,plaza towers,active,NA,NA
Theft from Auto 14-0887,NA,NA,2231,NA,2228,banneker south lot,active,NA,NA
Miscellaneous 14-0888,NA,NA,2353,NA,2351,644 columbia rd. nw,inactive,NA,NA
Miscellaneous 14-0889,NA,NA,0040,NA,0040,college south hall,inactive,NA,NA
Sick Person 14-0890,NA,NA,0045,NA,0045,college south hall,inactive,NA,NA
Sick Person 14-0891,NA,NA,0900,NA,0900,ira aldridge theatre,inactive,NA,NA
Lost Property 14-0892,NA,NA,0940,NA,0200,college south hall,inactive,NA,NA
Sick Transport 14-0893,NA,NA,1637,NA,1637,student health center,inactive,NA,NA
Sick Transport 14-0894,NA,NA,1734,NA,1738,service center,inactive,NA,NA
Robbery Force and Violence 14-0895,NA,NA,0004,NA,0004,"service center 2244 10th st. nw,",active,NA,NA
Suspicious Odor 14-0896,NA,NA,2359,NA,0115,slowe hall,active,NA,NA
Indecent Exposure 14-0897,NA,NA,0118,NA,0115,plaza towers,active,NA,NA
Miscellaneous 14-0898,NA,NA,1328,NA,1100,plaza towers,inactive,NA,NA
Student Misconduct,14-0899,NA,1622,NA,1622,miner building,active,NA,NA
Lost Property,14-0900,NA,1933,NA,1705,college south hall,inactive,NA,NA
Fire Alarm Activation,14-0901,NA,2042,NA,2-042,college south hall,inactive,NA,NA
Miscellaneous,14-0902,NA,2114,NA,2030,plaza towers,inactive,NA,NA
Sick Person,14-0903,NA,2259,NA,2253,plaza towers,inactive,NA,NA
Simple Assault,14-0904,NA,2314,NA,2302,2nd and w st. nw,active,NA,NA
Hit and Run,14-0905,NA,0154,NA,0154,east towers parking lot,active,NA,NA
Fire Alarm Activation,14-0906,NA,0320,NA,0317,college north hall,inactive,NA,NA
Fire Alarm Activation,14-0907,NA,1237,NA,1236,college south hall,inactive,NA,NA
Burglary II,14-0908,NA,1348,NA,1200,plaza towers,active,NA,NA
Sick Person,14-0909,NA,1950,NA,1947,quadrangle hall,inactive,NA,NA
Fire Alarm Activation,14-0910,NA,1947,NA,1947,plaza towers,inactive,NA,NA
Sick Person,14-0911,NA,2320,NA,2320,plaza towers,inactive,NA,NA
Hazardous Elevator,14-0912,NA,0212,NA,0212,plaza towers,inactive,NA,NA
Fire Alarm Activation,14-0913,NA,1413,NA,1413,quadrangle hall,inactive,NA,NA
Fire Alarm Activation,14-0914,NA,0130,NA,0019,cook hall,inactive,NA,NA
Fire Alarm Activation,14-0915,NA,0727,NA,0725,college north hall,inactive,NA,NA
Lost Property,14-0916,NA,2153,NA,2148,miner building,inactive,NA,NA
Fire Alarm Activation,14-0917,NA,0025,NA,0025,cook hall,inactive,NA,NA
Theft II,14-0918,NA,1154,NA,1124,bookstore,active,NA,NA
Theft II,14-0919,NA,1325,NA,1324,plaza towers,active,NA,NA
Sick Transport,14-0920,NA,1710,NA,1710,student health,inactive,NA,NA
Hazardous Water Leak,14-0921,NA,1740,NA,1740,dental school,inactive,NA,NA
Theft II,14-0922,NA,1737,NA,1726,engineering buidling,active,NA,NA
Theft From Auto,14-0923,NA,2043,NA,2040,burr gymnasium,active,NA,NA
Fire Alarm Activation,14-0924,NA,1707,NA,1707,cook hall,inactive,NA,NA
Hazardous Elevation,14-0925,NA,1905,NA,1904,dental school,inactive,NA,NA
Sick Person,14-0926,NA,2315,NA,2315,college south hall,inactive,NA,NA
Destruction Of Property,14-0927,NA,1143,NA,2054,plaza towers,active,NA,NA
Vehicle Accident,14-0928,NA,1151,NA,1151,dental school,active,NA,NA
Fire Alarm Activation,14-0929,NA,1304,NA,1304,drew hall,inactive,NA,NA
Lost Property,14-0930,NA,1746,NA,1730,6th girard st. nw,inactive,NA,NA
Miscellaneous,14-0931,NA,1903,NA,1901,founders library,inactive,NA,NA
Student Misconduct,14-0932,NA,1919,NA,1915,plaza towers,active,NA,NA
Damaged Property,14-0933,NA,0153,NA,0153,towers parking lot,inactive,NA,NA
Sick Transport,14-0934,NA,0244,NA,0244,cook hall,inactive,NA,NA
Founder Property,14-0935,NA,0415,NA,0412,service center,inactive,NA,NA
Damaged Property,14-0936,NA,0808,NA,0625,miner lot,inactive,NA,NA
Founder Property,14-0937,NA,1208,NA,1145,banneker north lot,inactive,NA,NA
Student Misconduct,14-0938,NA,2109,NA,2109,ugl,active,NA,NA
Sick Person,14-0939,NA,1201,NA,1200,bethune annex,inactive,NA,NA
Student Misconduct,14-0940,NA,1222,NA,1208,quadrangle hall,active,NA,NA
Sick Person,14-0941,NA,1316,NA,1310,college south hall,inactive,NA,NA
Theft I,14-0942,NA,2211,NA,2025,west campus,active,NA,NA
Hazardous Water Leak,14-0943,NA,2132,NA,2125,annex ii,inactive,NA,NA
Fire Alarm Activation,14-0944,NA,2317,NA,2317,plaza towers,inactive,NA,NA
Hazardous Water Leak,14-0945,2009-01-14,1605,2009-01-14,1605,engineering building,inactive,2009,2009
Sick Person,14-0946,2009-01-14,1904,2009-01-14,1900,college south hall,inactive,2009,2009
Sick Person,14-0947,2009-01-14,2000,2009-01-14,2000,cook hall,inactive,2009,2009
Sick Person,14-0948,2009-01-14,2015,2009-01-14,2015,college south hall,inactive,2009,2009
Robbery Fear,14-0949,2009-01-14,2221,2009-01-14,2215,"ga. ave. & sherman nw,",active,2009,2009
Sick Transport,14-0950,2009-02-14,0221,2009-02-14,0205,wonder plaza,inactive,2009,2009
Vehicle Accident,14-0951,2009-02-14,0802,2009-02-14,0745,service center,active,2009,2009
Sick Person,14-0952,2009-02-14,0917,2009-02-14,0913,locke hall,inactive,2009,2009
Damaged Property,14-0953,2009-02-14,1437,2009-02-14,1437,howard manor,inactive,2009,2009
Attempt Robbery,14-0954,2009-03-14,0026,2009-03-14,0008,500 block of bryant st. nw,active,2009,2009
Disorderly,14-0955,2009-03-14,0940,2009-03-14,0940,howard center,active,2009,2009
Injured Person,14-0956,2009-03-14,1117,2009-03-14,0940,howard center,active,2009,2009
Lost Property,14-0957,2009-03-14,1320,2009-03-14,1315,burr gymnasium,inactive,2009,2009
Unlawful Entry,14-0958,2009-03-14,1345,2009-03-14,1345,"2112 ga. ave., nw,",active,2009,2009
Sick Transport,14-0959,2009-03-14,1604,2009-03-14,1604,quadrangle hall,inactive,2009,2009
Theft from Auto,14-0960,2009-03-14,1815,2009-03-14,1815,hu hospital,active,2009,2009
Unlawful Entry,14-0961,2009-03-14,1638,2009-03-14,1631,wonder plaza,active,2009,2009
Student Misconduct,14-0962,2009-03-14,1713,2009-03-14,1321,plaza towers,active,2009,2009
Found Property,14-0963,2009-03-14,2014,2009-03-14,2014,"1915 florida ave. nw,",inactive,2009,2009
NO Report,14-0964,2009-03-14,,2009-03-14,,,NA,2009,2009
Sick Person,14-0965,2009-03-14,2133,2009-03-14,2126,college south hall,inactive,2009,2009
Miscellaneous,14-0966,2009-04-14,0023,2009-04-14,0022,c.b. powell building,inactive,2009,2009
Missing Person,14-0967,2009-04-14,0056,2009-04-14,0056,howard plaza towers,active,2009,2009
Injured Person,14-0968,2009-04-14,0326,2009-04-14,0326,quadrangle hall,active,2009,2009
Vehicle Accident,14-0969,2009-04-14,1440,2009-04-14,1439,howard plaza towers,active,2009,2009
Burglary II,14-0970,2009-04-14,1512,2009-04-14,1400,"2300 6th st. nw,",active,2009,2009
Sick Transport,14-0971,2009-04-14,1534,NA,4,carver,inactive,2009,NA
No Report,14-0972,NA,4,NA,NA,,NA,NA,NA
Hazardous Elevator,14-0973,2009-04-14,1638,2009-04-14,1601,howard plaza towers,inactive,2009,2009
Threats,14-0974,2009-04-14,1845,2009-04-14,1835,college of denistry,active,2009,2009
Theft I,14-0975,2009-04-14,2354,2009-04-14,2253,howard plaza towers,active,2009,2009
Sick Transport,14-0976,2009-05-14,0419,2009-05-14,0419,college north hall,inactive,2009,2009
Miscellaneous,14-0977,2009-05-14,1134,2009-05-14,1121,student health clinic,inactive,2009,2009
Miscellaneous,14-0978,2009-05-14,1131,2009-05-14,1131,school of buainess,inactive,2009,2009
Fire Alarm Activation,14-0979,2009-05-14,1329,2009-05-14,1329,blackburn center,inactive,2009,2009
Damaged Property,14-0980,2009-05-14,0800,2009-05-14,1703,howard center,inactive,2009,2009
Fire Alarm Activation,14-0981,2009-05-14,2146,2009-05-14,2146,bethune annex,inactive,2009,2009
Sick Person,14-0982,2009-06-14,0027,2009-06-14,0027,chemistry building,inactive,2009,2009
Theft from Auto,14-0983,2009-06-14,0324,2009-06-14,0324,hu hospital,active,2009,2009
Unlawful Entry,14-0984,2009-06-14,0656,2009-06-14,0656,plaza towers,active,2009,2009
Lost Property,14-0985,2009-06-14,1330,2009-06-14,1320,plaza towers,inactive,2009,2009
Lost Property,14-0986,2009-06-14,1601,2009-06-14,1528,bethune annex,inactive,2009,2009
Theft  II,14-0987,2009-06-14,1538,2009-04-14,2300,plaza towers,active,2009,2009
Miscellaneous,14-0988,2009-06-14,1545,2009-06-14,1526,bethune annex,inactive,2009,2009
Domestic Violence,14-0989,2009-06-14,1549,2009-06-14,1549,bethune annex,inactive,2009,2009
Recovered Property,14-0990,2009-07-14,1705,2009-07-14,1631,plaza towers,inactive,2009,2009
Armed Robbery,14-0991,2009-07-14,2037,2009-07-14,1938,stokes library,active,2009,2009
Student Misconduct,14-0992,2009-07-14,2220,2009-07-14,2046,slowe hall,inactive,2009,2009
Student Misconduct,14-0993,2009-07-14,2212,2009-07-14,2204,bethune annex,active,2009,2009
Hazardous Elevator,14-0994,2009-08-14,0549,2009-08-14,0549,engineering building,inactive,2009,2009
Theft II,14-0995,2009-08-14,0835,2009-08-14,0828,dental school,active,2009,2009
Theft II,14-0996,2009-08-14,1445,2009-08-14,1436,bethune annex,active,2009,2009
Sick Person,14-0997,2009-08-14,2118,2009-08-14,2115,plaza towers,inactive,2009,2009
Lost Property,14-0998,2009-09-14,0047,2009-09-14,0024,stokes library,inactive,2009,2009
Theft II,14-0999,2009-09-14,1116,2009-09-14,1114,c.b. powell building,active,2009,2009
Hazardous Water Leak,14-1000,2009-09-14,1840,2009-09-14,1839,academic a,inactive,2009,2009
Student Misconduct,14-1001,2009-09-14,1936,2009-09-14,1900,plaza towers,active,2009,2009
Injured Person,14-1002,2009-09-14,2055,2009-09-14,2049,blackburn center,inactive,2009,2009
Theft from Auto,14-1003,2009-10-14,1010,2009-10-14,1004,"2565 ga. ave., nw,",active,2009,2009
Damaged Property,14-1004,2009-10-14,1042,2009-10-14,1042,bethune annex,inactive,2009,2009
Injured Person,14-1005,2009-10-14,1327,2009-10-14,1327,locke hall,inactive,2009,2009
Miscellaneous,14-1006,2009-10-14,1425,2009-10-14,1420,service center,inactive,2009,2009
Miscellaneous,14-1007,2009-11-14,0700,2009-11-14,0700,burr gymnasium,inactive,2009,2009
Injured Person,14-1008,2009-11-14,1422,2009-11-14,1422,hurb-1,inactive,2009,2009
Found Property,14-1009,2009-11-14,1817,2009-11-14,1600,plaza towers,inactive,2009,2009
Theft II,14-1010,2009-11-14,1825,2009-11-14,1825,c. b. powell building,active,2009,2009
Found Property,14-1011,2009-11-14,1903,2009-11-14,1600,plaza towers,inactive,2009,2009
Injured Person,14-1012,2009-11-14,2124,2009-11-14,2056,quadrangle hall,inactive,2009,2009
Miscellaneous,14-1013,2009-11-14,1845,2009-11-14,1800,burr gymnasium,inactive,2009,2009
Sick Person,14-1014,2009-12-14,1242,2009-12-14,1242,blackburn center,inactive,2009,2009
Miscellaneous,14-1015,2009-12-14,1520,2009-12-14,1515,quadrangle hall,inactive,2009,2009
Sick Transport,14-1016,2009-12-14,1607,2009-12-14,1600,student health clinic,inactive,2009,2009
Theft I,14-1017,2009-12-14,1737,2009-12-14,1600,biology building,active,2009,2009
Hazardous Water Leak,14-1018,2009-12-14,1808,2009-12-14,1755,architecture & planning,inactive,2009,2009
Lost Property,14-1019,2009-12-14,1951,2009-12-14,1951,college south hall,inactive,2009,2009
Theft II,14-1020,2009-12-14,1941,2009-12-14,1941,plaza towers,active,2009,2009
Lost Property,14-1021,2009-12-14,2220,2009-12-14,2220,burr gym,inactive,2009,2009
Student Misconduct,14-1022,2009-12-14,2207,2009-12-14,2207,slowe hall,active,2009,2009
Fire Alarm Activation,14-1023,NA,1927,NA,1919,quadrangle hallinactivation,NA,NA,NA
Sick Person,14-1024,NA,0315,NA,0250,college south hall,inactive,NA,NA
Unlawful Entry,14-1025,NA,0655,NA,0654,college south hall,active,NA,NA
Sick Person,14-1026,NA,0040,NA,0017,quadrangle hall,inactive,NA,NA
Lost Property,14-1027,NA,1044,NA,1044,plaza towers,inactive,NA,NA
Lost Property,14-1028,NA,1119,NA,1100,blackburn center,inactive,NA,NA
Lost Property,14-1029,NA,1135,NA,1132,service center,inactive,NA,NA
Miscellaneous,14-1030,NA,1516,NA,1500,13th st. nw,inactive,NA,NA
Sick Transport,14-1031,NA,1655,NA,1652,c.b. powell building,inactive,NA,NA
Fire Alarm Activation,14-1032,NA,1701,NA,1700,college south hall,inactive,NA,NA
Sick Person,14-1033,NA,1704,NA,1704,quadrangle hall,inactive,NA,NA
Student Misconduct,14-1034,NA,1842,NA,1820,college south hall,active,NA,NA
Fire,14-1035,NA,1028,NA,1028,founders library,inactive,NA,NA
Sick Person,14-1036,NA,1118,NA,1032,college south hall,inactive,NA,NA
Theft II,14-1037,NA,1450,NA,1440,bookstore,active,NA,NA
Student Misconduct,14-1038,NA,2057,NA,2050,stokes library,active,NA,NA
Student Misconduct,14-1039,NA,2222,NA,2222,bethune annex,active,NA,NA
Sick Person,14-1040,NA,2345,NA,2330,college south hall,inactive,NA,NA
Suspicious Odor,14-1041,NA,2330,NA,2309,college south hall,inactive,NA,NA
fire Alarm Activation,14-1042,NA,0046,NA,0046,college north hall,inactive,NA,NA
Theft I,14-1043,NA,1758,NA,1758,c.b. powell building,active,NA,NA
Theft from Auto,14-1044,NA,2004,NA,2007,banneker south parking lot,active,NA,NA
Theft from Auto,14-1045,NA,2208,NA,2208,miner lot,active,NA,NA
Theft II,14-1046,NA,2200,NA,2139,slowe hall,active,NA,NA
Injured Person,14-1047,NA,2315,NA,2307,college south hall,inactive,NA,NA
Damaged Property,14-1048,NA,0918,NA,0918,west campus,inactive,NA,NA
Lost Property,14-1049,NA,0938,NA,0938,service center,inactive,NA,NA
Sick Person,14-1050,NA,1605,NA,1600,blackburn center,inactive,NA,NA
Vehicle Accident,14-1051,NA,1555,NA,1555,bryant st. parking lot,active,NA,NA
Miscellaneous,14-1052,NA,1605,NA,1430,service center,inactive,NA,NA
Fire Alarm Activation,14-1053,NA,2225,NA,2225,college north hall,inactive,NA,NA
Unlawful Entry,14-1054,NA,2210,NA,0038,plaza towers,active,NA,NA
Fire Alarm Activation,14-1055,NA,2339,NA,2338,college south hall,inactive,NA,NA
Miscellaneous,14-1056,NA,0830,NA,0853,service center,inactive,NA,NA
Theft II,14-1057,NA,0940,NA,0940,drew hall,active,NA,NA
Sick Person,14-1058,NA,1241,NA,1239,quadrangle hall,inactive,NA,NA
Lost Property,14-1059,NA,1331,NA,1331,college north hall,inactive,NA,NA
Miscellaneous,14-1060,NA,2025,NA,2017,plaza towers,inactive,NA,NA
Sick Person,14-1061,NA,0129,NA,0129,college north hall,inactive,NA,NA
Damaged Property,14-1062,NA,0121,NA,0121,howard center lot,inactive,NA,NA
Fire Alarm Activation,14-1063,NA,0159,NA,0159,college south hall,inactive,NA,NA
Found Property,14-1064,NA,2133,NA,2130,cramton auditorium,inactive,NA,NA
Sick Transport,14-1065,NA,2241,NA,2241,drew hall,inactive,NA,NA
NO Report,NA,NA,,NA,,,NA,NA,NA
Sick Transport,14-1066,NA,0905,NA,0905,bethune annex,inactive,NA,NA
Sick Person,14-1067,NA,0905,NA,0905,plaza towers,inactive,NA,NA
Theft from Auto,14-1068,NA,1045,NA,1439,drew hall,active,NA,NA
Theft II,14-1069,NA,1805,NA,1750,biology building,active,NA,NA
Injured Person,14-1070,NA,1031,NA,1900,main gate,inactive,NA,NA
Fire Alarm Activation,14-1071,NA,1055,NA,1054,college south hall,inactive,NA,NA
Theft from Auto,14-1072,NA,1200,NA,1200,banneker south lot,active,NA,NA
Sick Transport,14-1073,NA,1435,NA,1435,chemistry building,inactive,NA,NA
Sick Transport,14-1074,NA,1515,NA,1457,chemistry building,inactive,NA,NA
Injured Person,14-1075,NA,1617,NA,1613,architect & planning,inactive,NA,NA
Destruction of Property,14-1076,NA,2140,NA,2139,slowe hall,active,NA,NA
Injured Person,14-1077,NA,2316,NA,2259,drew hall,inactive,NA,NA
Sick Person,14-1078,NA,2244,NA,2244,east campus,inactive,NA,NA
Vehicle Accident,14-1079,NA,0011,NA,0022,6th & bryant st. nw,active,NA,NA
Sick Person,14-1080,NA,0535,NA,0535,slowe hall,inactive,NA,NA
Destruction of Property,14-1081,NA,0846,NA,1700,c.b. powell building,active,NA,NA
Theft I,14-1082,NA,1230,NA,1225,plaza towers,active,NA,NA
Theft II,14-1083,NA,1347,NA,1347,blackburn center,active,NA,NA
Sick Transport,14-1084,NA,1519,NA,1514,hu hospital,inactive,NA,NA
Lost Property,14-1085,NA,1608,NA,1608,ralph bunch building,inactive,NA,NA
Lost Property,14-1086,NA,2258,NA,2250,service center,inactive,NA,NA
Lost Property,14-1087,NA,2258,NA,2258,service center,inactive,NA,NA
Sick Person,14-1088,NA,0125,NA,0125,college south hall,inactive,NA,NA
Hazardous Elevator,14-1089,NA,1118,NA,1118,plaza towers,inactive,NA,NA
Damaged Property,14-1090,NA,1253,NA,1252,burr gym,inactive,NA,NA
Lost Property,14-1091,NA,1400,NA,1312,academic b,inactive,NA,NA
Hazardous Water Leak,14-1092,NA,1751,NA,1751,cook hall,inactive,NA,NA
Sick Person,14-1093,NA,1834,NA,1834,college south hall,inactive,NA,NA
Sick Person,14-1094,NA,2026,NA,2026,douglass hall,inactive,NA,NA
Student Misconduct,14-1095,NA,2257,NA,2257,bethune annex,active,NA,NA
Lost Property,14-1096,NA,1319,NA,1730,school of business,inactive,NA,NA
Sexual Assault,14-1105,NA,1805,NA,1148,on campus,active,NA,NA
Fire Alarm Activation,14-1106,NA,2245,NA,2240,cook hall,inactive,NA,NA
Vehicle Accident,14-1107,NA,1240,NA,1240,school of business,inactive,NA,NA
Fire Alarm Activation,14-1108,NA,1419,NA,1419,howard plaza west,inactive,NA,NA
Damaged Property,14-1109,NA,1529,NA,1529,stokes library,inactive,NA,NA
Student Misconduct,14-1110,NA,2144,NA,2144,howard plaza east,active,NA,NA
Vehicle Accident,14-1111,NA,2332,NA,2332,plaza towers,inactive,NA,NA
Loud Noise,14-1112,NA,2357,NA,2357,off campus sherman ave,active,NA,NA
Attempt Suicide,14-1113,NA,1807,NA,1807,slowe hall,active,NA,NA
Student Misconduct,14-1114,NA,2103,NA,2103,stokes library,active,NA,NA
Unlawful Entry,14-1115,NA,2147,NA,2147,bethune hall annex,active,NA,NA
Damaged Property,14-1116,NA,0724,NA,0724,howard center lot,inactive,NA,NA
Lost Property,14-1117,NA,0851,NA,0851,college south hall,inactive,NA,NA
Sick Person,14-1118,NA,1345,NA,1345,blackburn center,inactive,NA,NA
Vehicle Accident,14-1119,NA,1455,NA,1455,2215 6th street nw,inactive,NA,NA
Theft I,14-1120,NA,1556,NA,1556,fine arts,active,NA,NA
Theft I,14-1121,NA,1851,NA,1851,fine arts,active,NA,NA
Destruction of Property,14-1122,NA,1256,NA,1256,500 block gresham pl,inactive,NA,NA
Lost Property,14-1123,NA,1443,NA,1355,health sciences library,inactive,NA,NA
Student Misconduct,14-1124,NA,1722,NA,1722,howard plaza east,active,NA,NA
Theft From Auto,14-1125,NA,1743,NA,2100,childers lot,active,NA,NA
Sick Person,14-1126,NA,1749,NA,0900,college south hall,inactive,NA,NA
Theft II,14-1127,NA,1751,2009-05-14,1200,college south hall,active,NA,2009
Fire Alarm Activation,14-1128,NA,1821,NA,1821,college south hall,inactive,NA,NA
Injured Person,14-1129,NA,2007,NA,2007,quadrangle,inactive,NA,NA
Theft I,14-1130,NA,2203,NA,2100,blackburn center,active,NA,NA
Sick Person,14-1131,2010-01-14,0954,2010-01-14,0900,quadrangle,inactive,2010,2010
Lost Property,14-1132,2010-01-14,1245,NA,1953,2300 block georgia ave,active,2010,NA
Theft II,14-1133,2010-01-14,1434,2010-01-14,1437,howard plaza east,active,2010,2010
Lost Property,14-1134,2010-01-14,1633,NA,1830,college north hall,inactive,2010,NA
Student Misconduct,14-1135,2010-01-14,1645,2010-01-14,1645,bethune annex,active,2010,2010
Found Property,14-1136,2010-01-14,1807,2010-01-14,1807,6th & girard st,inactive,2010,2010
Student Misconduct,14-1137,2010-01-14,2055,2010-01-14,2055,bethune annex,active,2010,2010
Miscellaneous,14-1138,2010-01-14,2325,2010-01-14,1702,2301 georgia ave.,inactive,2010,2010
Lost Property,14-1139,2010-02-14,0920,2010-02-14,0902,husc,inactive,2010,2010
Sick Person,14-1140,2010-02-14,1257,2010-02-14,1257,main gate,inactive,2010,2010
Hazardous Elevator,14-1141,2010-02-14,1332,2010-02-14,1332,howard plaza west,inactive,2010,2010
Robbery Snatch,14-1142,2010-02-14,1349,2010-02-14,1339,chemistry building,active,2010,2010
Vehicle Accident,14-1143,2010-02-14,1543,2010-02-14,,2200 block 6th street,inactive,2010,2010
Theft From Auto,14-1144,2010-02-14,1635,2010-02-14,1635,upper georgia lot,active,2010,2010
Student Misconduct,14-1145,2010-02-14,1715,2010-02-14,1715,bethune annex,active,2010,2010
Theft From Auto,14-1146,2010-02-14,1911,2010-02-14,1911,6th & girard st.,active,2010,2010
Vandalism,14-1147,2010-03-14,0843,2010-03-14,0843,adminstration building,active,2010,2010
Fire Alarm Activation,14-1148,2010-03-14,1738,2010-03-14,1738,cook hall,inactive,2010,2010
Simple Assault,14-1149,2010-03-14,1818,2010-03-14,1818,college south hall,active,2010,2010
Student Misconduct,14-1150,2010-03-14,2042,2010-03-14,2039,cook hall,active,2010,2010
Lost Property,14-1151,2010-03-14,2122,2010-03-14,2122,drew hall,inactive,2010,2010
Unlawful Entry,14-1152,2010-04-14,0059,2010-04-14,0059,howard plaza west,active,2010,2010
Student Misconduct,14-1153,2010-04-14,1917,2010-04-14,1917,slowe hall,active,2010,2010
Injured Person,14-1154,2010-04-14,2224,2010-04-14,2224,blackburn center,inactive,2010,2010
Suspicious Odor,14-1155,2010-05-14,0107,2010-05-14,0107,slowe hall,active,2010,2010
Theft From Auto,14-1156,2010-05-14,0157,2010-05-14,0157,howard plaza corridor,active,2010,2010
Sick Person,14-1157,2010-05-14,0240,2010-05-14,0222,college south hall,inactive,2010,2010
Fire Alarm Activation,14-1158,2010-05-14,2038,2010-05-14,2038,college south hall,inactive,2010,2010
Fire Alarm Activation,14-1159,2010-05-14,2139,2010-05-14,2139,may's hall,inactive,2010,2010
Sick Person,14-1160,2010-05-14,2122,2010-05-14,2122,slowe hall,inactive,2010,2010
Fire Alarm Activation,14-1161,2010-05-14,2249,2010-05-14,2249,cook hall,inactive,2010,2010
Sick Transport,14-1162,2010-06-14,1216,2010-06-14,1216,student health center,inactive,2010,2010
Damaged Property,14-1163,2010-06-14,1750,2010-06-14,1745,upper georgia lot,inactive,2010,2010
Miscellaneous,14-1164,2010-06-14,2342,2010-06-14,2342,4th & w st.,inactive,2010,2010
Sick Person,14-1165,2010-07-14,0954,2010-07-14,0910,cook hall,inactive,2010,2010
Suspicious Odor,14-1166,2010-07-14,1046,2010-07-14,1029,bethune annex,inactive,2010,2010
Miscellaneous,14-1167,2010-07-14,1352,2010-07-14,1352,annex i,inactive,2010,2010
Hazardous Elevator,14-1168,2010-07-14,1634,2010-07-14,1634,fine arts,inactive,2010,2010
Theft II,14-1169,2010-07-14,1831,2010-07-14,1815,drew hall,active,2010,2010
Injured Person,14-1170,2010-07-14,2109,2010-07-14,2105,greene stadium,inactive,2010,2010
Injured Person,14-1171,2010-08-14,0208,2010-07-14,2100,stokes library,inactive,2010,2010
Injured Person,14-1172,2010-08-14,1211,2010-08-14,1210,400 block v st. nw,inactive,2010,2010
Theft II,14-1173,2010-08-14,1317,2010-08-14,1317,wonder plaza,active,2010,2010
Theft II,14-1174,2010-08-14,1412,2010-08-14,1315,slowe hall,active,2010,2010
Hazardous Elevator,14-1175,2010-08-14,1500,2010-08-14,1500,fine arts,inactive,2010,2010
Sick Person,14-1176,2010-08-14,1832,2010-08-14,1832,blackburn center,inactive,2010,2010
Miscellaneous,14-1177,2010-08-14,1903,2010-08-14,1903,stokes library,active,2010,2010
Lost Property,14-1178,2010-08-14,1659,2010-07-14,1550 Architecture & Planning,,inactive,2010,2010
Sick Person,14-1179,2010-09-14,0132,2010-09-14,0132 Drew Hall,,inactive,2010,2010
Lost Property,14-1180,2010-09-14,1158,2009-12-14,1540 West Campus,,inactive,2010,2009
Suspicious Odor,14-1181,2010-09-14,2152,2010-09-14,2152 Bethune Annex,,active,2010,2010
Sick Person,14-1182,2010-10-14,0220,2010-10-14,0200 Quadrangle Hall,,inactive,2010,2010
Sick Person,14-1183,2010-10-14,0546,2010-10-14,0546 College Hall South,,inactive,2010,2010
Miscellaneous,14-1184,2010-10-14,1210,2010-10-14,1209 Enterprise Tec. Service,,inactive,2010,2010
Miscellaneous,14-1185,2010-10-14,1608,2010-10-14,1559 Wonder Plaza,,inactive,2010,2010
Sick Person,14-1186,2010-10-14,1752,2010-10-14,1749 Blackburn Center,,inactive,2010,2010
Fire Alarm Activation,14-1187,2010-10-14,1853,2010-10-14,1853 College Hall South,,inactive,2010,2010
