report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2017-01-12,theft, a student reported the theftof bicyle.,17-000037,2017-01-12,1545,walsh building,case pending investigation,2017,2017
2017-01-16,drug violation, a student wasfound in possession of a smallamount of marijuana.,17-000067,2017-01-16,0117,village a,referred to student conduct,2017,2017
2017-01-16,theft, food items were  removedfrom a broken vending machine.,17-000070,2017-01-16,0435,darnall hall,"case closed, referred tostudent conduct",2017,2017
2017-01-17,theft, a student reported the theftof a bicycle.,17-000073,2017-01-17,0100,exterior of thewalsh building,case pending investigation,2017,2017
2017-01-17,drug violation, students werefound in possession of marijuana.,17-000079,2017-01-17,2220,alumni square,referred to student conduct,2017,2017
2017-01-18,drug violation, students werefound in possession of marijuana.,17-000085,2017-01-18,2336,henle village,referred to student conduct,2017,2017
2017-01-19,theft,  cash was reported missingfrom a wallet that was leftunattended.,17-000089,2017-01-19,1606,healey hall,case pending investigation,2017,2017
2017-01-23,alcohol/drug violation, studentswere found in possession ofalcohol and marijuana,17-000114,2017-01-23,1548,copley hall,referred to student conduct,2017,2017
2017-01-24,voyeurism,"  a student reported thatwhile was utilizing a restroomwithin the building, she noticed amale subject peaking over the topof the stall.",17-000123,2017-01-23,1530,icc,case closed with arrest,2017,2017
2017-01-25,drug violation, a student wasfound in possession of marijuana.,17-000127,2017-01-25,1315,arrupe hall,referred to student conduct,2017,2017
2017-01-25,theft, a phone that was left in acommon area was stolen,17-000128,2017-01-20,1300,darnall hall,case pending investigation,2017,2017
2017-01-29,theft, a student reported the theftof a front wheel from a bicycle.,17-000153,2017-01-29,100,village a,case pending investigation,2017,2017
2018-01-02,burglary, a gu staff memberreported that an unknown subjectentered their secured office andstole property,18-000001,2018-01-02,1030,icc,case pending investigationhandle by mpd ccn 18-000761,2018,2018
2018-01-03,theft, a  student reported the theftof a bicycle,18-000007,2018-01-03,1630,yates field house,case pending investigation,2018,2018
2018-01-11,theft, a  staff member reported thetheft of a television,18-000027,2018-01-10,1530,hawkins hall,case pending investigationhandle by mpd ccn 18-005733,2018,2018
2018-01-12,drug violation, a student wasfound in possession of marijuana,18-000028,2018-01-12,0100,copley hall,case referred to studentconduct,2018,2018
2018-01-13,drug violation, a student wasfound in possession of marijuana,18-000036,2018-01-13,0035,henle village,case referred to studentconduct,2018,2018
2018-01-16,theft, a  student reported the theftof a bicycle,18-000060,2018-01-16,1915,pre-clinicalscience,case pending investigation,2018,2018
2018-01-19,theft, a  student reported the theftof a backpack containing a laptop,18-000072,2018-10-16,1200,leavey center,case pending investigation,2018,2018
2018-01-19,sexual assault, a student repotedthat they were sexually assaulted,tix-214,2017-11-01,NA,on campushousing,case pending investigation,2017,2018
2018-01-22,theft, a  staff member reported thetheft of a hand cart,18-000086,2017-12-21,1200,lauinger library,case pending investigation,2017,2018
2018-01-22,burglary, a studentr reported thatan unknown subject entered theirunsecured residence and stoleproperty,18-000090,2018-01-02,1030,village a,case pending investigation,2018,2018
2018-01-22,sexual assault, a student repotedthat they were sexually assaulted,tix-213,2017-12-30,NA,arrupe hall,case pending investigation,2017,2018
2018-01-23,theft, a  student reported the theftof a bicycle,18-000093,2018-01-23,1700,hariri building,case pending investigation,2018,2018
2017-01-24,credit card fraud, a studentreported unauthorized transactionson their credit card,18-000097,2018-01-24,2130,leavey center,case pending investigation,2018,2017
2018-01-25,stalking," a  student reported thatthey received multiple unwantedharassing phone calls, text, and anuninvited visit from an associate",18-000103,2018-01-19,0900,mccarthy hall,case pending investigation,2018,2018
2018-01-26,theft, a  student reported the theftof a bicycle,18-000107,2018-01-22,1100,lxr,case pending investigation,2018,2018
2018-01-26,theft, a  staff member reported thetheft of a parking pass,18-000112,2018-01-26,1600,leavey center,case pending investigation,2018,2018
2018-01-27,theft, a  student reported the theftof a pair of sunglasses,18-000120,2018-01-27,1600,mccarthy hall,case pending investigation,2018,2018
2018-01-27,sexual assault, a student repotedthat they were sexually assaulted(fondling),tix-218,2018-01-26,NA,nevils - riggs,case pending investigation,2018,2018
2018-01-28,theft, a non affiliate reported thetheft of a laptop,18-000126,2018-01-27,1300,healy familystudent center,case pending investigation,2018,2018
2018-01-28,drug violation, a student wasfound in possession of marijuana,18-000131,2018-01-28,2052,lxr,case referred to studentconduct,2018,2018
2018-01-29,theft, a  student reported the theftof a bicycle,18-000135,2018-01-29,1700,lxr,case pending investigation,2018,2018
2018-01-31,theft, a  student reported the theftof a gift card,18-000146,2018-01-31,1706,new south hall,case pending investigation,2018,2018
2018-01-31,theft, a  student reported the theftof a birthday card,18-000148,2018-01-31,1844,new south hall,case pending investigation,2018,2018
2019-01-02,unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been barred,19-000001,2019-01-02,1315,car barn,case closed with arrestccn: 19-000952,2019,2019
2019-01-03,unlawful entry,  a staff memberreported finding a unknownunauthorized subject inside theiroffice,19-000002,2019-01-03,0710,harris building,case pending investigationhandled by mpd ccn 19-001447 / arrest warrant,2019,2019
2019-01-03,unlawful entry,  a staff memberreported finding a unknownunauthorized subject inside theiroffice,19-000004,2019-01-02,0830,harris building,case pending investigation/ arrest warrant,2019,2019
2019-01-04,drug violation, a student wasfound in possession of marijuana,19-000006,2019-01-04,1431,henle village,case referred to studentconduct,2019,2019
2019-01-07,burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their unsecured officesand stole a cellular phone andwallet containing cash and creditcards,19-000011,2019-01-07,1352,maguire hall,case closed with arrestccn; 19-004058,2019,2019
2019-01-07,burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their unsecured officesand stole a electronic device,19-000012,2019-01-07,1345,icc,case pending investigationhandled by mpd ccn; 19-004065,2019,2019
2019-01-12,drug violation, a student wasfound in possession of marijuana,19-000034,2019-01-12,1945,lxr,case referred to studentconduct,2019,2019
2019-01-13,drug violation, a student wasfound in possession of marijuana,19-000039,2019-01-13,0845,new south hall,case referred to studentconduct,2019,2019
2019-01-13,theft, a  student reported the theftof a bicycle,19-000040,2019-01-13,1300,lxr,case pending investigation,2019,2019
2019-01-13,drug violation, a student wasfound in possession of marijuana,19-000043,2019-01-13,2255,new south hall,case referred to studentconduct,2019,2019
2019-01-14,theft, a  student reported the theftof a backpack,19-000046,2019-01-14,1500,icc,case pending investigation,2019,2019
2019-01-15,drug violation, a student wasfound in possession of marijuana,19-000047,2019-01-14,2159,lxr,case referred to studentconduct,2019,2019
2019-01-15,theft, a  student reported the theftof a laptop,19-000050,2019-01-15,1900,icc,case pending investigation,2019,2019
2019-01-16,domestic assault,  a studentreported that they were chocked,19-000054,2019-01-16,0110,reynolds hall,case closed with arrestccn: 19-008738,2019,2019
2019-01-16,theft, a  contractor reported thetheft of a cellular phone,19-000056,2019-01-16,1215,saint mary's,case pending investigation,2019,2019
2019-01-16,burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their secured office andstole a back pack containingpersonal items,19-000063,2019-01-16,2150,car barn,case pending investigationhandled by mpd ccn; 19-009247,2019,2019
2019-01-16,drug violation, a student wasfound in possession of marijuana,19-000065,2019-01-16,2354,lxr,case referred to studentconduct,2019,2019
2019-01-17,burglary, a student reported thatan unknown suspect(s) gainedaccess to their secured lab andstole a wallet,19-000067,2019-01-17,1315,regents hall,case pending investigationhandled by mpd ccn; 19-009574,2019,2019
2019-01-19,alcohol violation, a underagestudent was found in possession ofalcoholic beverages,19-000076,2019-01-19,0001,alumni square,case referred to studentconduct,2019,2019
2019-01-20,drug violation, a student wasfound in possession of cocaine,19-000086,2019-01-20,0225,issac hawkins hall,case referred to studentconduct,2019,2019
2019-01-20,theft, a  student reported the theftof a wallet,19-000087,2019-01-20,1015,lauinger library,case pending investigation,2019,2019
2019-01-20,theft, a  non affiliate reported thetheft of a wallet,19-000088,2019-01-20,1200,yates field house,case pending investigation,2019,2019
2019-01-23,burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their unsecured officesand stole a purse containingpersonal property,19-000108,2019-01-23,1525,icc,case closed with arrestccn; 19-013087,2019,2019
2019-01-24,theft, a  student reported the theftof a laptop,19-000117,2019-01-24,1100,o'donovan hall,case pending investigation,2019,2019
2019-01-25,burglary, a student reported thatan unknown suspect(s) gainedaccess to their unsecuredresidence and stole jewlery,19-000122,2019-01-25,1730,1400 block 37thstreet northwest,case pending investigationhandled by mpd ccn; 19-014522,2019,2019
2019-01-26,theft, a  student reported the theftof a wallet,19-000125,2019-01-25,2000,icc,case pending investigationhandled by mpd ccn; 19-014982,2019,2019
2019-01-26,theft, a  student reported the theftof a wallet,19-000126,2019-01-26,1100,healy familystudent center,case pending investigation,2019,2019
2019-01-27,burglary, a student reported thatan unknown suspect(s) gainedaccess to a unsecured office andstole a electronic device,19-000129,2019-01-26,1200,mcdonoughgymnasium,case pending investigation,2019,2019
2019-01-28,drug violation, a student wasfound in possession of cocaine,19-000136,2019-01-28,2358,darnall hall,case referred to studentconduct,2019,2019
2019-01-29,theft, a  staff member reported thetheft of a parking permit,19-000137,2019-01-26,1530,southwest quadgarage,case pending investigation,2019,2019
2019-01-30,burglary, a known theft suspectentered a office with the intent tosteal personal property,19-000143,2019-01-30,1410,icc,case closed with arrestccn; 19-017329,2019,2019
2019-01-31,theft, a  student reported the theftof a wallet,19-000147,2019-01-29,1200,walsh building,case pending investigation,2019,2019
2020-01-02,drug violation,a student was found in possessionof marijuana,20-000005,2020-01-02,1150,lxr,case referred to studentconduct,2020,2020
2020-01-08,theft,a gu affiliate reported the theft offood items,20-000020,2020-01-08,1200,o'donovan hall,"complainant declined toprosecute, subject wasbarred from campus",2020,2020
2020-01-09,burglary,a faculty member reported that aunknown suspect gained access totheir unsecured office and stole abackpack containing a lap topcomputer,20-000022,2020-01-09,1230,reiss science,case pending investigationhandled by mpd ccn: 20-055068,2020,2020
2020-01-10,burglary,a staff member reported that aunknown suspect gained access totheir secured office and stole anantique,20-000029,2020-01-10,1300,icc,case pending investigationhandled by mpd ccn: 20-005704,2020,2020
2020-01-11,theft,a student reported the theft of theirdebit card and gocard,20-000037,2020-01-10,NA,new south hall,case pending investigation,2020,2020
2020-01-12,theft,a student reported the theft of theirwatch,20-000044,2020-01-10,1615,yates field house,case pending investigation,2020,2020
2020-01-12,theft,a student reported the theft of theirnylon bag containing personalitems,20-000048,2020-01-12,2115,o'donovan hall,unfounded complainantfound property,2020,2020
2020-01-14,sexual assault,a student reported that they weresexually assaulted,tix-610,2020-01-12,NA,new south hall,case pending investigation,2020,2020
2020-01-14,stalking,a student reported that they werebeing stalked,tix-610,2020-01-12,NA,NA,case pending investigation,2020,2020
2020-01-14,sexual assault(fondling),a student reported that they weretouched inappropriately,tix-611,2019-09-07,NA,1400 block 37thstreet northwest,case pending investigation,2019,2020
2020-01-15,sexual assault,a student reported that they weresexually assaulted,20-000059,2019-10-01,NA,on campushousing,case pending investigation,2019,2020
2020-01-15,theft,a student reported the theft of alaptop,20-000061,2020-01-15,1720,lauinger library,case pending investigationhandled by mpd ccn: 20-009124,2020,2020
2020-01-16,breaking & entervending machine,a staff member reported that anunknown suspect broke into avending machine and stole fooditems,20-000067,2020-01-16,0900,hariri building,case pending investigation,2020,2020
2020-01-16,robbery snatch,a student reported that an unknownsuspect walked by and snatchedtheir book bag containing a lap topand personal items,20-000069,2019-12-17,1530,1200 block 36thstreet northwest(on campus publicproperty),case pending investigation,2019,2020
2020-01-17,destruction of property,a gupd officer reported that aunknown subject vandalized thespotlights,20-000070,2020-01-17,0018,healy circle,case pending investigation,2020,2020
2020-01-17,burglary,a staff member reported that aunknown suspect gained access totheir unsecured office and stole apair of apple air pods,20-000075,2020-01-14,1030,icc,case pending investigation,2020,2020
2020-01-18,drug violation / alcoholviolation,a student was found in possessionof marijuana and alcoholicbeverages,20-000080,2020-01-18,1425,lxr,case referred to studentconduct,2020,2020
2020-01-19,drug violation,a student was found in possessionof marijuana,20-000089,2020-01-19,2115,leavey center,case referred to studentconduct,2020,2020
2020-01-20,theft,a student reported the theft of awallet,20-000091,2020-01-19,0100,1400 block 37thstreet northwest,case pending investigation,2020,2020
2020-01-20,theft,a student reported the theft of abicycle,20-000092,2020-01-20,1230,henle village,case pending investigation,2020,2020
2020-01-20,theft from auto,a student reported that an unknownsuspect broke into a vehicle andstole a purse,20-000094,2020-01-20,1930,1300 block 36thstreet northwest(on campus publicproperty),case pending investigationhandled by mpd ccn: 20-012057,2020,2020
2020-01-21,sexual assault(fondling),a student reported that they weretouched inappropriately,tix-616,2019-08-24,NA,arrupe hall,case pending investigation,2019,2020
2020-01-21,sexual assault(fondling),a student reported that they weretouched inappropriately,tix-616,2019-09-01,NA,kennedy hall,case pending investigation,2019,2020
2020-01-22,stalking,a student reported that they werebeing stalked,tix-617,2020-01-22,NA,on campus,case pending investigation,2020,2020
2020-01-22,theft,a student reported the theft of awallet,20-000105,2020-01-21,1710,lauinger library,case pending investigation,2020,2020
2020-01-24,dv simple assault,a gu affiliate reported that theywere physically assaulted,20-000119,2020-01-24,1030,o'donovan hall,case pending investigationhandled by mpd ccn: 20-014302,2020,2020
2020-01-24,theft,a student reported the theft of ajewelry,20-000124,2020-01-24,1615,yates field house,case pending investigationhandled by mpd ccn: 20-014578,2020,2020
2020-01-25,theft,a student reported the theft of abicycle,20-000128,2020-01-25,1717,alumni square,case pending investigation,2020,2020
2020-01-26,theft,a student reported the theft of abicycle,20-000131,2020-01-26,0930,o'donovan hall,case pending investigation,2020,2020
2020-01-27,theft,a staff member reported the theft ofa laptop,20-000137,2020-01-03,1500,icc,case pending investigation,2020,2020
2020-01-27,theft,a student reported the theft of alaptop,20-000140,2020-01-23,1403,icc,case pending investigation,2020,2020
2020-01-27,unlawful entry,a gupd officer reported that theylocated a unauthorized protester oncampus after they had beenpreviously escorted off campus,20-000141,2020-01-27,1524,red square,case closed with arrestccn: 20-016370,2020,2020
2020-01-27,unlawful entry,a gupd officer reported that theylocated a unauthorized protester oncampus after they had beenpreviously escorted off campus,20-000142,2020-01-27,1524,o'donovan hall,subjects barred fromcampus,2020,2020
2020-01-27,simple assault,a student reported that they werephysically assaulted,20-000146,2020-01-27,1950,o'donovan hall,case referred to studentconduct,2020,2020
2020-01-29,fraud,a student reported that they werethe victim of a email and text scam,20-000155,2020-01-29,1430,healy hall,case pending investigation,2020,2020
2020-01-29,stalking,a student reported that they werebeing stalked,20-000157,2020-01-29,NA,medical & dentalbuilding,case pending investigation,2020,2020
2020-01-30,sexual assault(fondling),a student reported that they weretouched inappropriately,tix-625,2020-01-29,NA,on campushousing,case pending investigation,2020,2020
2020-01-31,theft,a  non gu affiliate  reported thetheft of a bicycle,20-000174,2020-01-31,2100,copley hall,case pending investigation,2020,2020
2021-01-14,theft,a skateboard was stolen from andunsecured vehicle,21-000033,2021-01-14,1400,loadingdock/healyfamily studentcenter,"suspended/subjectunknown, unable toidentify",2021,2021
2021-01-22,theft,a bike was stolen from a bikerack after being left secure forseveral months,21-000053,NA,1200,bikerack/mcsain,"suspended/subjectunknown, unable toidentify",NA,2021
2021-01-31,burglary,a student reported a burglary,21-000090,2021-01-31,1000,village a,under further investigation,2021,2021
2017-07-01,theft, a student reported the theftof a bicycle,17-000948,2017-07-01,2128,village a,case pending investigation,2017,2017
2017-07-03,burglary, an unknown person(s)entered into an office and stoleelectronic items.,17-000952,2017-07-03,1131,icc,case pending investigation,2017,2017
2017-07-04,alcohol violation, under agedstudents comsumed beveragescontaining alcohol.,17-000958,2017-07-04,2220,reiss sciencerooftop,referred to student conduct,2017,2017
2017-07-06,burglary, an unknown person(s)entered into an office and stoleelectronic  items.,17-000959,2017-07-05,1430,medical dentalbuilding,case pending investigation,2017,2017
2017-07-07,theft, a staff member reported thetheft of petty cash,17-000965,2017-07-07,1321,icc,case pending investigation,2017,2017
2017-07-10,burglary, an unknown person(s)entered into a dorm room and stolecash,17-000974,2017-07-10,1730,village c west,case closed with arrest,2017,2017
2017-07-10,burglary, an unknown person(s)entered into a dorm room and stolecash,17-000975,2017-07-10,1440,village c west,case closed with arrest,2017,2017
2017-07-11,burglary, an unknown person(s)entered into a dorm room and stolecash,17-000976,2017-07-11,1158,village c west,case closed with arrest,2017,2017
2017-07-11,theft, an unknown person(s) stolefood from a common area,17-000978,2017-07-11,1430,arrupe hall,case pending investigation,2017,2017
2017-07-11,burglary, an unknown person(s)entered into a dorm room and stolea backpack,17-000981,2017-07-11,1605,village c west,case pending investigation,2017,2017
2017-07-12,burglary, an unknown person(s)entered into a dorm room and stolecash,17-000983,2017-07-12,1500,village c west,case closed with arrest,2017,2017
2017-07-12,burglary, an unknown person(s)entered into a dorm room and stolecash,17-000984,2017-07-12,1500,village c west,case closed with arrest,2017,2017
2017-07-13,burglary, an unknown person(s)entered into a dorm room and stolecash,17-000990,2017-07-13,1440,village c west,case closed with arrest,2017,2017
2017-07-14,burglary, subject was observedentering into a dorm room andstealing cash.,17-000999,2017-07-14,1215,village c west,case closed with arrest,2017,2017
2017-07-16,theft, an unknown person(s) stoleeletronic equipment from acommon area,17-001002,2017-07-16,1200,darnall hall,case pending investigation,2017,2017
2017-07-19,sexual assualt, a gu affiliiatereported being groped by anunknown male.,17-001015,2017-07-11,1300,medical dentalbuilding,case closed with arrest,2017,2017
2017-07-22,theft,  a bicycle was stolen from abike rack,17-001026,2017-07-20,1800,old north,case pending investigation,2017,2017
2017-07-24,drug violation, two students werefound in possession of a cigarettecontaining marijuuana.,17-001003,2017-07-24,2221,henle village,referred to student conduct,2017,2017
2017-07-30,theft, a gu affiliate reported thetheft of a suit case,17-001061,2017-07-30,1630,village c east,case pending investigation,2017,2017
2017-07-30,theft, a gu affiliate reported thetheft of a bicycle tire.,17-001062,2017-07-30,1500,darnall hall,case pending investigation,2017,2017
2017-07-31,theft, a gu affiliate reported thetheft of food,17-001063,2017-07-31,1115,darnall hall,case pending investigation,2017,2017
2017-07-31,theft, a gu affiliate reported thetheft of a wallet containing  uscurrency,17-001067,2017-07-31,1800,leavey center,case pending investigation,2017,2017
2018-07-03,assault, a student reported thatthey were physically assaulted,18-000880,2018-07-03,0224,healy circle,case closed subject barredfrom campus,2018,2018
2018-07-04,alcohol violation, a underagestudent was found in possession ofa alcoholic beverage,18-000883,2018-07-04,0020,library walk,case referred to studentconduct,2018,2018
2018-07-04,theft, a  student reported the theftof a bicycle,18-000887,2018-07-04,1651,red square,case pending investigation,2018,2018
2018-07-06,stalking,  a staff member /studentreported that they received severalunwanted communications from aknown associate,18-000892,2018-06-27,1000,leavey center,case pending investigation,2018,2018
2018-07-07,burglary, a gu affiliate reportedthat an unknown subject enteredtheir unsecured residence and stoleproperty,18-000898,2018-07-07,0805,darnall hall,case pending investigation,2018,2018
2018-07-08,theft, a  staff member reported thetheft of a parking pass,18-000902,2018-07-06,1700,leavey centergarage,case pending investigation,2018,2018
2018-07-09,burglary, a gu affiliate reportedthat an unknown subject forciblyentered their secured storage areaand stole property,18-000906,2018-07-09,1000,healy familystudent center,case pending investigationhandled by mpd ccn 18-112456,2018,2018
2018-07-10,theft, a  student reported the theftof a bicycle,18-000909,2018-07-10,1400,hawkins hall,case pending investigation,2018,2018
2018-07-11,theft, a  student reported the theftof a wallet,18-000913,2018-07-10,1200,o'donovan hall,case pending investigationhandled by mpd ccn 18-113759,2018,2018
2018-07-11,stalking, a student reported thatthey were being stalked,tix-318,2018-07-11,NA,mccarthy hall,case pending investigation,2018,2018
2018-07-13,burglary, a gu affiliate reportedthat an unknown subject enteredtheir secured residence and stoleus currency,18-000920,2018-07-13,1900,harbin hall,case pending investigation,2018,2018
2018-07-15,burglary, a gu affiliate reportedthat an unknown subject enteredtheir secured residence and stolepersonal property,18-000924,2018-07-15,0830,arrupe hall,case pending investigationhandled by mpd ccn 18-116059 / unfoundedcomplainant foundproperty,2018,2018
2018-07-17,theft, a  gu affiliate reported thetheft of merchandise,18-000932,2018-07-17,1520,leavey centerbookstore,case pending investigation,2018,2018
2018-07-17,theft, a  student reported the theftof us currency,18-000934,2018-07-17,1825,harbin hall,case pending investigation,2018,2018
2018-07-18,burglary, a gu staff memberreported that an unknown subjectgained access to the securedbuilding and vandalized multiplebathrooms.,18-000935,2018-07-17,0830,thompson athleticcenter,case pending investigation,2018,2018
2018-07-23,theft, a  student reported the theftof personal property,18-000949,2018-07-20,0900,hariri building,case pending investigation,2018,2018
2018-07-23,theft, a  student reported the theftof personal property,18-000951,2018-07-23,2130,arrupe hall,case pending investigation,2018,2018
2018-07-24,theft, a  gu affiliate reported thetheft of merchandise,18-000953,2018-07-23,1100,leavey centerbookstore,case pending investigation,2018,2018
2018-07-25,theft, a  student reported the theftof a bicycle,18-000958,2018-07-25,1600,darnall hall,case pending investigation,2018,2018
2018-07-25,theft, a  staff member reported thetheft of personal property,18-000960,2018-07-25,1910,southwest quad,case pending investigation/ unfounded co-workerinadvertently took bymistake,2018,2018
2018-07-26,theft, a  student reported the theftof a jacket,18-000962,2018-07-24,2130,yates field house,case pending investigation,2018,2018
2018-07-30,burglary, a staff member reportedthat an unknown subject enteredtheir unsecured office and stolepersonal property,18-000976,2018-07-30,1646,medical & dentalbuilding,case pending investigationhandled by mpd ccn 18-125972,2018,2018
2018-07-30,theft, a  staff member reported thetheft of a parking permit,18-000977,2018-07-17,1500,southwest quad,case pending investigation,2018,2018
2018-07-31,theft, a  gu affiliate reported thetheft of personal property,18-000983,2018-07-31,1710,yates field house,case pending investigation,2018,2018
2019-07-02,burglary, a staff member reported that anunknown suspect gained access to theirsecured office and stole a laptop,19-000838,2019-07-02,0830,leavey center,case pending investigation handledby mpd ccn: 19- 115224 /unfoundedlaptops were found,2019,2019
2019-07-03,unlawful entry,  a gupd officer reported thatthey located a unauthorized non affiliate oncampus who had been previously barred,19-000842,2019-07-03,0830,leavey center,case closed with arrest ccn: 19-115836,2019,2019
2019-07-06,attempted burglary,  a staff member reportedthat two unknown subjects attempted to breakinto an office,19-000848,2019-07-06,1027,healy hall,case pending investigation,2019,2019
2019-07-06,unlawful entry,  a gupd officer reported thatthey located a unauthorized non affiliate livinginside a university townhouse,19-000849,2019-07-06,1730,"3600 block ""o"" streetnorthwest",case closed with arrest ccn: 19-118236,2019,2019
2019-07-09,burglary, a staff member reported that anunknown suspect gained access to theirsecured classroom and stole a laptop,19-000856,2019-07-09,0720,white gravenor,case pending investigation handledby mpd ccn: 19- 119757 /unfoundedlaptop was found,2019,2019
2019-07-09,theft, a non affiliate reported the theft of alaptop,19-000857,2019-07-09,1130,lauinger library,case pending investigation handledby mpd ccn: 19- 119916,2019,2019
2019-07-09,burglary, a student reported that an unknownsuspect gained access to their secured officeand stole laptops,19-000858,2019-07-09,1350,regents hall,case pending investigation handledby mpd ccn: 19- 119945,2019,2019
2019-07-09,burglary, a summer student reported that anunknown suspect gained access to theirsecured residence and stole clothing,19-000860,2019-07-08,2000,village c east,case pending investigation,2019,2019
2019-07-10,theft, a  summer counselor reported the theftof a gaming system,19-000865,2019-07-10,1229,kennedy hall,case pending investigation,2019,2019
2019-07-10,burglary, a summer ra reported that anunknown suspect gained access to theirsecured residence and stole their earbuds,19-000867,2019-07-04,1800,new south hall,case pending investigation,2019,2019
2019-07-10,burglary, a summer ra reported that anunknown suspect gained access to theirsecured residence and stole their headphones,19-000868,2019-07-04,1800,new south hall,case pending investigation,2019,2019
2019-07-10,theft, a  student reported the theft of a minifridge,19-000870,2019-06-01,2000,henle village,case pending investigation,2019,2019
2019-07-11,theft, a  summer student reported the theft ofa wallet,19-000872,2019-07-11,1330,yates field house,case pending investigation/ unfounded  wallet was foundand returned to owner,2019,2019
2019-07-12,burglary, a student reported that an unknownsuspect gained access to their securedresidence and stole a safe,19-000876,2019-07-12,1000,village a,case pending investigation handledby mpd ccn: 19- 121782,2019,2019
2019-07-12,theft, a  student reported the theft of a bicycle,19-000877,2019-06-18,1800,leavey center bicyclerack,case pending investigation,2019,2019
2019-07-12,theft, a  student reported the theft of a bicycle,19-000883,2019-07-08,0900,leavey center bicyclerack,case pending investigation,2019,2019
2019-07-12,fondling, a hospital patient reported theywere fondled,19-0596(gumh),2019-07-12,1000,gumh,"case closed, handled by gumhprotective services",2019,2019
2019-07-12,burglary, a summer student reported that anunknown suspect gained access to theirsecured residence and stole a wallet,19-000881,2019-07-11,2200,new south hall,case pending investigation,2019,2019
2019-07-13,fondling, a hospital patient reported theywere fondled,19-0976,2019-07-13,920,gumh,"case closed, handled by gumhprotective services",2019,2019
2019-07-15,theft, a  summer student reported the theft ofa gaming system,19-000889,2019-07-15,0800,village c east,case pending investigation,2019,2019
2019-07-16,unlawful entry,  a gupd officer reported thatthey located a unauthorized non affiliate oncampus who had been previously barred,19-000894,2019-07-16,1100,leavey center,case closed with arrest ccn: 19-124395,2019,2019
2019-07-16,theft, a  gu affiliate reported the theft of uscurrency,19-000896,2019-07-10,1100,lauinger library,case pending investigation,2019,2019
2019-07-18,simple assault, a  gu summer studentreported that they were physically assaultedby another summer student.,19-000915,2019-07-17,1839,new south hall,"case closed guardian declined tofile criminal charges, studentremoved from program",2019,2019
2019-07-19,burglary, a summer student reported that anunknown suspect gained access to theirsecured residence and stole jewelry and uscurrency,19-000916,2019-07-19,0830,kennedy hall,case pending investigation,2019,2019
2019-07-19,burglary, a student reported that an unknownsuspect gained access to their securedresidence and stole a wallet containing uscurrency,19-000917,2019-07-19,0900,kennedy hall,case pending investigation,2019,2019
2019-07-19,burglary, a student reported that an unknownsuspect gained access to their securedresidence and stole a laptop and personalmedication,19-000919,2019-07-19,1625,village a,case pending investigation handledby mpd ccn: 19- 126608 /unfoundedlaptop was never stolen,2019,2019
2019-07-19,felony threats, a student reported that theyreceived several threatening telephone callsand text messages from an unidentified malesubject,19-000920,2019-07-19,1625,new research building,case pending investigation handledby mpd ccn: 19- 126635,2019,2019
2019-07-19,drug violation,  a non gu affiliate was foundin possession of marijuana,19-000921,2019-07-19,2059,holy rood cemetery2126 wisconsin avenuenorthwest,subjects were barred fromcampus,2019,2019
2019-07-20,theft, a  student reported the theft of twocellular phones,19-000925,2019-07-20,1345,mccarthy hall,case pending investigation,2019,2019
2019-07-22,unlawful entry,  a gupd officer reported thatthey located a unauthorized non affiliate oncampus who had been observed canvassingseveral offices and going through personalproperty,19-000934,2019-07-22,1422,icc,case closed with arrest ccn: 19-128371,2019,2019
2019-07-23,theft, a  gu hospital employee reported thetheft of a bicycle,19-000940,2019-07-23,1645,leavey center bikerack,case pending investigation,2019,2019
2019-07-23,credit card fraud, a  gu summer affiliatereported unauthorized credit card transactions,19-000941,2019-07-22,1800,village c west,case pending investigation handledby mpd ccn: 19- 129174,2019,2019
2019-07-24,theft, a  gu summer student reported thetheft of a backpack,19-000947,2019-07-24,1400,healy family studentcenter,case pending investigation,2019,2019
2019-07-25,simple assault, a  summer student reportedthat an unknown subject hugged them,19-000950,2019-07-22,1400,icc,case pending investigation/ unfounded  no assaultoccurred,2019,2019
2019-07-25,burglary, a staff member reported that anunknown suspect gained access to theirsecured office and stole a laptop,19-000952,2019-07-25,1400,icc,case pending investigation,2019,2019
2019-07-26,burglary, a staff member reported that anunknown suspect gained access to theirunsecured office and stole a laptop,19-000956,2019-07-26,1345,car barn,case pending investigation,2019,2019
2019-07-26,theft, a  summer student reported the theft oftheir key and gocard,19-000957,2019-07-24,2050,copley lawn,case pending investigation,2019,2019
2019-07-27,burglary, a gupd member reported that two(2) unknown suspects gained access to anunsecured office and broke into a lockedcabinet and stole personal items,19-000962,2019-07-27,2217,healy hall,case pending investigation handledby mpd ccn: 19- 132965,2019,2019
2019-07-29,theft, a  student reported the theft of a bicycle,19-000968,2019-07-29,0900,lxr 35th street bikerack,case pending investigation,2019,2019
